f1...00	SHORT-ACTING INSULIN PREPARATIONS
f11..00	*SOLUBLE INSULIN
f111.00	INSULIN 100iu/mL injection 10mL
f112.00	*HYPURIN injection 10mL
f12..00	SOLUBLE NEUTRAL INSULIN
f121.00	NEUTRAL INSULIN 100iu/mL injection 10mL
f122.00	HYPURIN NEUTRAL 100iu/mL injection 10mL
f122.11	*HYPURN BOV NEUT 100iu/mL 10mL
f123.00	*NEUSULIN 100iu/mL injection
f124.00	*QUICKSOL 100iu/mL injection
f125.00	VELOSULIN 100iu/mL injection 10mL
f126.00	VELOSULIN CARTRIDGE 100iu/mL injection 5.7mL
f127.00	HUMAN ACTRAPID 100iu/mL injection 10mL
f127.11	ACTRAPID 100iu/mL injection 10mL
f128.00	HUMAN ACTRAPID 100iu/mL penfill cartridges
f129.00	HUMAN VELOSULIN 100iu/mL injection 10mL
f12A.00	HUMAN ACTRAPID 100iu/mL penfill cartridges 1.5mL
f12B.00	HUMAN ACTRAPID 100iu/mL preloaded injection pen 3mL
f12B.11	ACTRAPID NOVOLET 100iu/mL preloaded injection pen 3mL
f12C.00	HUMAJECT S 100iu/mL prefilled pen
f12D.00	PORK VELOSULIN 100units/mL injection 10mL
f12D.11	PORK ACTRAPID 100units/mL injection 10mL
f12E.00	NEUTRAL INSULIN 100iu/mL injection cartridge
f12F.00	HYPURIN BOVINE NEUTRAL 100iu/mL injection cartridge 1.5mL
f12G.00	HYPURIN PORCINE NEUTRAL 100iu/mL injection cartridge 1.5mL
f12H.00	HYPURIN BOVINE NEUTRAL 100iu/mL injection 10mL
f12I.00	HYPURIN PORCINE NEUTRAL 100iu/mL injection 10mL
f12J.00	ACTRAPID (HUMAN) PENFILL 100iu/mL cartridges 3mL
f12J.11	ACTRAPID PENFILL 100iu/mL cartridges 3mL
f12K.00	PORK ACTRAPID 100iu/mL injection 10mL
f12L.00	INSUMAN RAPID 100iu/mL injection vials 5mL
f12M.00	INSUMAN RAPID 100iu/mL injection cartridge 3mL
f12Q.00	INSUMAN RAPID OPTISET 100iu/mL prefilled pen 3mL
f12R.00	HUMAN VELOSULIN (PYR) 100iu/mL injection 10mL
f12R.11	VELOSULIN (PYR) 100iu/mL injection 10mL
f12S.00	HYPURIN BOVINE NEUTRAL 100iu/mL injection cartridge 3mL
f12T.00	HYPURIN PORCINE NEUTRAL 100iu/mL injection cartridge 3mL
f12U.00	EXUBERA 1mg powder for inhalation
f12V.00	EXUBERA 3mg powder for inhalation
f12W.00	HUMAN INSULIN 1mg powder for inhalation
f12X.00	HUMAN INSULIN 3mg powder for inhalation
f12Y.00	INSUMAN INFUSAT 100iu/mL soln for inj cartridges 3.15mL
f12Z.00	INSUMAN INFUSAT 100iu/mL solution for injection vials 10mL
f12a.00	HUMULIN S 100iu/mL injection 10mL
f12b.00	*NOVOPEN
f12d.00	PUR-IN NEUTRAL 100iu/mL vials 10mL
f12e.00	PUR-IN NEUTRAL 100iu/mL cartridges 3mL
f12f.00	*AUTOPEN
f12g.00	HUMULIN S 100iu/mL cartridges 1.5mL
f12h.00	*NOVOPEN II device
f12j.00	*PUR-IN PEN device
f12k.00	*PUR-IN PEN 1 device
f12m.00	*PUR-IN PEN 2 device
f12n.00	*PUR-IN PEN 4 device
f12p.00	*DIAPEN 1 device
f12q.00	*DIAPEN 2 device
f12r.00	*NOVOPEN I device
f12s.00	HUMULIN S 100iu/mL cartridges 3mL
f12t.00	*AUTOPEN 1.5mL one unit device
f12u.00	*AUTOPEN 1.5mL two unit device
f12v.00	*AUTOPEN 3mL two unit device
f12y.00	HUMAN INSULIN 100units/mL injection cartridge
f12z.00	HUMAN INSULIN 100iu/mL injection vials
f13..00	INSULIN LISPRO
f131.00	INSULIN LISPRO 100iu/mL vials
f132.00	HUMALOG 100iu/mL injection 10mL
f133.00	INSULIN LISPRO 100iu/mL cartridges
f134.00	HUMALOG 100iu/mL cartridges 1.5mL
f135.00	HUMALOG 100iu/mL cartridges 3mL
f136.00	INSULIN LISPRO 100iu/mL prefilled pen
f137.00	HUMALOG-PEN 100iu/mL prefilled pen 3mL
f138.00	HUMALOG KWIKPEN 100iu/mL prefilled pen 3mL
f139.00	HUMALOG KWIKPEN 200iu/mL prefilled pen 3mL
f13A.00	INSULIN LISPRO 200iu/mL prefilled pen
f14..00	INSULIN ASPART
f141.00	NOVORAPID 100units/mL injection vial
f142.00	NOVORAPID NOVOLET 100units/mL prefilled syringe 3mL
f143.00	NOVORAPID PENFILL 100units/mL cartridges 3mL
f144.00	NOVORAPID FLEXPEN 100units/mL prefilled pen 3mL
f145.00	NOVORAPID FLEXTOUCH 100units/mL soln for injection pen 3mL
f146.00	NOVORAPID PUMPCART 100units/mL soln for inj cartridges 1.6mL
f14w.00	INSULIN ASPART 100units/mL prefilled pen
f14x.00	INSULIN ASPART 100units/mL injection vial
f14y.00	INSULIN ASPART 100units/mL prefilled syringe
f14z.00	INSULIN ASPART 100units/mL cartridges
f15..00	INSULIN GLULISINE
f151.00	APIDRA 100iu/mL injection vials 10mL
f152.00	APIDRA 100iu/mL injection cartridges 3mL
f153.00	APIDRA 100iu/mL OptiSet prefilled pen 3mL
