X75XP	Insulin used
X795r	Insulin
X797a	Fish insulin
X797n	Porcine insulin
XE288	Insulin - C - polypep.
XSETp	Diabetes mellitus due to insulin receptor antibodies
Xa0k8	Types of insulin
XaXTO	Active insulin time
XaXtQ	Insulin infusion rate
f1...	Short-acting insulin
f11..	Soluble insulin
f111.	Insulin 100iu/mL injection 10mL
f112.	Hypurin injection 10mL
f12..	Neutral insulin
f121.	Neutral insulin 100iu/mL injection 10mL
f123.	Neusulin 100iu/mL injection vial
f124.	Quicksol 100iu/mL injection vial
f125.	Velosulin 100iu/mL injection 10mL
f126.	Velosulin cartridge 100iu/mL injection 5.7mL
f127.	Human Actrapid 100iu/mL injection 10mL
f128.	Human Actrapid Penfill 100iu/mL injection cartridge
f129.	Human Velosulin 100iu/mL injection 10mL
f12A.	Human Actrapid 100iu/mL Penfill cartridge 1.5mL
f12B.	Human Actrapid 100iu/mL preloaded injection pen 3mL
f12C.	Humaject S 100iu/mL prefilled pen
f12D.	Pork Velosulin injection 10mL
f12E.	Neutral insulin 100iu/mL injection cartridge
f12F.	Hypurin Bovine Neutral 100iu/mL injection cartridge 1.5mL
f12G.	Hypurin Porcine Neutral 100iu/mL injection cartridge 1.5mL
f12H.	Hypurin Neutral 100iu/mL injection 10mL
f12I.	Hypurin Porcine Neutral 100iu/mL injection 10mL
f12J.	Actrapid (human) Penfill 100iu/mL cartridge 3mL
f12L.	Insuman Rapid 100iu/mL injection vial 5mL
f12M.	Insuman Rapid 100iu/mL injection cartridge 3mL
f12Q.	Insuman Rapid OptiSet 100iu/mL prefilled pen 3mL
f12R.	Human Velosulin (pyr) 100iu/mL injection 10mL
f12S.	Hypurin Bovine Neutral 100iu/mL injection cartridge 3mL
f12T.	Hypurin Porcine Neutral 100iu/mL injection cartridge 3mL
f12U.	EXUBERA 1mg powder for inhalation
f12V.	EXUBERA 3mg powder for inhalation
f12W.	HUMAN INSULIN 1mg powder for inhalation
f12X.	HUMAN INSULIN 3mg powder for inhalation
f12Y.	INSUMAN INFUSAT 100iu/mL soln for inj cartridges 3.15mL
