EMISHGT58	Memory: Months backwards: errors
EMISLO2	Loss of concentration
EMISNQDI90	Distress
EMISNQEA2	Early warning sign of possible relapse
EMISNQFE12	Feeling isolated
EMISNQHO52	Hopelessness
EMISNQIM12	Impaired cognition
EMISNQIN131	Inattention
EMISNQMI228	Mild cognitive impairment annual review
EMISNQPE36	Perceived lack of control over life
EMISR4QCO2	Cognitive impairment
^ESCT1170619	Cognitive deficit in communication skills
^ESCT1170620	Cognitive deficit in visuospatial function
^ESCT1170621	Cognitive deficit in psychomotor function
^ESCT1190534	[D]Confusion
^ESCT1248783	Memory: import.person not knwn
^ESCT1271821	[X]Disturbance of activity and attention
^ESCT1377079	Disorientation to person, time and place
^ESCT1393525	Amnestic mild cognitive disorder
^ESCT1393526	aMCI - amnestic mild cognitive impairment
^ESCT1397984	Education for memory impairment
^ESCT1405794	Foggy mind
^ESCT1406858	Memory: present month not known
^ESCT1406859	Memory: important event not known
^ESCTAB325952	Absent minded
^ESCTAC445236	Acute confusion
^ESCTAM259808	Amnesia for remote events
^ESCTAM317983	Amnesia for recent events
^ESCTAM524637	Amnesia for day to day facts
^ESCTAM524645	Amnesia for important personal information
^ESCTAN394338	Antegrade amnesia
^ESCTAN713775	Anxiety about loss of memory
^ESCTAS676891	Assess memory loss care
^ESCTAT805685	Attention delay
^ESCTBA646219	Bad memory
^ESCTBE315892	Bewilderment
^ESCTBE524685	Bewildered
^ESCTCA524639	Cannot remember today's date
^ESCTCA524642	Cannot remember reigning monarch
^ESCTCA524644	Cannot remember current prime minister
^ESCTCA524646	Cannot remember names of intimates
^ESCTCA524648	Cannot remember own age
^ESCTCA524649	Cannot remember wedding anniversary
^ESCTCA524650	Cannot remember birth dates of children
^ESCTCA524651	Cannot remember name of school
^ESCTCH445237	Chronic confusion
^ESCTCL315890	Clouded consciousness
^ESCTCO347510	Concentration impairment
^ESCTCO634897	Cognitive safety issue
^ESCTCO646208	Cognitive disturbance
^ESCTCO646209	Cognitive dysfunction
^ESCTCO646211	Cognitive deficit
^ESCTCO727473	Cognitive disorder
^ESCTCO764365	Cognitive disorder due to disorder
^ESCTCO804516	Cognitive deficit in attention
^ESCTDA315893	Dazed state
^ESCTDA315895	Dazed
^ESCTDE311996	Defective judgement
^ESCTDE600667	Delayed verbal memory
^ESCTDI263859	Disturbance in judgement
^ESCTDI281201	Disturbance of orientation in time
^ESCTDI313612	Disorientation as to people, time and place
^ESCTDI351571	Disturbance of orientation
^ESCTDI351572	Disorientation
^ESCTDI352055	Disorientation for person
^ESCTDI352056	Disturbance of orientation to person
^ESCTDI352057	Disorientated in person
^ESCTDI358614	Disorientation as to self
^ESCTDI367797	Disorientated in place
^ESCTDI367798	Disturbance of orientation to place
^ESCTDI373671	Disturbance of attention
^ESCTDI427124	Disturbance of cognitive learning
^ESCTDI524591	Difficulty problem solving
^ESCTDI524592	Difficulty solving problems
^ESCTDI524598	Difficulty making plans
^ESCTDI524599	Difficulty making decisions
^ESCTDI524693	Diversion of thought
^ESCTDI557154	Difficulty in remembering dates
^ESCTDI573722	Directs attention
^ESCTDI573724	Difficulty directing attention
^ESCTDI593214	Difficulty reasoning
^ESCTDI593217	Difficulty performing logical sequencing
^ESCTDI593222	Difficulty using decision making strategies
^ESCTDI593227	Difficulty using visuospatial reasoning
^ESCTDI593232	Difficulty using arithmetic reasoning
^ESCTDI593236	Difficulty using verbal reasoning
^ESCTDI593265	Difficulty making considered choices
^ESCTDI596420	Difficulty processing information
^ESCTDI596427	Difficulty analysing information
^ESCTDI596428	Difficulty analyzing information
^ESCTDI600676	Difficulty processing information accurately
^ESCTDI600679	Difficulty processing information at normal speed
^ESCTDI646220	Disturbance of memory
^ESCTDI699503	Difficulty problem solving without conflict
^ESCTDI700214	Diminished judgement
^ESCTDI798132	Difficulty following instructions
^ESCTDI844212	Difficulty recognising familiar people
^ESCTDI844215	Difficulty remembering places
^ESCTDI844322	Difficulty dividing attention
^ESCTDI844335	Difficulty finding way around familiar environment
^ESCTDI844336	Difficulty finding way around school environment
^ESCTDI844338	Difficulty finding way around work environment
^ESCTDI844345	Difficulty identifying choices
^ESCTDI844357	Difficulty making decision on safe entry of visitors
^ESCTDI844359	Difficulty making decision on safe information to give over telephone
^ESCTDI844406	Difficulty recognising objects
^ESCTDI844407	Difficulty recognising objects by sight
^ESCTDI844408	Difficulty recognising objects by touch
^ESCTDI844410	Difficulty recognising surroundings
^ESCTDI844412	Difficulty remembering past events
^ESCTDI844413	Difficulty remembering people
^ESCTDI844414	Difficulty remembering routines
^ESCTDI844419	Difficulty shifting attention
^ESCTDI844429	Difficulty sustaining attention
^ESCTDO573721	Does direct attention
^ESCTDO573723	Does not direct attention
^ESCTDO844235	Does not problem solve
^ESCTDO844236	Does not process information at normal speed
^ESCTDO844239	Does not recognise objects by touch
^ESCTDO844241	Does not remember routines
^ESCTDO844243	Does not shift attention
^ESCTDO844266	Does recognise objects by touch
^ESCTDO844468	Does not analyse information
^ESCTDO844494	Does not divide attention
^ESCTDO844506	Does not find way around familiar environment
^ESCTDO844507	Does not find way around school environment
^ESCTDO844508	Does not find way around work environment
^ESCTDO844516	Does not identify choices
^ESCTDO844528	Does not make decision on safe entry of visitors
^ESCTDO844529	Does not make decision on safe information to give over telephone
^ESCTDO844531	Does not make decisions
^ESCTDO844567	Does not process information
^ESCTDO844568	Does not process information accurately
^ESCTDO844573	Does not recognise familiar people
^ESCTDO844578	Does not recognise objects
