^ESCT1173898	Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
FLVA127091NEMIS	Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
FLVA137918NEMIS	Fluad Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
^ESCT1188861	Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
^ESCT1199425	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) 1 pre-filled disposable injection
ININ1468	Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
INSU82033NEMIS	Influvac Desu  Suspension For Injection  0.5 ml pre-filled syringe
INSU82033NEMIS	Influvac Desu vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd)
INVA127171NEMIS	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
^ESCT1300221	Seasonal influenza vaccination given in school
^ESCTFI843902	First inactivated seasonal influenza vaccination given by midwife
^ESCTIN802297	Influenza vaccination given
^ESCTSE843901	Seasonal influenza vaccination given by midwife
EMISNQAD138	Administration of first quadrivalent (QIV) inactivated seasonal influenza vaccination
EMISNQAD139	Administration of first non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination
EMISNQAD142	Administration of adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination
EMISNQAD144	Administration of first quadrivalent (QIV) inactivated seasonal influenza vaccination given by other healthcare provider
EMISNQAD145	Administration of first non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by other healthcare provider
EMISNQAD147	Administration of adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination given by other healthcare provider
EMISNQAD148	Administration of second quadrivalent (QIV) inactivated seasonal influenza vaccination given by other healthcare provider
EMISNQAD149	Adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination given by pharmacist
EMISNQAD150	Administration of second non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by other healthcare provider
EMISNQAD151	Administration of second quadrivalent (QIV) inactivated seasonal influenza vaccination
EMISNQFI45	First quadrivalent (QIV) inactivated seasonal influenza vaccination given by pharmacist
EMISNQFI46	First non adjuvanted trivalent (TIV) inactivated seasonal influenza vaccination given by pharmacist
EMISNQIN160	Intranasal influenza vaccination
EMISNQSE164	Second quadrivalent (QIV) inactivated seasonal influenza vaccination given by pharmacist
AVVA5297NEMIS	Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (sanofi pasteur MSD Ltd)
AVVA5297NEMIS	Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)
ININ27868EMIS	Inactivated Influenza Vaccine, Surface Antigen  Injection  0.5 ml pre-filled syringe
ININ27868EMIS	Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes
INNA52407NEMIS	Influenza vaccine (live attenuated) nasal suspension 0.2ml unit dose
INSU127173NEMIS	Influenza Vaccine Tetra Myl Suspension For Injection 0.5 ml pre-filled syringe
