F20..	DS - Disseminated sclerosis
F200.	Multiple sclerosis of the brainstem
F201.	Multiple sclerosis of the spinal cord
F202.	Generalised multiple sclerosis
F203.	Exacerbation of multiple sclerosis
F20z.	Multiple sclerosis NOS
X005c	Acute relapsing multiple sclerosis
X005d	Chronic progressive multiple sclerosis
X005e	Remittent-progressive multiple sclerosis
XaOzZ	Benign multiple sclerosis
XaP0X	Malignant multiple sclerosis
XaP0r	Primary progressive multiple sclerosis
XaP1B	Relapsing and remitting multiple sclerosis
XaP1V	Secondary progressive multiple sclerosis
