^ESCT1177677	Mononucleosis syndrome
^ESCT1179006	Bursitis caused by Neisseria gonorrhoeae
^ESCT1190240	Arbovirus hemorrhagic fever
^ESCT1190324	Toxemia of pregnancy
^ESCT1190584	Bacteremia
^ESCT1192261	[X]Viral infection, unspecified
^ESCT1192947	Infection due to Panton-Valentine leukocidin producing Staphylococcus aureus
^ESCT1198969	HIV disease resulting in mycobacterial infection
^ESCT1245674	[V]Asymptomatic human immunodeficiency virus infection status
^ESCT1248065	[X]Special screening examination for other bacterial diseases
^ESCT1270436	Viral disease characterized by exanthem
^ESCT1271690	Other diseases of conjunctiva due to viruses and chlamydiae NEC
^ESCT1376682	Gramme-positive septic shock
^ESCT1376992	Primate erythroparvovirus 1 infection
^ESCT1378984	Timorian filariasis
^ESCT1387119	Symptomatic HIV (human immunodeficiency virus) infection
^ESCT1405642	Lassa haemorrhagic fever
^ESCTAC268822	Actinomycosis
^ESCTAC316430	ACL - Anthroponotic cutaneous leishmaniasis
^ESCTAC338980	Acute gonorrhea of lower genitourinary tract
^ESCTAC351578	Acquired immunodeficiency syndrome
^ESCTAC351581	Acquired immune deficiency syndrome (AIDS)
^ESCTAC420080	Acute human immunodeficiency virus seroconversion illness
^ESCTAC420081	Acute human immunodeficiency virus infection
^ESCTAC474168	Actinomycotic madura foot
^ESCTAC474170	Actinomycotic mycetoma of foot
^ESCTAC474439	Actinomycotic mycetoma
^ESCTAC474441	Actinomycotic mycetema
^ESCTAC477641	Acute tuberculous pericarditis
^ESCTAC480734	Acquired poliosis
^ESCTAC512591	Acnitis
^ESCTAC549158	Acquired syphilis - early latent
^ESCTAC697343	Acquired immune deficiency syndrome-related dementia
^ESCTAC697346	Acquired immune deficiency syndrome dementia complex
^ESCTAD365276	Adenoviral enteritis
^ESCTAD474131	Addison's disease due to tuberculosis
^ESCTAD697345	ADC - Acquired immune deficiency syndrome dementia complex
^ESCTAH345639	AHF - Argentinian hemorrhagic fever
^ESCTAH345646	AHF - Argentinian haemorrhagic fever
^ESCTAI351576	AIDS
^ESCTAI351580	AIDS - Acquired immunodeficiency syndrome
^ESCTAI697344	AIDS - Acquired immune deficiency syndrome dementia complex
^ESCTAL283418	Alveolar hydatid disease
