A72..00	Mumps
A52..00	Chickenpox - varicella
A75..11	Glandular fever
A98z.11	Gonorrhoea
A55..00	Measles
A53..00	Herpes zoster
A56..11	German measles
A53..11	Shingles
A54..00	Herpes simplex
L124.12	Toxaemia NOS
A84..00	Malaria
A38..00	Septicaemia
J633.00	Hepatitis unspecified
A56..00	Rubella
A3...00	Other bacterial diseases
F286.15	Myalgic encephalomyelitis
A79z.00	Viral infection NOS
F563500	Viral labyrinthitis
A544.00	Ophthalmic herpes simplex
AC0..00	Schistosomiasis - bilharziasis
A3B1.00	Staphylococcal infection
R107.00	[D]Unspecified viraemia
A54z.11	Herpes labialis
A362.00	Meningococcal septicaemia
A36..00	Meningococcal infection
A52..11	Chickenpox
A1...00	Tuberculosis
A980200	Acute gonococcal vulvovaginitis
A38z.11	Sepsis
AA0..00	Leptospirosis
A3By300	Mycoplasma infection
A570.11	Fifth disease
43C3.11	HIV positive
N241300	Viral myalgia
A75..00	Infectious mononucleosis
A07y000	Viral gastroenteritis
A79z.11	Viral illness
A061.00	Giardiasis - Lambliasis
A3B0.00	Streptococcal infection
A76..00	Trachoma
A743.00	Hand, foot and mouth disease
M140.00	Dermatitis herpetiformis
Q40A.00	Sepsis of the newborn
A172000	Tuberculous - cervical lymphadenitis
AB64.00	Mycotic mycetomas
A97..12	Treponemal infection
A61..00	Dengue - breakbone fever
A98..00	Gonococcal infections
AC8z.00	Helminthiasis NOS
A871000	Lyme disease
8BAD100	TB chemotherapy
A172.00	Tuberculosis of peripheral lymph nodes
A570.00	Erythema infectiosum - fifth disease
A784.11	Aphthous fever
A97..11	Syphilis
AC7z.00	Intestinal helminthiases NOS
A170600	Tuberculosis lichenoides
A85..00	Leishmaniasis
A57z.11	Non specific viral rash
A544000	Unspecified ophthalmic herpes
A172200	Tuberculous adenitis
A98yz12	Gonococcal septicaemia
A121000	Tuberculosis of hilar lymph nodes
J633z00	Hepatitis unspecified NOS
AC2..11	Hydatid disease
A540.00	Eczema herpeticum - Kaposi's varicelliform eruption
A076.00	Enteritis due to specified virus
A792.00	Coxsackie virus
