^ESCT1165488	Perichondritis of trachea
^ESCT1165914	Infection causing tracheitis in neonate
^ESCT1165915	Infection causing neonatal tracheitis
^ESCT1167431	Chronic inflammation of mastoid cavity
^ESCT1172464	Recurrent acute streptococcal tonsillitis
^ESCT1202723	Chronic serous otitis media of left ear
^ESCT1202724	Chronic serous otitis media of right ear
^ESCT1303160	Croup
^ESCT1367555	Bilateral recurrent acute suppurative otitis media of middle ears
^ESCT1367556	Recurrent acute suppurative otitis media of both middle ears
^ESCT1367557	Recurrent acute suppurative otitis media of bilateral middle ears
^ESCT1368918	Bilateral recurrent acute serous otitis media of middle ears
^ESCT1368919	Recurrent acute serous otitis media of bilateral middle ears
^ESCT1368920	Recurrent acute serous otitis media of both middle ears
^ESCT1368921	Bilateral spontaneous rupture of tympanic membranes of ears co-occurrent and due to recurrent acute suppurative otitis media
^ESCT1368922	Spontaneous rupture of tympanic membranes of both ears co-occurrent and due to recurrent acute suppurative otitis media
^ESCT1368923	Spontaneous rupture of tympanic membranes of bilateral ears co-occurrent and due to recurrent acute suppurative otitis media
^ESCT1368924	Spontaneous rupture of eardrums of bilateral ears co-occurrent and due to recurrent acute suppurative otitis media
^ESCT1368925	Recurrent acute suppurative otitis media of bilateral ears with spontaneous rupture of tympanic membranes
^ESCT1368934	Bilateral chronic mastoiditis
^ESCT1368935	Chronic inflammation of bilateral mastoids
^ESCT1368936	Chronic inflammation of both mastoids
^ESCT1368937	Bilateral middle ear chronic mucoid otitis media
^ESCT1368938	Chronic mucoid otitis media of bilateral middle ears
^ESCT1368939	Chronic mucoid otitis media of both middle ears
^ESCT1368944	Bilateral chronic tympanitis
^ESCT1368945	Chronic bilateral myringitis
^ESCT1368946	Chronic bilateral tympanitis
^ESCT1368947	Chronic inflammation of both tympanic membranes
^ESCT1368948	Chronic inflammation of bilateral tympanic membranes
^ESCT1368955	Bilateral chronic otitis media of ears following insertion of tympanic ventilation tube
^ESCT1368956	Chronic otitis media of both ears following insertion of tympanic ventilation tube
^ESCT1368957	Chronic otitis media of bilateral ears following insertion of tympanic ventilation tube
^ESCT1368958	Bilateral chronic suppurative otitis media of middle ears
^ESCT1368959	Chronic purulent otitis media of bilateral middle ears
^ESCT1368960	Chronic suppurative otitis media of both ears
^ESCT1368961	Chronic suppurative otitis media of bilateral middle ears
^ESCT1369015	Bilateral mastoiditis
^ESCT1369016	Inflammation of bilateral mastoids
^ESCT1369017	Inflammation of both mastoids
^ESCT1369080	Acute left mastoiditis
^ESCT1369081	Acute inflammation of left mastoid
^ESCT1369082	Recurrent acute suppurative otitis media of left ear with spontaneous rupture of tympanic membrane
^ESCT1369083	Spontaneous rupture of tympanic membrane of left ear co-occurrent and due to recurrent acute suppurative otitis media
^ESCT1369084	Spontaneous rupture of eardrum of left ear co-occurrent and due to recurrent acute suppurative otitis media
^ESCT1369085	Adhesive otitis media of left middle ear
^ESCT1369086	Fibrotic adhesive otitis media of left ear
^ESCT1369087	Chronic adhesive otitis media of left ear
^ESCT1369095	Chronic left mastoiditis
^ESCT1369096	Chronic inflammation of left mastoid
^ESCT1369097	Chronic mucoid otitis media of left middle ear
^ESCT1369100	Chronic left myringitis
^ESCT1369101	Chronic left tympanitis
^ESCT1369102	Chronic inflammation of left tympanic membrane
^ESCT1369105	Chronic otitis media of left ear following insertion of tympanic ventilation tube
^ESCT1369106	Chronic suppurative otitis media of left middle ear
^ESCT1369107	Chronic purulent otitis media of left middle ear
^ESCT1369139	Left mastoiditis
^ESCT1369140	Inflammation of left mastoid
^ESCT1369180	Acute right mastoiditis
^ESCT1369181	Acute inflammation of right mastoid
^ESCT1369182	Recurrent acute suppurative otitis media of right ear with spontaneous rupture of tympanic membrane
^ESCT1369183	Spontaneous rupture of eardrum of right ear co-occurrent and due to recurrent acute suppurative otitis media
^ESCT1369184	Spontaneous rupture of tympanic membrane of right ear co-occurrent and due to recurrent acute suppurative otitis media
^ESCT1369185	Adhesive otitis media of right middle ear
^ESCT1369186	Chronic adhesive otitis media of right ear
^ESCT1369187	Fibrotic adhesive otitis media of right ear
^ESCT1369195	Chronic right mastoiditis
^ESCT1369196	Chronic inflammation of right mastoid
^ESCT1369197	Chronic mucoid otitis media of right middle ear
^ESCT1369200	Chronic right myringitis
^ESCT1369201	Chronic right tympanitis
^ESCT1369202	Chronic inflammation of right tympanic membrane
^ESCT1369205	Chronic otitis media of right ear following insertion of tympanic ventilation tube
^ESCT1369206	Chronic suppurative otitis media of right middle ear
^ESCT1369207	Chronic purulent otitis media of right middle ear
^ESCT1369238	Right mastoiditis
^ESCT1369239	Inflammation of right mastoid
^ESCT1391190	Tuberculosis of middle ear
^ESCT1416324	Inflammatory tracheobronchial papilloma
^ESCT1417521	Bilateral mucoid otitis media of middle ears
^ESCT1417522	Acute mucoid otitis media of bilateral middle ears
^ESCT1417523	Acute mucoid otitis media of both middle ears
^ESCT1417524	Bilateral adhesive otitis media of middle ears
^ESCT1417525	Adhesive otitis media of both middle ears
^ESCT1417526	Adhesive otitis media of bilateral middle ears
^ESCT1417538	Bilateral chronic serosanguineous otitis media of middle ears
^ESCT1417539	Chronic serosanguineous otitis media of bilateral middle ears
^ESCT1417540	Chronic serosanguineous otitis media of both middle ears
^ESCT1417562	Acute mucoid otitis media of left middle ear
^ESCT1417566	Chronic atticoantral suppurative otitis media of left middle ear
^ESCT1417568	Chronic tubotympanic suppurative otitis media of left middle ear
^ESCT1417582	Acute mucoid otitis media of right middle ear
^ESCT1417586	Chronic atticoantral suppurative otitis media of right middle ear
^ESCT1417588	Chronic tubotympanic suppurative otitis media of right middle ear
^ESCTAB342490	Abscess of trachea
^ESCTAB388061	Abscess of parapharyngeal space
^ESCTAB388062	Abscess of lateral pharyngeal space
^ESCTAC250324	Acute tympanitis
^ESCTAC263243	Acute seromucinous otitis media
^ESCTAC273697	Acute suppurative otitis media without spontaneous rupture of ear drum
^ESCTAC275070	Acute inflammation of nasal sinus
^ESCTAC275071	Acute inflammation of sinus
^ESCTAC275072	Acute infection of sinus
^ESCTAC280788	Acute exudative otitis media
^ESCTAC297620	Acute epiglottitis and supraglottitis
^ESCTAC306678	Acute transudative otitis media
^ESCTAC306679	Acute middle ear effusion
^ESCTAC306680	Acute MEE - Acute middle ear effusion
^ESCTAC334891	Acute mucoid otitis media
^ESCTAC360324	Acute ethmoiditis
^ESCTAC372774	Acute bacterial sinusitis
^ESCTAC376059	Acute sanguinous otitis media
^ESCTAC376060	Acute non-suppurative otitis media with haemotympanum
^ESCTAC376061	Acute non-suppurative otitis media with hemotympanum
^ESCTAC376062	Acute non-suppurative otitis media - sanguinous
^ESCTAC376063	Acute non-suppurative otitis media - bloody
^ESCTAC388436	Acute tubotympanic catarrh
^ESCTAC388437	Acute catarrhal otitis media
^ESCTAC390295	Acute suppurative otitis media with spontaneous rupture of ear drum
^ESCTAC390297	Acute suppurative otitis media with discharge
^ESCTAC417159	Acute suppurative mastoiditis
^ESCTAC419709	Acute mastoiditis with complications
^ESCTAC465637	Acute necrotising ulcerative gingivostomatitis
^ESCTAC465639	Acute necrotizing ulcerative gingivostomatitis
^ESCTAC477455	Acute serous otitis media
^ESCTAC477470	Acute purulent otitis media
^ESCTAC477471	Acute suppurative otitis media due to another disease
^ESCTAC478015	Acute exudative tonsillitis
^ESCTAC503401	Acute mastoiditis with neck abscess
^ESCTAC503404	Acute mastoiditis with facial paralysis
^ESCTAC503405	Acute mastoiditis and facial palsy
^ESCTAC503406	Acute mastoiditis with labyrinthitis
^ESCTAC505592	Acute toxic tracheobronchitis
^ESCTAC505593	Acute toxic bronchitis
^ESCTAC557379	Acute fibrinous laryngotracheobronchitis
^ESCTAC601583	Acute infective tracheobronchitis
^ESCTAC620426	Acute nonsuppurative otitis media
^ESCTAC621488	Acute necrotising otitis media
^ESCTAC621489	Acute necrotizing otitis media
^ESCTAC661640	Acute necrotizing ulcerative gingivitis
^ESCTAC661644	Acute ulceromembranous gingivitis
^ESCTAC798735	Acute bilateral otitis media with effusion
^ESCTAC802513	Acute persistent otitis media
^ESCTAD262242	Adhesive otitis media
^ESCTAD283279	Adhesive middle ear disease with adhesions of drum head to stapes
^ESCTAD283280	Adhesion of tympanic membrane to stapes
^ESCTAD301058	Adhesive middle ear disease with adhesions of drum head to incus
^ESCTAD301059	Adhesion of tympanic membrane to incus
^ESCTAD313114	Adhesive middle ear disease with adhesions of drum head to promontorium
^ESCTAD313115	Adhesion of tympanic membrane to promontory
^ESCTAN273812	Angina tonsillaris
^ESCTAN661642	ANUG
^ESCTAO254864	AOM - Acute otitis media
^ESCTAS477469	ASOM - Acute suppurative otitis media
^ESCTAS761875	Aspergillus tracheobronchitis
^ESCTAT503387	Atrophic tympanic membrane
^ESCTAT503388	Atelectasis of eardrum
^ESCTBA757611	Bacterial tonsillitis
^ESCTBA757612	Bacterial otitis media
^ESCTBA757613	Bacterial sinusitis
^ESCTBE306032	Benign chronic suppurative otitis media with anterior perforation of ear drum
^ESCTBE503403	Bezold's abscess
^ESCTBL334892	Blue drum syndrome
^ESCTBO292413	Bordetellosis
^ESCTCA331326	Catarrhal tracheitis
^ESCTCE286934	Cellulitis of pharynx
^ESCTCH262240	Chronic adhesive otitis media
^ESCTCH283682	Chronic otitis media
^ESCTCH295551	Cholesterin granuloma of middle ear
^ESCTCH306031	Chronic tubotympanic disease with anterior perforation of ear drum
^ESCTCH311848	Chronic otitis media with perforation
^ESCTCH314461	Chronic infection of sinus
^ESCTCH317615	Chronic atticoantral suppurative otitis media
^ESCTCH317616	Chronic atticoantral disease with posterior AND/OR superior marginal perforation of ear drum
^ESCTCH320157	Chronic exudative otitis media
