var1	var2
94632009	Secondary malignant neoplasm of thymus (disorder)
94453007	Secondary malignant neoplasm of orbit proper (disorder)
274088005	Secondary malignant neoplasm of unknown site (disorder)
1090131000000106	Secondary malignant neoplasm of anterior cervical lymph nodes (disorder)
269473008	Secondary malignant neoplasm of respiratory and digestive systems (disorder)
94580002	Secondary malignant neoplasm of small intestine (disorder)
94313005	Secondary malignant neoplasm of gastrointestinal tract (disorder)
94661005	Secondary malignant neoplasm of urethra (disorder)
188454009	Secondary malignant neoplasm of skin of head (disorder)
94600009	Secondary malignant neoplasm of spinal cord (disorder)
255118005	Secondary lymphangitic carcinoma (disorder)
94554003	Secondary malignant neoplasm of skin of face (disorder)
188445006	Secondary malignant neoplasm of retroperitoneum and peritoneum (disorder)
94597008	Secondary malignant neoplasm of spermatic cord (disorder)
285603002	Metastasis to bronchus of unknown primary (disorder)
94668004	Secondary malignant neoplasm of vagina (disorder)
314962005	Local recurrence of malignant tumor of gallbladder (disorder)
314999005	Metastasis from malignant tumor of pancreas (disorder)
285640005	Metastasis to bladder of unknown primary (disorder)
94665001	Secondary malignant neoplasm of uterus (disorder)
285609003	Metastasis to small intestine of unknown primary (disorder)
94402006	Secondary malignant neoplasm of male genital organ (disorder)
314998002	Metastasis from malignant tumor of colon (disorder)
94347008	Secondary malignant neoplasm of intra-abdominal lymph nodes (disorder)
285612000	Metastasis to rectum of unknown primary (disorder)
285615003	Metastasis to spleen of unknown primary (disorder)
94398002	Secondary malignant neoplasm of lymph nodes of upper limb (disorder)
314996003	Metastasis from malignant tumor of kidney (disorder)
94659001	Secondary malignant neoplasm of ureter (disorder)
94217008	Secondary malignant neoplasm of bone marrow (disorder)
314974009	Local recurrence of malignant tumor of soft tissue (disorder)
94381002	Secondary malignant neoplasm of liver (disorder)
94634005	Secondary malignant neoplasm of thyroid gland (disorder)
94663008	Secondary malignant neoplasm of urinary system (disorder)
285642002	Metastasis to eye of unknown primary (disorder)
314964006	Local recurrence of malignant tumor of pancreas (disorder)
188471005	Secondary malignant neoplasm of epididymis AND vas deferens (disorder)
286902000	Secondary carcinoma of gastrointestinal tract (disorder)
94360002	Secondary malignant neoplasm of kidney (disorder)
94602001	Secondary malignant neoplasm of vertebral column (disorder)
813671000000107	Secondary malignant neoplasm of liver and intrahepatic bile duct (disorder)
285639008	Metastasis to kidney of unknown primary (disorder)
94275007	Secondary malignant neoplasm of duodenum (disorder)
314965007	Local recurrence of malignant tumor of colon (disorder)
1090141000000102	Secondary malignant neoplasm of superficial cervical lymph nodes (disorder)
285616002	Metastasis to peritoneum of unknown primary (disorder)
94623007	Secondary malignant neoplasm of testis (disorder)
314969001	Local recurrence of malignant tumor of prostate (disorder)
255123005	Metastasis to nervous system and eye (disorder)
94611001	Secondary malignant neoplasm of submental lymph nodes (disorder)
314991008	Metastasis from malignant tumor of adrenal gland (disorder)
94603006	Secondary malignant neoplasm of spleen (disorder)
314990009	Metastasis from malignant tumor of bone (disorder)
94365007	Secondary malignant neoplasm of large intestine (disorder)
285617006	Metastasis to retroperitoneum of unknown primary (disorder)
94283001	Secondary malignant neoplasm of epididymis (disorder)
314968009	Local recurrence of malignant tumor of urinary bladder (disorder)
315000005	Metastasis from malignant tumor of liver (disorder)
285634003	Metastasis to breast of unknown primary (disorder)
94612008	Secondary malignant neoplasm of superficial inguinal lymph nodes (disorder)
94357009	Secondary malignant neoplasm of jejunum (disorder)
94297009	Secondary malignant neoplasm of female breast (disorder)
94513006	Secondary malignant neoplasm of rectum (disorder)
285607001	Metastasis to mediastinum of unknown primary (disorder)
1090171000000108	Secondary malignant neoplasm of sacral lymph nodes (disorder)
314994000	Metastasis from malignant tumor of prostate (disorder)
285614004	Metastasis to pancreas of unknown primary (disorder)
94455000	Secondary malignant neoplasm of ovary (disorder)
94515004	Secondary malignant neoplasm of respiratory tract (disorder)
94181007	Secondary malignant neoplasm of axillary lymph nodes (disorder)
94409002	Secondary malignant neoplasm of mediastinum (disorder)
94416001	Secondary malignant neoplasm of mouth (disorder)
314961003	Local recurrence of malignant tumor of stomach (disorder)
314963000	Local recurrence of malignant tumor of liver (disorder)
94260004	Secondary malignant neoplasm of colon (disorder)
285637005	Metastasis to ovary of unknown primary (disorder)
94491007	Secondary malignant neoplasm of pituitary gland (disorder)
94335002	Secondary malignant neoplasm of ileum (disorder)
94393006	Secondary malignant neoplasm of lymph nodes of face (disorder)
314970000	Local recurrence of malignant tumor of cervix (disorder)
1090161000000101	Secondary malignant neoplasm of diaphragmatic lymph nodes (disorder)
1090221000000100	Secondary malignant neoplasm of internal iliac lymph nodes (disorder)
94350006	Secondary malignant neoplasm of intrapelvic lymph nodes (disorder)
94609005	Secondary malignant neoplasm of submandibular lymph nodes (disorder)
307226002	Metastatic adenocarcinoma of unknown origin (disorder)
94449005	Secondary malignant neoplasm of occipital lymph nodes (disorder)
94233006	Secondary malignant neoplasm of bronchus (disorder)
314973003	Local recurrence of malignant tumor of bone (disorder)
285631006	Metastasis to skin of unknown primary (disorder)
94248000	Secondary malignant neoplasm of cerebrum (disorder)
1090101000000100	Secondary malignant neoplasm of supratrochlear lymph nodes (disorder)
285635002	Metastasis to uterus of unknown primary (disorder)
94280003	Secondary malignant neoplasm of endocrine gland (disorder)
303201005	Metastasis to multiple lymph nodes (disorder)
94579000	Secondary malignant neoplasm of skin (disorder)
128462008	Secondary malignant neoplastic disease (disorder)
94626004	Secondary malignant neoplasm of omentum (disorder)
314953008	Local recurrence of malignant tumor of thyroid gland (disorder)
1090201000000109	Secondary malignant neoplasm of deep inguinal lymph nodes (disorder)
94494004	Secondary malignant neoplasm of popliteal lymph nodes (disorder)
94292003	Secondary malignant neoplasm of eye (disorder)
94338000	Secondary malignant neoplasm of infraclavicular lymph nodes (disorder)
285644001	Metastasis to lymph node of unknown primary (disorder)
94395004	Secondary malignant neoplasm of lymph nodes of lower limb (disorder)
315008003	Metastasis from malignant tumor of buccal cavity (disorder)
4305004	Metastatic signet ring cell carcinoma (morphologic abnormality)
94161006	Secondary malignant neoplasm of adrenal gland (disorder)
315002002	Metastasis from malignant tumor of stomach (disorder)
285611007	Metastasis to colon of unknown primary (disorder)
314989000	Metastasis from malignant tumor of soft tissues (disorder)
188462001	Secondary malignant neoplasm of brain and spinal cord (disorder)
1090081000000106	Secondary malignant neoplasm of paratracheal lymph nodes (disorder)
315005000	Metastasis from malignant tumor of bronchus (disorder)
314987003	Metastasis from malignant melanoma of skin (disorder)
314952003	Local recurrence of malignant tumor of buccal cavity (disorder)
94514000	Secondary malignant neoplasm of renal pelvis (disorder)
94503003	Secondary malignant neoplasm of prostate (disorder)
94227002	Secondary malignant neoplasm of bronchopulmonary lymph nodes (disorder)
94392001	Secondary malignant neoplasm of lymph node (disorder)
285633009	Metastasis to soft tissue of unknown primary (disorder)
94225005	Secondary malignant neoplasm of brain (disorder)
94638008	Secondary malignant neoplasm of tongue (disorder)
94410007	Secondary malignant neoplasm of mesenteric lymph nodes (disorder)
94493005	Secondary malignant neoplasm of pleura (disorder)
285604008	Metastasis to lung of unknown primary (disorder)
94254004	Secondary malignant neoplasm of choroid (disorder)
94642006	Secondary malignant neoplasm of tracheobronchial lymph nodes (disorder)
315004001	Metastasis from malignant tumor of breast (disorder)
1090091000000108	Secondary malignant neoplasm of internal mammary lymph nodes (disorder)
94531007	Secondary malignant neoplasm of scrotum (disorder)
314960002	Local recurrence of malignant tumor of esophagus (disorder)
94391008	Secondary malignant neoplasm of lung (disorder)
94452002	Secondary malignant neoplasm of optic nerve (disorder)
4590003	Adenocarcinoma  metastatic (morphologic abnormality)
94575006	Secondary malignant neoplasm of skin of trunk (disorder)
405843009	Widespread metastatic malignant neoplastic disease (disorder)
315003007	Metastasis from malignant tumor of esophagus (disorder)
285643007	Metastasis to adrenal gland of unknown primary (disorder)
285598005	Metastasis to trachea of unknown primary (disorder)
314976006	Local recurrence of malignant melanoma of skin (disorder)
134421000	Pathological fracture due to metastatic bone disease (disorder)
94475009	Secondary malignant neoplasm of parotid lymph nodes (disorder)
94432003	Secondary malignant neoplasm of muscle (disorder)
94628003	Secondary malignant neoplasm of retroperitoneum (disorder)
188459004	Secondary malignant neoplasm of skin of hip and leg (disorder)
94459006	Secondary malignant neoplasm of pancreas (disorder)
188458007	Secondary malignant neoplasm of skin of shoulder and arm (disorder)
255124004	Metastasis to peripheral nerve (disorder)
285605009	Metastasis to pleura of unknown primary (disorder)
94566009	Secondary malignant neoplasm of skin of neck (disorder)
275266006	Metastasis to digestive organs (disorder)
1090121000000109	Secondary malignant neoplasm of deep cervical lymph nodes (disorder)
94336001	Secondary malignant neoplasm of iliac lymph nodes (disorder)
94327000	Secondary malignant neoplasm of heart (disorder)
315007008	Metastasis from malignant tumor of thyroid (disorder)
94351005	Secondary malignant neoplasm of intrathoracic lymph nodes (disorder)
94408005	Secondary malignant neoplasm of mediastinal lymph nodes (disorder)
1090191000000107	Secondary malignant neoplasm of coeliac lymph nodes (disorder)
285608006	Metastasis to thymus of unknown primary (disorder)
303194003	Metastasis to head and neck lymph node (disorder)
94477001	Secondary malignant neoplasm of pectoral axillary lymph nodes (disorder)
314966008	Local recurrence of malignant tumor of rectum (disorder)
314955001	Local recurrence of malignant tumor of breast (disorder)
285606005	Metastasis to heart of unknown primary (disorder)
285638000	Metastasis to vagina of unknown primary (disorder)
314951005	Local recurrence of malignant tumor of tongue (disorder)
94481001	Secondary malignant neoplasm of penis (disorder)
94681006	Secondary malignant neoplasm of vulva (disorder)
94544002	Secondary malignant neoplasm of skin of breast (disorder)
1090181000000105	Secondary malignant neoplasm of inferior epigastric lymph nodes (disorder)
314992001	Metastasis from malignant tumor of cervix (disorder)
94264008	Secondary malignant neoplasm of soft tissues (disorder)
285610008	Metastasis to large intestine of unknown primary (disorder)
285641009	Metastasis to brain of unknown primary (disorder)
94641004	Secondary malignant neoplasm of trachea (disorder)
314967004	Local recurrence of malignant tumor of kidney (disorder)
1090151000000104	Secondary malignant neoplasm of mastoid lymph nodes (disorder)
94446003	Secondary malignant neoplasm of obturator lymph nodes (disorder)
94627008	Secondary malignant neoplasm of peritoneum (disorder)
1090211000000106	Secondary malignant neoplasm of circumflex iliac lymph nodes (disorder)
94396003	Secondary malignant neoplasm of lymph nodes of multiple sites (disorder)
94186002	Secondary malignant neoplasm of bladder (disorder)
94222008	Secondary malignant neoplasm of bone (disorder)
94442001	Secondary malignant neoplasm of nervous system (disorder)
314995004	Metastasis from malignant tumor of bladder (disorder)
314993006	Metastasis from malignant tumor of uterus (disorder)
315001009	Metastasis from malignant tumor of gallbladder (disorder)
94573004	Secondary malignant neoplasm of skin of thigh (disorder)
94647000	Secondary malignant neoplasm of trigone of urinary bladder (disorder)
94448002	Secondary malignant neoplasm of occipital lobe (disorder)
94314004	Secondary malignant neoplasm of gingival mucosa (disorder)
94454001	Secondary malignant neoplasm of oropharynx (disorder)
94333009	Secondary malignant neoplasm of hypopharyngeal aspect of interarytenoid fold (disorder)
94168000	Secondary malignant neoplasm of anterior portion of floor of mouth (disorder)
94256002	Secondary malignant neoplasm of clavicle (disorder)
94610000	Secondary malignant neoplasm of submaxillary gland (disorder)
94458003	Secondary malignant neoplasm of tonsil (disorder)
94476005	Secondary malignant neoplasm of patella (disorder)
94319009	Secondary malignant neoplasm of great vessels (disorder)
94375005	Secondary malignant neoplasm of left lower lobe of lung (disorder)
369521009	Secondary malignant neoplasm of right fallopian tube (disorder)
128465005	Secondary malignant neoplasm of articular cartilage (disorder)
94576007	Secondary malignant neoplasm of skin of umbilicus (disorder)
94605004	Secondary malignant neoplasm of sternum (disorder)
94192008	Secondary malignant neoplasm of blood vessel of finger (disorder)
1098981000119101	Recurrent malignant neoplasm of prostate (disorder)
94278009	Secondary malignant neoplasm of endocardium (disorder)
94420002	Secondary malignant neoplasm of muscle of face (disorder)
94587004	Secondary malignant neoplasm of soft tissues of hip (disorder)
94523002	Secondary malignant neoplasm of right middle lobe of lung (disorder)
94473002	Secondary malignant neoplasm of parietal pleura (disorder)
94594001	Secondary malignant neoplasm of soft tissues of thorax (disorder)
94645008	Secondary malignant neoplasm of trapezoid bone (disorder)
94348003	Secondary malignant neoplasm of intra-abdominal organs (disorder)
94291005	Secondary malignant neoplasm of extrahepatic bile ducts (disorder)
94397007	Secondary malignant neoplasm of lymph nodes of neck (disorder)
94457008	Secondary malignant neoplasm of palatine bone (disorder)
94479003	Secondary malignant neoplasm of pelvic peritoneum (disorder)
94490008	Secondary malignant neoplasm of pisiform bone of hand (disorder)
94353008	Secondary malignant neoplasm of ischium (disorder)
94654006	Secondary malignant neoplasm of upper limb (disorder)
94261000	Secondary malignant neoplasm of commissure of lip (disorder)
94371001	Secondary malignant neoplasm of lateral portion of floor of mouth (disorder)
94621009	Secondary malignant neoplasm of temporal bone (disorder)
94253005	Secondary malignant neoplasm of chest wall (disorder)
94578008	Secondary malignant neoplasm of skin of wrist (disorder)
94232001	Secondary malignant neoplasm of bronchus of right upper lobe (disorder)
94219006	Secondary malignant neoplasm of bone of lower limb (disorder)
94640003	Secondary malignant neoplasm of tonsillar pillar (disorder)
94671007	Secondary malignant neoplasm of vas deferens (disorder)
94433008	Secondary malignant neoplasm of myocardium (disorder)
359782004	Metastatic malignant neoplasm to apex of urinary bladder (disorder)
94266005	Secondary malignant neoplasm of cranial nerve (disorder)
94467003	Secondary malignant neoplasm of parathyroid gland (disorder)
94244003	Secondary malignant neoplasm of central portion of female breast (disorder)
449632009	Secondary malignant neoplasm of lower leg (disorder)
94284007	Secondary malignant neoplasm of epiglottis (disorder)
94301000	Secondary malignant neoplasm of fibula (disorder)
94337005	Secondary malignant neoplasm of ilium (disorder)
94205006	Secondary malignant neoplasm of blood vessel of shoulder (disorder)
94598003	Secondary malignant neoplasm of sphenoid bone (disorder)
94175004	Secondary malignant neoplasm of appendix (disorder)
94413009	Secondary malignant neoplasm of middle ear (disorder)
94615005	Secondary malignant neoplasm of supraclavicular region (disorder)
94187006	Secondary malignant neoplasm of blood vessel of abdomen (disorder)
94224009	Secondary malignant neoplasm of brain stem (disorder)
94166001	Secondary malignant neoplasm of anterior aspect of epiglottis (disorder)
94195005	Secondary malignant neoplasm of blood vessel of hand (disorder)
94330007	Secondary malignant neoplasm of hypogastric lymph nodes (disorder)
94421003	Secondary malignant neoplasm of muscle of head (disorder)
449631002	Secondary malignant neoplasm of skin of upper arm (disorder)
94343007	Secondary malignant neoplasm of inner aspect of upper lip (disorder)
722671009	Metastatic malignant neoplasm of meninges (disorder)
94512001	Secondary malignant neoplasm of rectovesical septum (disorder)
94504009	Secondary malignant neoplasm of pubis (disorder)
402546004	Basal cell carcinoma - third recurrence (disorder)
94649002	Secondary malignant neoplasm of trunk (disorder)
369476004	Malignant tumor involving bladder by separate metastasis from endometrium (disorder)
94196006	Secondary malignant neoplasm of blood vessel of head (disorder)
94228007	Secondary malignant neoplasm of bronchus of left lower lobe (disorder)
94559008	Secondary malignant neoplasm of skin of groin (disorder)
94179005	Secondary malignant neoplasm of ascending colon (disorder)
94571002	Secondary malignant neoplasm of skin of shoulder (disorder)
94358004	Secondary malignant neoplasm of junctional region of epiglottis (disorder)
94428009	Secondary malignant neoplasm of muscle of shoulder (disorder)
94197002	Secondary malignant neoplasm of blood vessel of hip (disorder)
94499009	Secondary malignant neoplasm of posterior wall of oropharynx (disorder)
94436000	Secondary malignant neoplasm of nasal cavity (disorder)
94202009	Secondary malignant neoplasm of blood vessel of pelvis (disorder)
94629006	Secondary malignant neoplasm of thigh (disorder)
94591009	Secondary malignant neoplasm of soft tissues of pelvis (disorder)
94208008	Secondary malignant neoplasm of blood vessel of toe (disorder)
94540006	Secondary malignant neoplasm of skin of ankle (disorder)
94683009	Secondary malignant neoplasm of zygomatic bone (disorder)
94586008	Secondary malignant neoplasm of soft tissues of head (disorder)
94545001	Secondary malignant neoplasm of skin of buttock (disorder)
15956181000119102	Secondary adenocarcinoma of bilateral lungs (disorder)
94158005	Secondary malignant neoplasm of adenoid (disorder)
94482008	Secondary malignant neoplasm of periadrenal tissue (disorder)
94674004	Secondary malignant neoplasm of vermilion border of lower lip (disorder)
94245002	Secondary malignant neoplasm of cerebellum (disorder)
94325008	Secondary malignant neoplasm of head of pancreas (disorder)
91281000119103	Secondary adenocarcinoma of bone (disorder)
94204005	Secondary malignant neoplasm of blood vessel of popliteal space (disorder)
94492000	Secondary malignant neoplasm of placenta (disorder)
94508007	Secondary malignant neoplasm of radius (disorder)
94274006	Secondary malignant neoplasm of thoracic vertebral column (disorder)
94577003	Secondary malignant neoplasm of skin of upper limb (disorder)
94418000	Secondary malignant neoplasm of muscle of abdomen (disorder)
94359007	Secondary malignant neoplasm of junctional zone of tongue (disorder)
94526005	Secondary malignant neoplasm of sacrococcygeal region (disorder)
94460001	Secondary malignant neoplasm of pancreatic duct (disorder)
94434002	Secondary malignant neoplasm of myometrium (disorder)
94238002	Secondary malignant neoplasm of carina (disorder)
94528006	Secondary malignant neoplasm of scalene lymph nodes (disorder)
449630001	Secondary malignant neoplasm of skin of lower leg (disorder)
94155008	Secondary malignant neoplasm of accessory sinus (disorder)
94624001	Secondary malignant neoplasm of the mesentery (disorder)
94412004	Secondary malignant neoplasm of metatarsal bone (disorder)
369523007	Secondary malignant neoplasm of left ovary (disorder)
94329002	Secondary malignant neoplasm of hilus of lung (disorder)
704152002	Metastatic neuroblastoma (disorder)
94411006	Secondary malignant neoplasm of metacarpal bone (disorder)
404094007	Metastasis involving oral cavity (disorder)
369540003	Malignant tumor involving right broad ligament by metastasis from ovary (disorder)
94643001	Secondary malignant neoplasm of transverse colon (disorder)
403906006	Metastatic squamous cell carcinoma (disorder)
94220000	Secondary malignant neoplasm of bone of skull (disorder)
94604000	Secondary malignant neoplasm of splenic flexure of colon (disorder)
94431005	Secondary malignant neoplasm of muscle of upper limb (disorder)
71111000119109	Recurrent primary malignant neoplasm of vulva (disorder)
369556008	Malignant tumor involving right fallopian tube by separate metastasis from uterine cervix (disorder)
94583000	Secondary malignant neoplasm of soft tissues of axilla (disorder)
94271003	Secondary malignant neoplasm of descending colon (disorder)
94394000	Secondary malignant neoplasm of lymph nodes of head (disorder)
94380001	Secondary malignant neoplasm of lip (disorder)
94547009	Secondary malignant neoplasm of skin of chest (disorder)
94510009	Secondary malignant neoplasm of rectouterine pouch (disorder)
94567000	Secondary malignant neoplasm of skin of nose (disorder)
94366008	Secondary malignant neoplasm of laryngeal aspect of aryepiglottic fold (disorder)
94488007	Secondary malignant neoplasm of pharynx (disorder)
94299007	Secondary malignant neoplasm of femoral lymph nodes (disorder)
94441008	Secondary malignant neoplasm of neck (disorder)
94469000	Secondary malignant neoplasm of paravaginal lymph nodes (disorder)
94289002	Secondary malignant neoplasm of eustachian tube (disorder)
369564002	Malignant tumor involving left ovary by separate metastasis from vagina (disorder)
94478006	Secondary malignant neoplasm of pelvic bone (disorder)
94451009	Secondary malignant neoplasm of olfactory nerve (disorder)
94235004	Secondary malignant neoplasm of cecum (disorder)
719052006	Recurrent squamous cell carcinoma (disorder)
94601008	Secondary malignant neoplasm of spinal meninges (disorder)
94177007	Secondary malignant neoplasm of areola of male breast (disorder)
94405008	Secondary malignant neoplasm of maxilla (disorder)
94404007	Secondary malignant neoplasm of mastoid air cells (disorder)
94530008	Secondary malignant neoplasm of sclera (disorder)
94678001	Secondary malignant neoplasm of visceral pleura (disorder)
94276008	Secondary malignant neoplasm of ectopic female breast tissue (disorder)
94198007	Secondary malignant neoplasm of blood vessel of inguinal region (disorder)
709190005	Metastatic leiomyosarcoma (morphologic abnormality)
94317006	Secondary malignant neoplasm of glossopharyngeal nerve (disorder)
94581003	Secondary malignant neoplasm of soft palate (disorder)
94331006	Secondary malignant neoplasm of hypoglossal nerve (disorder)
94273000	Secondary malignant neoplasm of dorsal surface of tongue (disorder)
94306005	Secondary malignant neoplasm of forearm (disorder)
94364006	Secondary malignant neoplasm of lacrimal gland (disorder)
94437009	Secondary malignant neoplasm of nasal concha (disorder)
94262007	Secondary malignant neoplasm of common bile duct (disorder)
94295001	Secondary malignant neoplasm of fallopian tube (disorder)
94242004	Secondary malignant neoplasm of cauda equina (disorder)
94211009	Secondary malignant neoplasm of blood vessel (disorder)
94378007	Secondary malignant neoplasm of lesser curvature of stomach (disorder)
94355001	Secondary malignant neoplasm of isthmus of uterus (disorder)
94362005	Secondary malignant neoplasm of labia minora (disorder)
94282006	Secondary malignant neoplasm of epicardium (disorder)
94290006	Secondary malignant neoplasm of exocervix (disorder)
94487002	Secondary malignant neoplasm of phalanx of hand (disorder)
94374009	Secondary malignant neoplasm of lateral wall of urinary bladder (disorder)
94484009	Secondary malignant neoplasm of pericardium (disorder)
94618007	Secondary malignant neoplasm of tail of pancreas (disorder)
94270002	Secondary malignant neoplasm of cystic duct (disorder)
94321004	Secondary malignant neoplasm of gum (disorder)
94190000	Secondary malignant neoplasm of blood vessel of buttock (disorder)
94592002	Secondary malignant neoplasm of soft tissues of perineum (disorder)
94548004	Secondary malignant neoplasm of skin of chin (disorder)
415287001	Relapsing chronic myeloid leukemia (disorder)
402563000	Metastatic malignant melanoma with diffuse hypermelanosis (disorder)
94516003	Secondary malignant neoplasm of retina (disorder)
94316002	Secondary malignant neoplasm of glomus jugulare (disorder)
94595000	Secondary malignant neoplasm of soft tissues of trunk (disorder)
241861008	Metastatic malignant neoplasm to nasopharynx (disorder)
94294002	Secondary malignant neoplasm of facial nerve (disorder)
94185003	Secondary malignant neoplasm of biliary tract (disorder)
94511008	Secondary malignant neoplasm of rectovaginal septum (disorder)
94415002	Secondary malignant neoplasm of minor salivary gland (disorder)
94517007	Secondary malignant neoplasm of retrocecal tissue (disorder)
