bu1..	Dipyridamole
bu1z.	Dipyridamole 10mg/2mL injection
bu13.	Persantin 10mg/2mL injection
bu1G.	OFCRAM PR 200mg m/r capsules
bu1F.	ATTIA 200mg m/r capsules
bu1E.	Dipyridamole 50mg/5mL oral suspension
bu1C.	Dipyridamole 200mg m/r capsule
bu1D.	Persantin Retard 200mg m/r capsule
bu15.	Dipyridamole 100mg tablet
bu1A.	Modaplate 100mg tablet
bu19.	Cerebrovase 100mg tablet
bu17.	Vasyrol 100mg tablet
bu12.	Persantin 100mg tablet
bu14.	Dipyridamole 25mg tablet
bu1B.	Modaplate 25mg tablet
bu18.	Cerebrovase 25mg tablet
bu16.	Vasyrol 25mg tablet
bu11.	Persantin 25mg tablet
bu4..	Dipyridamole+aspirin
bu43.	MOLITA 200mg/25mg m/r capsules
bu41.	Dipyridamole+aspirin 200mg/25mg m/r capsule
bu42.	Asasantin Retard m/r capsule
x02nK	Persantin
x03kg	Persantin Retard
x02jc	Modaplate
x02X6	Cerebrovase
x04tC	Asasantin Retard
