13S..	Maternity allowances
13S1.	Maternity grant
13S2.	Maternity allowance
13S3.	Maternity pay
62Z..	Maternal care NOS
63C5.	Maternal tobacco abuse
63C6.	Maternal drug abuse
63C6.	Maternal drug misuse
63C7.	Maternal alcohol abuse
63D..	Placental details
63D..	Placental observation
63D5.	Placental abnormality
63DZ.	Placental details NOS
6734.	Counselled by a midwife
67A..	Pregnancy advice
67A1.	Infant feeding advice
67A6.	Drugs in pregnancy advice
67A8.	Maternity grant advice
67A9.	Maternity benefit advice
67AA.	Maternity milk and vitamins advice
67AZ.	Pregnancy advice NOS
7E0A.	Gamete intrauterine transfer
7E0A.	GIUT - Gamete intrauterine transfer
7E0Ay	Other specified introduction of gamete into uterine cavity
7E0Az	Introduction of gamete into uterine cavity NOS
7E242	Endoscopic oocyte recovery NEC
7E242	Laparoscopic oocyte recovery
7E242	Laparoscopic oocyte recovery (& NEC)
7F...	Childbirth operations
7F...	Obstetric operations
7F...	Pregnancy operations
7F054	Biopsy of placenta NEC
7F1A4	Trial of labour NEC
95...	Maternity services admin.
951..	FP24 - mat claim-on obst.list
951..	FP24 maternity claim status
951..	GP24 - mat claim-on obst.list
951..	GP24 maternity claim status
951..	Maternity claim status (& on obst.list): [FP24] or [GP24]
9513.	Checked by staff: [FP24] or [GP24]
9513.	GP24 claim checked by staff
9516.	GP24 paid by HB - underpaid
9516.	Paid - underpaid: [FP24 by FPC] or [GP24 by HB]
9517.	GP24 paid by HB - overpaid
9517.	Paid - overpaid: [FP24 by FPC] or [GP24 by HB]
9518.	Contacted re mistake: [FP24 -FPC] or [GP24 - HB]
9518.	GP24 - HB contacted re mistake
9519.	GP24 - HB make up payment
9519.	Make up payment: [FP24 -FPC] or [GP24 - HB]
951A.	Dispute fee due: [FP24 -FPC] or [GP24 - HB]
951A.	GP24 - HB dispute fee due
951Z.	FP24 mat.claim status NOS
951Z.	GP24 mat.claim status NOS
951Z.	Mat.claim status NOS: [FP24] or [GP24]
952..	FP24A - mat claim-not obst lis
952..	FP24A maternity claim status
952..	GP24A - mat claim-not obst lis
952..	GP24A maternity claim status
952..	Maternity claim status (& not on obst.list): [FP24A] or [GP24A]
9522.	Completed by Dr: [FP24A] or [GP24A]
9522.	GP24A completed by Dr.
9523.	Checked by staff: [FP24A] or [GP24A]
9523.	GP24A claim checked by staff
9524.	GP24A sent to HB
9524.	Sent: [FP24A sent to FPC] or [GP24A sent to HB]
9525.	GP24A paid by HB - checked
9525.	Paid - checked: [FP24A by FPC] or [GP24A by HB]
9526.	GP24A paid by HB - underpaid
9526.	Paid - underpaid: [FP24A by FPC] or [GP24A by HB]
9527.	GP24A paid by HB - overpaid
9527.	Paid - overpaid: [FP24A by FPC] or [GP24A by HB]
9528.	Contacted re mistake: [FP24A -FPC] or [GP24A - HB]
9528.	GP24A- HB contacted re mistake
9529.	GP24A- HB make up payment
9529.	Make up payment: [FP24A -FPC] or [GP24A - HB]
952A.	Dispute fee due: [FP24A -FPC] or [GP24A - HB]
952A.	GP24A- HB dispute fee due
952Z.	FP24A mat.claim status NOS
952Z.	GP24A mat.claim status NOS
952Z.	Mat.claim status NOS: [FP24A] or [GP24A]
953..	Maternity services claimed
953E.	Other maternity service claim
953G.	Total maternity service claim
953Z.	Maternity services claim NOS
959..	GMS2 maternity claim status
959..	GPM maternity claim status
959..	Maternity claim status: [GMS2] or [GPM]
9593.	Checked by staff: [GMS2] or [GPM]
9593.	GPM claim checked by staff
9594.	GPM claim sent to HB
9594.	Sent: [GMS2 - HA] or [GPM - HB]
9595.	GMS2 paid by HA checked
9595.	GPM claim paid by HB - checked
9595.	Paid - checked: [GMS2 - HA] or [GPM - HB]
9596.	GMS2 paid by HA underpaid
9596.	GPM claim paid by HB - underpaid
9596.	Paid - underpaid: [GMS2 - HA] or [GPM - HB]
9597.	GMS2 paid by HA overpaid
9597.	GPM claim paid by HB - overpaid
9597.	Paid - overpaid: [GMS2 - HA] or [GPM - HB]
9598.	Contacted re mistake: [GMS2 - HA] or [GPM - HB]
9598.	GMS2 HA contacted mistake
9598.	GPM claim - HB contacted re mistake
9599.	GMS2 HA make up payment
9599.	GPM claim - HB make up payment
9599.	Make up payment: [GMS2 - HA] or [GPM - HB]
959A.	Dispute fee due: [GMS2 - HA] or [GPM - HB]
959A.	GMS2 HA dispute fee due
959A.	GPM claim - HB dispute fee due
95Z..	Maternity services admin NOS
K312.	Cracked nipple
K312.	Fissure of nipple
K312.	Fissured nipple
K55y.	Other noninflammatory cervical disorders
K55yz	Other noninflammatory cervical disorder NOS
Kyu99	[X]Other specified noninflammatory disorders of cervix uteri
Kyu9H	[X]Other complications associated with artificial fertilisation
Kyu9P	[X]Complication associated with artificial fertilisation, unspecified
L....	Complications of pregnancy, childbirth and the puerperium
L090y	Sepsis NOS following abortion and ectopic and molar pregnancy
L09z.	Complication NOS following abortion and ectopic and molar pregnancy
L12..	Hypertension complicating pregnancy, childbirth and the puerperium
L120.	Benign essential hypertension complicating pregnancy, childbirth and the puerperium
L1200	Benign essential hypertension complicating pregnancy, childbirth and the puerperium unspecified
L120z	Benign essential hypertension complicating pregnancy, childbirth and the puerperium NOS
L121.	Renal hypertension complicating pregnancy, childbirth and the puerperium
L1210	Renal hypertension complicating pregnancy, childbirth and the puerperium unspecified
L121z	Renal hypertension complicating pregnancy, childbirth and the puerperium NOS
L122.	Other pre-existing hypertension in preg/childbirth/puerp
L1220	Other pre-existing hypertension complicating pregnancy, childbirth and the puerperium unspecified
