C00..00	Simple and unspecified goitre
C000.00	Simple goitre
C000.11	Retrosternal thyroid goitre
C000.12	Substernal thyroid goitre
C000.14	Colloid goitre
C00z.00	Goitre NOS
C01..00	Nontoxic nodular goitre
C010.00	Nontoxic uninodular goitre
C011.00	Nontoxic multinodular goitre
C01z.00	Nontoxic nodular goitre NOS
C01z.11	Adenomatous goitre
C02..12	Toxic goitre
C020.00	Toxic diffuse goitre
C020000	Toxic diffuse goitre with no crisis
C020100	Toxic diffuse goitre with crisis
C020z00	Toxic diffuse goitre NOS
C021.00	Toxic uninodular goitre
C021000	Toxic uninodular goitre with no crisis
C021100	Toxic uninodular goitre with crisis
C021z00	Toxic uninodular goitre NOS
C022.00	Toxic multinodular goitre
C022000	Toxic multinodular goitre with no crisis
C022100	Toxic multinodular goitre with crisis
C022z00	Toxic multinodular goitre NOS
C023.00	Toxic nodular goitre unspecified
C023000	Toxic nodular goitre unspecified with no crisis
C023100	Toxic nodular goitre unspecified with crisis
C023z00	Toxic nodular goitre NOS
C04z.13	Hypothyroid goitre, acquired
C061.00	Dyshormonogenic goitre
C0A3.00	Iodine-deficiency-related diffuse (endemic) goitre
C0A4.00	Iodine-deficiency-related multinodular (endemic) goitre
C0AX.00	Iodine-deficiency-related (endemic) goitre, unspecified
Cyu1200	[X]Other specified nontoxic goitre
Cyu1600	[X]Iodine-deficiency-related (endemic) goitre, unspecified
C02z.00	Thyrotoxicosis without mention of goitre or other cause
C02z000	Thyrotoxicosis without mention of goitre or other cause with no crisis
C02z100	Thyrotoxicosis without mention of goitre or other cause with crisis
C02..00	Thyrotoxicosis
C024.00	Thyrotoxicosis from ectopic thyroid nodule
C024000	Thyrotoxicosis from ectopic thyroid nodule with no crisis
C024100	Thyrotoxicosis from ectopic thyroid nodule with crisis
C024z00	Thyrotoxicosis from ectopic thyroid nodule NOS
C02y.00	Thyrotoxicosis of other specified origin
C02y.11	Factitia thyrotoxicosis
C02y000	Thyrotoxicosis of other specified origin with no crisis
C02y100	Thyrotoxicosis of other specified origin with crisis
C02y200	Thyrotoxicosis factitia
C02yz00	Thyrotoxicosis of other specified origin NOS
C02zz00	Thyrotoxicosis NOS
Cyu1300	[X]Other thyrotoxicosis
F381600	Myasthenic syndrome due to thyrotoxicosis
F395400	Myopathy due to thyrotoxicosis
C05y400	Chronic thyroiditis with transient thyrotoxicosis
C05..00	Thyroiditis
C050.00	Acute thyroiditis
C050000	Acute nonsuppurative thyroiditis
C050100	Acute suppurative thyroiditis
C050z00	Acute thyroiditis NOS
C051.00	Subacute thyroiditis
C051.11	De Quervain's thyroiditis
C052.00	Chronic lymphocytic thyroiditis
C052.11	Autoimmune thyroiditis
C053.00	Chronic fibrous thyroiditis
C053.11	Riedel's thyroiditis
C054.00	Iatrogenic thyroiditis
C05y.00	Other and unspecified chronic thyroiditis
C05z.00	Thyroiditis NOS
