bA12.	Triapin 5mg/5mg tablet
bA1y.	Felodipine+ramipril 2.5mg/2.5mg tablet
bA1z.	Felodipine+ramipril 5mg/5mg tablet
bi11.	Acepril 12.5mg tablet
bi12.	Acepril 25mg tablet
bi14.	Acepril 50mg tablet
bi16.	Capoten 12.5mg tablet
bi17.	Capoten 25mg tablet
bi19.	Capoten 50mg tablet
bi1g.	Ecopace 12.5mg tablet
bi1h.	Ecopace 25mg tablet
bi1H.	NOYADA 5mg/5mL oral solution
bi1i.	Ecopace 50mg tablet
bi1I.	CAPTOPRIL 5mg/5mL oral solution
bi1j.	Kaplon 12.5mg tablet
bi1J.	NOYADA 25mg/5mL oral solution
bi1k.	Kaplon 25mg tablet
bi1K.	CAPTOPRIL 25mg/5mL oral solution
bi1l.	Kaplon 50mg tablet
bi1p.	Tensopril 12.5mg tablet
bi1q.	Tensopril 25mg tablet
bi1r.	Tensopril 50mg tablet
bi1v.	Captopril 12.5mg tablet
bi1w.	Captopril 25mg tablet
bi1z.	Captopril 50mg tablet
bi21.	Innovace 2.5mg tablet
bi22.	Innovace 5mg tablet
bi24.	Innovace 10mg tablet
bi26.	Innovace 20mg tablet
bi28.	Innozide tablet
bi2b.	Enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet
bi2J.	Pralenal 2.5mg tablet
bi2K.	Pralenal 5mg tablet
bi2L.	Pralenal 10mg tablet
bi2M.	Pralenal 20mg tablet
bi2t.	Enalapril maleate 2.5mg tablet
bi2u.	Enalapril maleate 5mg tablet
bi2w.	Enalapril maleate 10mg tablet
bi2y.	Enalapril maleate 20mg tablet
bi31.	Lisinopril 2.5mg tablet
bi32.	Lisinopril 5mg tablet
bi33.	Lisinopril 10mg tablet
bi34.	Lisinopril 20mg tablet
bi35.	Carace 2.5mg tablet
bi37.	Carace 5mg tablet
bi39.	Carace 10mg tablet
bi3b.	Carace 20mg tablet
bi3c.	Zestril 2.5mg tablets 28CP
bi3e.	Zestril 5mg tablets 28CP
bi3g.	Zestril 10mg tablets 28CP
bi3i.	Zestril 20mg tablets 28CP
bi3k.	Carace 20 Plus tablet
bi3l.	Carace 10 Plus tablet
bi3m.	Zestoretic tablets 28CP
bi3n.	Zestoretic 20 tablet
bi3p.	Lisinopril+hydrochlorothiazide 20mg/12.5mg tablet
bi3t.	Lisinopril+hydrochlorothiazide 10mg/12.5mg tablet
bi3u.	Caralpha 10/12.5mg tablet
bi3v.	Caralpha 20/12.5mg tablet
bi3y.	LISINOPRIL 1mg/mL oral solution
bi41.	Quinapril 5mg tablet
bi42.	Quinapril 10mg tablet
bi43.	Quinapril 20mg tablet
bi47.	Accuretic tablet
bi48.	Quinalapril+hydrochlorothiazide 10mg/12.5mg tablet
bi49.	Accupro 40mg tablet
bi4A.	Quinapril 40mg tablet
bi4B.	Quinil 5mg tablet
bi4C.	Quinil 10mg tablet
bi4D.	Quinil 20mg tablet
bi4E.	Quinil 40mg tablet
bi51.	Perindopril erbumine 2mg tablet
bi51.	Perindopril tert-butylamine 2mg tablet
bi52.	Perindopril erbumine 4mg tablet
bi52.	Perindopril tert-butylamine 4mg tablet
bi53.	Coversyl 2mg tablet
bi54.	Coversyl 4mg tablet
bi56.	Coversyl Plus 4mg/1.25mg tablet
bi58.	Coversyl 8mg tablet
bi61.	Ramipril 1.25mg capsule
bi62.	Ramipril 2.5mg capsule
bi63.	Ramipril 5mg capsule
bi64.	Tritace 1.25mg capsule
bi65.	Tritace 2.5mg capsule
bi66.	Tritace 5mg capsule
bi67.	Ramipril 10mg capsule
bi68.	Tritace 10mg capsule
bi6A.	Tritace Titration Pack
bi6B.	Ramipril 1.25mg tablet
bi6C.	Ramipril 2.5mg tablet
bi6D.	Ramipril 5mg tablet
bi6E.	Ramipril 10mg tablet
bi6t.	Lopace 2.5mg capsule
bi6u.	Lopace 5mg capsule
bi6v.	Lopace 10mg capsule
bi6w.	Tritace 10mg tablet
bi6x.	Tritace 5mg tablet
bi6y.	Tritace 2.5mg tablet
bi6z.	Tritace 1.25mg tablet
bi71.	Fosinopril sodium 10mg tablet
bi72.	Fosinopril sodium 20mg tablet
bi73.	Staril 10mg tablet
bi74.	Staril 20mg tablet
bi82.	Cilazapril 500micrograms tablet
bi83.	Cilazapril 1mg tablet
bi84.	Cilazapril 2.5mg tablet
bi86.	Vascace 500mcg tablet
bi87.	Vascace 1mg tablet
bi88.	Vascace 2.5mg tablet
bi89.	Vascace 5mg tablet
bi8a.	Cilazapril 5mg tablet
bi91.	Trandolapril 500micrograms capsule
bi92.	Trandolapril 1mg capsule
bi93.	Trandolapril 2mg capsule
bi94.	Gopten 500micrograms capsule
bi95.	Gopten 1mg capsule
bi96.	Gopten 2mg capsule
bi97.	Odrik 500micrograms capsule
bi98.	Odrik 1mg capsule
bi99.	Odrik 2mg capsule
bi9A.	Gopten 4mg capsule
bi9z.	Trandolapril 4mg capsule
biA1.	Moexipril hydrochloride 7.5mg tablet
biA2.	Moexipril hydrochloride 15mg tablet
biA3.	Perdix 7.5mg tablet
biA4.	Perdix 15mg tablet
biB1.	Tanatril 5mg tablet
biB2.	Tanatril 10mg tablet
biB3.	Tanatril 20mg tablet
biBx.	Imidapril hydrochloride 20mg tablet
biBy.	Imidapril hydrochloride 5mg tablet
biBz.	Imidapril hydrochloride 10mg tablet
biC1.	COVERSYL ARGININE 2.5mg tablets
biC2.	PERINDOPRIL ARGININE 2.5mg tablets
biC3.	COVERSYL ARGININE 5mg tablets
biC4.	PERINDOPRIL ARGININE 5mg tablets
biC5.	COVERSYL ARGININE 10mg tablets
biC6.	PERINDOPRIL ARGININE 10mg tablets
biC7.	COVERSYL ARGININE PLUS 5mg/1.25mg tablets
