bA12.	TRIAPIN 5mg/5mg tablets
bA1y.	FELODIPINE+RAMIPRIL 2.5mg/2.5mg tablets
bA1z.	FELODIPINE+RAMIPRIL 5mg/5mg tablets
bi11.	ACEPRIL 12.5mg tablets
bi12.	ACEPRIL 25mg tablets
bi14.	ACEPRIL 50mg tablets
bi16.	*CAPOTEN 12.5mg tablets
bi17.	CAPOTEN 25mg tablets
bi19.	CAPOTEN 50mg tablets
bi1F.	CO-ZIDOCAPT 25mg/12.5mg tablet
bi1g.	ECOPACE 12.5mg tablets
bi1G.	*CO-ZIDOCAPT 50mg/25mg tablets
bi1h.	ECOPACE 25mg tablets
bi1H.	NOYADA 5mg/5mL oral solution
bi1i.	ECOPACE 50mg tablets
bi1I.	CAPTOPRIL 5mg/5mL oral solution
bi1j.	*KAPLON 12.5mg tablets
bi1J.	NOYADA 25mg/5mL oral solution
bi1k.	*KAPLON 25mg tablets
bi1K.	CAPTOPRIL 25mg/5mL oral solution
bi1l.	*KAPLON 50mg tablets
bi1p.	*TENSOPRIL 12.5mg tablets
bi1q.	*TENSOPRIL 25mg tablets
bi1r.	*TENSOPRIL 50mg tablets
bi1v.	CAPTOPRIL 12.5mg tablets
bi1w.	CAPTOPRIL 25mg tablets
bi1z.	CAPTOPRIL 50mg tablets
bi21.	INNOVACE 2.5mg tablets
bi22.	INNOVACE 5mg tablets
bi24.	INNOVACE 10mg tablets
bi26.	INNOVACE 20mg tablets
bi28.	INNOZIDE 20/12.5mg tablets
bi2b.	ENALAPRIL MALEATE+HYDROCHLOROTHIAZIDE 20mg/12.5mg tablets
bi2J.	*PRALENAL 2.5mg tablets
bi2K.	*PRALENAL 5mg tablets
bi2L.	*PRALENAL 10mg tablets
bi2M.	*PRALENAL 20mg tablets
bi2t.	ENALAPRIL MALEATE 2.5mg tablets
bi2u.	ENALAPRIL MALEATE 5mg tablets
bi2w.	ENALAPRIL MALEATE 10mg tablets
bi2y.	ENALAPRIL MALEATE 20mg tablets
bi31.	LISINOPRIL 2.5mg tablets
bi32.	LISINOPRIL 5mg tablets
bi33.	LISINOPRIL 10mg tablets
bi34.	LISINOPRIL 20mg tablets
bi35.	*CARACE 2.5mg tablets
bi37.	*CARACE 5mg tablets
bi39.	*CARACE 10mg tablets
bi3b.	*CARACE 20mg tablets
bi3c.	*ZESTRIL 2.5mg tablets 28CP
