d22..	Alprazolam
d22y.	Alprazolam 250micrograms tablet
d22z.	Alprazolam 500micrograms tablet
d221.	Xanax 250mcg tablet
d222.	Xanax 500mcg tablet
d23..	Bromazepam
d24..	Chlordiazepoxide
d26..	Clobazam
d27..	Clorazepate dipotassium
x02LM	Diazepam
d14..	Flunitrazepam
d15..	Flurazepam
d29..	Ketazolam
d16..	Loprazolam
x02LN	Lorazepam
d17..	Lormetazepam
d2b..	Medazepam
o57..	Midazolam
d18..	Nitrazepam
d2d..	Oxazepam
d2e..	Prazepam
x02Ml	Temazepam
d1b..	Triazolam
d23y.	Bromazepam 1.5mg tablet
d23z.	Bromazepam 3mg tablet
d241.	Chlordiazepoxide 5mg capsule
d242.	Chlordiazepoxide 10mg capsule
d243.	Chlordiazepoxide hydrochloride 5mg tablet
d244.	Chlordiazepoxide hydrochloride 10mg tablet
d245.	Chlordiazepoxide hydrochloride 25mg tablet
d246.	Chlordiazepoxide 5mg tablet
d247.	Chlordiazepoxide 10mg tablet
d248.	Chlordiazepoxide 25mg tablet
d24e.	Librium 100mg injection
d261.	Clobazam 10mg capsule
d263.	Clobazam 10mg tablet
d266.	CLOBAZAM 5mg/5mL oral suspension
d268.	CLOBAZAM 10mg/5mL oral suspension
dnc..	Clobazam [epilepsy only]
d265.	TAPCLOB 5mg/5mL oral suspension
d267.	TAPCLOB 10mg/5mL oral suspension
d269.	PERIZAM 1mg/mL oral suspension
d26A.	PERIZAM 2mg/mL oral suspension
d27y.	Clorazepate dipotassium 7.5mg capsule
d27z.	Clorazepate dipotassium 15mg capsule
d21..	Diazepam [anxiolytic]
do1..	Diazepam [epilepsy use]
j81..	Diazepam [skeletal muscle relaxant]
o53..	Diazepam [anaesthesia]
x01BA	Oral diazepam
x01BB	Parenteral diazepam
x01BC	Rectal diazepam
d14z.	Flunitrazepam 1mg tablet
d15y.	Flurazepam 15mg capsule
d15z.	Flurazepam 30mg capsule
d29y.	Ketazolam 15mg capsule
d29z.	Ketazolam 30mg capsule
d161.	Loprazolam 1mg tablet
d2a..	Lorazepam [anxiolytic]
do4..	Lorazepam [epilepsy]
o56..	Lorazepam [anaesthesia]
x01BD	Oral lorazepam
x01BE	Parenteral lorazepam
d171.	Lormetazepam 500micrograms tablet
d172.	Lormetazepam 1mg tablet
d2by.	Medazepam 5mg capsule
d2bz.	Medazepam 10mg capsule
o57r.	MIDAZOLAM 10mg/2mL oromucosal soln pre-filled oral syringe
o57s.	MIDAZOLAM 5mg/1mL oromucosal soln pre-filled oral syringe
o57t.	MIDAZOLAM 7.5mg/1.5mL oromucosal soln prefilled oral syringe
o57u.	MIDAZOLAM 2.5mg/0.5mL oromucosal soln prefilled oral syringe
o57v.	Midazolam 100mg/50mL injection
o57w.	Midazolam 50mg/50mL injection
o57y.	Midazolam 10mg/5mL injection
o57z.	Midazolam 10mg/2mL injection
o573.	BUCCOLAM 2.5mg/0.5mL oromucosal soln pre-filled oral syringe
o574.	BUCCOLAM 7.5mg/1.5mL oromucosal soln pre-filled oral syringe
o575.	BUCCOLAM 5mg/1mL oromucosal solution pre-filled oral syringe
o576.	BUCCOLAM 10mg/2mL oromucosal solution prefilled oral syringe
d181.	Nitrazepam 5mg capsule
d182.	Nitrazepam 5mg tablet
d183.	Nitrazepam 10mg tablet
d184.	Nitrazepam 2.5mg/5mL suspension
d18f.	Nitrazepam 5mg/5mL suspension
d2d1.	Oxazepam 30mg capsule
d2d2.	Oxazepam 10mg tablet
d2d3.	Oxazepam 15mg tablet
d2d4.	Oxazepam 30mg tablet
d2ez.	Prazepam 10mg tablet
d1a..	Temazepam [hypnotic]
d1a1.	Temazepam 10mg capsule
d1a2.	Temazepam 15mg capsule
d1a3.	Temazepam 20mg capsule
d1a4.	Temazepam 30mg capsule
d1a5.	Temazepam 10mg/5mL oral solution
d1a8.	Temazepam Planpak capsule
d1a9.	Temazepam 10mg tablet
d1aa.	Temazepam 20mg tablet
d1af.	Temazepam 10mg thick gel capsule
d1ag.	Temazepam 20mg thick gel capsule
d1ah.	Temazepam 15mg thick gel capsule
d1ai.	Temazepam 30mg thick gel capsule
d1aj.	Temazepam 10mg/sachet oral solution
d1ak.	Temazepam 20mg/sachet oral solution
d1ao.	Temazepam 10mg/5mL s/f oral solution
o5a..	Temazepam [anaesthesia]
