^ESCT1192295	Alcoholic psychoses
^ESCT1245665	[V]Alcohol rehabilitation
^ESCT1270340	History of substance abuse
^ESCT1405996	Detoxification psychiatric therapy for alcoholism
^ESCTAA274036	AA - Alcohol abuse
^ESCTAC265860	Acute alcoholic liver disease
^ESCTAD472383	Admitted to alcohol detoxification center
^ESCTAH508674	AH - Alcoholic hepatitis
^ESCTAL250298	Alcohol-induced persisting dementia
^ESCTAL261248	Alcohol hallucinosis
^ESCTAL261249	Alcohol-induced psychotic disorder with hallucinations
^ESCTAL261251	Alcohol induced hallucinosis
^ESCTAL261465	Alcoholism
^ESCTAL262614	Alcoholic polyneuropathy
^ESCTAL262616	Alcoholic peripheral neuropathy
^ESCTAL280637	Alcoholic myopathic syndrome
^ESCTAL280638	Alcoholic myositis
^ESCTAL288545	Alcoholism counseling
^ESCTAL296964	Alcohol-related disorder
^ESCTAL316568	Alcoholic liver disease
^ESCTAL316569	ALD - Alcoholic liver disease
^ESCTAL318258	Alcoholic psychosis
^ESCTAL318259	Alcohol induced psychosis
^ESCTAL331504	Alcoholic steatosis
^ESCTAL331506	Alcoholic fatty liver disease
^ESCTAL363017	Alcoholic amnestic syndrome
^ESCTAL368893	Alcohol-induced persisting amnestic disorder
^ESCTAL472277	Alcohol aversion therapy
^ESCTAL476890	Alcohol induced encephalopathy
^ESCTAL511182	Alcohol-induced pseudo-Cushing syndrome
^ESCTAL598129	Alcohol withdrawal-induced convulsion
^ESCTAL684178	Alcohol consumption counseling
^ESCTAL694746	Alcoholic cirrhosis
^ESCTAL694747	Alcoholic liver cirrhosis
^ESCTAL761332	Alcohol reduction programme
^ESCTAL761333	Alcohol reduction program
^ESCTAL779847	Alcohol harm reduction program
^ESCTAM363010	Amnestic syndrome of Wernicke's disease
^ESCTAM363016	Amnesic syndrome due to alcohol
^ESCTCH508775	Chronic pancreatitis due to acute alcohol intoxication
^ESCTCO684179	Counseling about alcohol consumption
^ESCTCO684180	Counselling about alcohol consumption
^ESCTDE250297	Dementia associated with alcoholism
^ESCTDE354583	Detoxication psychiatric therapy for alcoholism
^ESCTDE354584	Detoxication therapy for alcoholism
^ESCTDI385909	Dilated cardiomyopathy secondary to alcohol
^ESCTDI385911	Dilated cardiomyopathy caused by alcohol
^ESCTDI398464	Disorder due to psychoactive substance use
^ESCTES599272	Esophageal varices in alcoholic cirrhosis of the liver
^ESCTET274035	Ethanol abuse
^ESCTEX453343	Excessive ethanol consumption
^ESCTEX453345	Excessive alcohol consumption
^ESCTEX453346	Excessive alcohol use
^ESCTHI453989	History of alcoholism
^ESCTHI635432	History of substance abuse
^ESCTKO363012	Korsakoff psychosis
^ESCTKO363014	Korsakov syndrome - alcoholic
^ESCTKO363015	Korsakov psychosis
^ESCTKO476314	Korsakov alcoholic psychosis with peripheral neuritis
^ESCTPS398465	Psychoactive substance misuse disorder
^ESCTPS511183	Pseudo-Cushing syndrome due to alcohol
^ESCTWE283413	Wernicke's disease
^ESCTWE283415	Wernicke disease
^ESCTWE363009	Wernicke-Korsakoff syndrome
^ESCTWI778537	Withdrawn from alcohol detoxification program
^ESCTXS453342	XS - Excessive ethanol consumption
^ESCTXS453344	XS - Excessive alcohol consumption
EMISICD10|F1020	Mental and behav dis due to use alcohol: dependence syndr, currently abstinent
EMISICD10|F1021	Mental and behav dis due to use alcohol: dependence syndr, currently abstinent, but in a protected environment
EMISICD10|F1022	Mental and behav dis due to use alcohol: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]
EMISICD10|F1023	Mental and behav dis due to use alcohol: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs
