G24..	Secondary hypertension
G240.	Malignant secondary hypertension
G241.	Secondary benign hypertension
G244.	Hypertension secondary to endocrine disorders
G24z.	Secondary hypertension NOS
Gyu20	[X]Other secondary hypertension
Gyu21	[X]Hypertension secondary to other renal disorders
Xa0kX	Hypertension due to renovascular disease
XE0Ub	Systemic arterial hypertension
G2400	Secondary malignant renovascular hypertension
G240z	Secondary malignant hypertension NOS
G2410	Secondary benign renovascular hypertension
G241z	Secondary benign hypertension NOS
G24z0	Secondary renovascular hypertension NOS
G20..	Primary hypertension
G202.	Systolic hypertension
G20z.	Essential hypertension NOS
XE0Uc	Primary hypertension
XE0W8	Hypertension
XSDSb	Diastolic hypertension
Xa0Cs	Labile hypertension
Xa3fQ	Malignant hypertension
XaZWm	Stage 1 hypertension
XaZWn	Severe hypertension
XaZbz	Stage 2 hypertension (NICE - National Institute for Health and Clinical Excellence 2011)
XaZzo	Nocturnal hypertension
G2...	Hypertensive disease
G200.	Malignant essential hypertension
G201.	Benign essential hypertension
XE0Ud	Essential hypertension NOS
Xab9L	Stage 1 hypertension (NICE 2011) without evidence of end organ damage
Xab9M	Stage 1 hypertension (NICE 2011) with evidence of end organ damage
G2y..	Other specified hypertensive disease
G2z..	Hypertensive disease NOS
Gyu2.	[X]Hypertensive diseases
XM19D	[EDTA] Renal vascular disease due to hypertension (no primary renal disease) associated with renal failure
XM19E	[EDTA] Renal vascular disease due to malignant hypertension (no primary renal disease) associated with renal failure
61462	Hypertension induced by oral contraceptive pill
G24z1	Hypertension secondary to drug
XaZbT	Hypertension resistant to drug therapy
