fe41.	Hydrocortisone 10mg tablet
fe42.	Hydrocortisone 20mg tablet
fe44.	Hydrocortone 10mg tablet
fe45.	Hydrocortone 20mg tablet
fe4e.	PLENADREN 5mg m/r tablets
fe4f.	HYDROCORTISONE 5mg m/r tablets
fe4g.	PLENADREN 20mg m/r tablets
fe4h.	HYDROCORTISONE 20mg m/r tablets
ai1..	Rectal hydrocortisone
ai11.	Hydrocortisone 25mg suppository
ai14.	Hydrocortisone acetate 10% rectal foam
x00MF	Colifoam 10% foam
ai12.	Colifoam 10% foam 20.8g
ai15.	Hydrocortisone acetate 25mg suppository
aj1n.	Hydrocortisone+lignocaine 0.2%/1% spray
aj1m.	Perinal spray
fe43.	Hydrocortistab 20mg tablet
fe46.	Hydrocortisone 100mg injection (pdr for recon)
fe4c.	Solu-Cortef 100mg injection (pdr for recon)
fe47.	Hydrocortisone 500mg/5mL injection
fe4a.	Efcortesol 500mg/5mL injection
fe4d.	Hydrocortisone 100mg/1mL injection
fe49.	Efcortesol 100mg/1mL injection
fe4z.	Hydrocortisone 100mg/2mL injection (pdr for recon)+diluent
fe4b.	Solu-Cortef 100mg injection (pdr for recon)+diluent
fe48.	Efcortelan Soluble 100mg injection (pdr for recon)+diluent
j42..	Hydrocortisone acetate [musculoskeletal use]
j421.	Hydrocortisone acetate 25mg/1mL injection
j423.	Hydrocortistab 25mg/1mL injection
k66..	Hydrocortisone acetate [eye]
k661.	Chloromycetin Hydrocortisone eye ointment 4g
k667.	Hydrocortisone acetate 0.5% eye ointment
k668.	Hydrocortisone acetate 1% eye ointment
k669.	Hydrocortisone acetate 2.5% eye ointment
k66B.	Hydrocortisone acetate+neomycin sulphate 1.5%/0.5% eye drops 10mL
k66w.	Hydrocortisone acetate+chloramphenicol 0.5%/1% eye ointment
x026v	Chloromycetin Hydrocortisone eye ointment
k66x.	Hydrocortisone acetate eye ointment
k66z.	Hydrocortisone acetate 1% eye drops
l35z.	Gentamicin+hydrocortisone acetate 0.3%/1% ear drops
x01HF	Gentisone HC ear drops
l355.	Gentisone HC ear drops 10mL
