^ESCT1190324	Toxemia of pregnancy
^ESCT1190328	False labor
^ESCT1190342	Suspected fetal anencephaly
^ESCT1190343	Suspected fetal damage from maternal alcohol
^ESCT1190344	Suspected fetal damage from maternal toxoplasmosis
^ESCT1190345	Suspect trisomy 21 fetus
^ESCT1192449	Hemorrhage in early pregnancy
^ESCT1192477	Feeding intention -baby
^ESCT1192480	Fetal damage from disease in the mother
^ESCT1192624	Finding of length of gestation
^ESCT1192836	Obstetric middle cerebral artery Doppler
^ESCT1212153	Antenatal care not offered
^ESCT1212172	Triple test offered
^ESCT1212173	Antenatal ultrasound scan offered
^ESCT1212175	Double test offered
^ESCT1212179	Amniocentesis offered
^ESCT1212180	Antenatal RhD (Rhesus D) antibody screening offered
^ESCT1212181	Antenatal Rhesus D antibody screening offered
^ESCT1217135	Congenital malformation due to valproic acid
^ESCT1217141	Cervical insufficiency
^ESCT1222018	Prenatal education
^ESCT1236831	Difficult tracheal intubation
^ESCT1236832	Difficult airway intubation
^ESCT1244971	Other specified complication following abortive pregnancy
^ESCT1245038	Unspecified legal abortion + damage to pelvic organs/tissues
^ESCT1245039	Unspecified legal abortion + delayed/excessive haemorrhage
^ESCT1245040	Unspecified legal abortion + genital tract/pelvic infection
^ESCT1245041	Unspecified legal abortion with embolism
^ESCT1245042	Unspecified legal abortion with metabolic disorder
^ESCT1245043	Unspecified legal abortion with other specified complication
^ESCT1245044	Unspecified legal abortion with renal failure
^ESCT1245045	Unspecified legal abortion with shock
^ESCT1245214	Refer to TOP counselling
^ESCT1245250	Pregnancy alcohol advice
^ESCT1245251	Pregnancy unplanned ? wanted
^ESCT1245252	Pregnant - ? planned
^ESCT1245253	Pregnant - on abdom. palpation
^ESCT1245367	O/E - VE - cervix ripeness
^ESCT1245368	O/E - VE - os=0-1cm dilated
^ESCT1245369	O/E - VE - os=1-2cm dilated
^ESCT1245370	O/E - VE - os=2-4cm dilated
^ESCT1245372	O/E - VE - os=6-8cm dilated
^ESCT1245376	O/E - VE - P.P high
^ESCT1245377	O/E - VE - P.P in mid cavity
^ESCT1245384	O/E - triplet present.
^ESCT1245445	O/E - fetal movemnt.diminished
^ESCT1245668	[V]Antenatal screening
^ESCT1245858	[V]Illegitimate pregnancy
^ESCT1245937	[V]Other specified antenatal screening
^ESCT1246066	[V]Screening for fetal growth retardation using ultrasonics
^ESCT1246076	[V]Screening for isoimmunisation
^ESCT1246081	[V]Screening for malformations using ultrasonics
^ESCT1246178	[V]Unspecified antenatal screening
^ESCT1246289	[X]Antenatal screening for malformations using ultrasonics and other physical methods
