13H7.	Pregnancy unwanted
13H8.	Illegitimate pregnancy
13S..	Maternity allowances
13S2.	Maternity allowance
13SZ.	Pregnancy benefit NOS
1522.	Multiparous
153..	Number of pregnancies
1542.	H/O: miscarriage
1542Z	H/O: miscarriage NOS
1983.	Morning nausea
2684.	O/E - VE - gravid uterus
271..	O/E - fundus size - obstetric
271..	O/E - gravid uterus size
2711.	O/E - fundus 12-16 week size
2712.	O/E - fundus 16-20 week size
2713.	O/E - fundus 20-24 week size
2714.	O/E - fundus 24-28 week size
2715.	O/E - fundus 28-32 week size
2716.	O/E - fundus 32-34 week size
2717.	O/E - fundus 34-36 week size
2718.	O/E - fundus 36-38 week size
2719.	O/E -fundus 38 weeks-term size
271A.	O/E - fundus = term size
271B.	O/E - fundal size = dates
271Z.	O/E - gravid uterus size NOS
272..	O/E - fetal presentation
272..	O/E - presenting part
2721.	O/E - vertex presentation
2722.	O/E - breech presentation
2723.	O/E - oblique lie
2724.	O/E - transverse lie
2725.	O/E - multiple presentation
2726.	O/E -fetal presentation unsure
272Z.	O/E - fetal presentation NOS
273..	O/E - position-presenting part
2731.	O/E - LOA
2732.	O/E - presenting ROA
2733.	O/E - LOP
2734.	O/E - presenting part ROP
2735.	O/E - LSA
2736.	O/E - presenting part RSA
273Z.	O/E - presenting part posn.NOS
274..	O/E - PP free - not engaged
2741.	O/E - presenting part free-5/5
2742.	O/E - presenting part free-4/5
2743.	O/E - partial engagement - 3/5
2744.	O/E - partial engagement - 2/5
2745.	O/E - presentation engaged-1/5
274Z.	O/E - fetal station NOS
275..	O/E - fetal movements
2751.	O/E - no fetal movements
2752.	O/E - fetal movements seen
2753.	O/E - fetal movements felt
2754.	O/E - fetus very active
2755.	O/E - fetal movemnt.diminished
275Z.	O/E - fetal movements NOS
276..	O/E - fetal heart heard
2761.	O/E - fetal heart not heard
2762.	O/E - fetal heart < 40
2763.	O/E - fetal heart 40-80
2764.	O/E - fetal heart 80-100
2765.	O/E - fetal heart 100-120
2766.	O/E - fetal heart 120-160
2767.	O/E - fetal heart 160-180
2768.	O/E - fetal heart 180-200
2769.	O/E - fetal heart > 200
276Z.	O/E - fetal heart NOS
277..	O/E - VE for pelvic assessment
2771.	O/E - VE - pelvis adequate
2772.	O/E - VE - pelvis not adequate
277Z.	O/E - VE-pelvic assessment NOS
278..	O/E - VE - cervix ripeness
2781.	O/E - VE - cervix not ripe
2782.	O/E - VE - cervix ripe
278Z.	O/E - VE - cervix ripeness NOS
279..	O/E - VE - cervical dilatation
2791.	O/E - VE - cervical os closed
2792.	O/E - VE - os=0-1cm dilated
2793.	O/E - VE - os=1-2cm dilated
2794.	O/E - VE - os=2-4cm dilated
2796.	O/E - VE - os=6-8cm dilated
279Z.	O/E - VE - cervix dilat. NOS
27A..	O/E - VE - descent of fetus
27A1.	O/E - VE - P.P high
27A2.	O/E - VE - P.P in mid cavity
27AZ.	O/E - VE - descent of P.P NOS
315..	CVS - special tests
3188.	Placental localisation
444..	Feto/placental hormones
4441.	Fetoplacental hormones abnormal
4442.	Fetoplacental hormones normal
4443.	HPL - Human placental lactogen level
4443.	Placental lactogen - HPL
44430	Human placental lactogen level normal
44431	HPL - Human placental lactogen abnormal
4444.	Serum oestriol level
4445.	Placental function test
44450	Placental function test normal
44451	Placental function test abnormal
444Z.	Fetoplacental hormones NOS
4453.	Serum pregnancy test positive
4654.	Urine pregnancy test positive
4H...	Amniotic fluid examination
4H1..	Amniotic fluid exam. - general
4H11.	Amniotic fluid sent for examination
4H12.	Amniotic fluid - nil abnormal
4H13.	Amniotic fluid - abnormality
4H1Z.	Amniotic fluid exam. gen. NOS
4H2..	Amniotic fluid appearance
4H22.	Amniotic fluid - bloodstained
4H23.	Amniotic fluid -meconium stain
4H2Z.	Amniotic fluid appearance NOS
4H3..	Amniotic fluid microscopy
4H31.	Amniotic fluid microscopy -NAD
4H3Z.	Amniotic fluid microscopy NOS
4H4..	Amniotic fluid chemistry
4H41.	Amniotic fluid chemistry: NAD
4H43.	Amniotic fluid L/S ratio
4H45.	Amniotic fluid cholinesterase
4H4Z.	Amniotic fluid chemistry NOS
4H5..	Amniotic fluid AFP
4H51.	Amniotic fluid AFP normal
4H53.	Amniotic fluid AFP abnormal
4H5Z.	Amniotic fluid AFP NOS
4H6..	Amnicator test - nitrazamine
4H62.	Amnicator test negative
4H7..	Amniotic fetal cell study
4H71.	Amniotic fetal cell study: NAD
4H72.	Amniotic fetal cell abnormal
4H7Z.	Amniotic fetal cell study NOS
4HZ..	Amniotic fluid exam. NOS
4JL3.	Amniotic fluid for C/S
4JL3.	Amniotic fluid for organism
539..	Abdominal obstetric X-ray
5391.	Obstetric X-ray - fetus
539Z.	Abdominal obstetric X-ray NOS
584..	Fetal U-S scan
584..	Fetal US scan
584..	Obst.scan- ultra-sound
584..	Obstetric ultrasound scan (& [diagnostic] or [fetal])
584..	Scan-ultrasound, obst.
584..	U-S scan - obst. diagn.
584..	U-S scan - obstetric, diagn.
584..	Ultra-sound scan - obstetric
584..	Ultra-sound scan-obst.
584..	Ultrasound - obstetrics
584..	Ultrasound in obstetric diagn.
584..	Ultrasound scan - obstetric
584..	US scan - obstetric, diagn.
5841.	US obstetric scan requested
5842.	US obstetric scan normal
5843.	US obstetric scan abnormal
5844.	Placenta U-S scan
5845.	US scan - fetal cephalometry
5846.	US scan - fetal maturity
5847.	U-S scan - fetal abnormality procedure (& result)
5848.	US scan - multiple fetus
5849.	Presentation US scan
584B.	Viability scan
584C.	Antenatal ultrasound result received
584D.	Antenatal ultrasound confirms intrauterine pregnancy
584Z.	Ultrasound obstetric diagnostic scan NOS
614B.	Combined O.C. pill failure
614C.	Progestogen-only pill failure
615C.	IUD failure - pregnant
615C.	Pregnant, IUD failure
6166.	Pregnant, diaphragm failure
6174.	Pregnant, sheath failure
61B6.	Depot contraceptive failure
61D4.	Contraceptive sponge failure
61E5.	Symptothermal contraception failure
61F3.	Postcoital OCP failure
61F4.	Postcoital IUCD failure
61G1.	Vasectomy failure
61H1.	Female sterilisation failure
62...	Pregnancy care
621..	Patient currently pregnant
6211.	Pregnant - urine test confirms
6212.	Pregnant - blood test confirms
6213.	Pregnant - V.E. confirms
6214.	Pregnant - on history
6215.	Pregnant - on abdom. palpation
6216.	Planned pregnancy
6216.	Pregnant - planned
6217.	Pregnant - unplanned - wanted
6218.	Pregnant -unplanned-not wanted
621A.	Pregnancy unplanned ? wanted
621B.	Pregnant - ? planned
621Z.	Patient pregnant NOS
622..	Antenatal care: gravida No.
6221.	Antenatal care: primigravida
6222.	Antenatal care: 2nd pregnancy
6223.	Antenatal care: 3rd pregnancy
6224.	Antenatal care: multip
622Z.	Antenatal care: gravida NOS
623..	A/N care: obstetric risk
6231.	A/N care: uncertain dates
6232.	A/N care: recurrent aborter
6233.	A/N care: grand multip
6234.	A/N care: H/O stillbirth
6235.	A/N care: H/O perinatal death
6236.	A/N care: poor obstetric history
6237.	A/N care: H/O trophoblastic disease
623Z.	A/N care: obstetric risk NOS
624..	A/N care: precious pregnancy
6241.	A/N care: elderly primiparous
6242.	A/N care: H/O infertility
624Z.	A/N care: precious pregnancy NOS
625..	A/N care: social risk
6251.	A/N care: poor home conditions
6252.	A/N care: poor A/N attender
6253.	A/N care: late booker
6254.	A/N care: H/O child abuse
625Z.	A/N care: social risk NOS
626..	A/N care: medical risk
627..	A/N care: gynaecological risk
628..	A/N care: risk NOS
6281.	A/N care: under 5ft tall
6282.	A/N care: 10 years plus since last pregnancy
6283.	A/N care: primiparous, under 17 years
6284.	A/N care: primiparous, older than 30 years
6285.	A/N care: multiparous, older than 35 years
628Z.	A/N risk NOS
629..	No antenatal care
6291.	Antenatal care: not offered
6292.	Antenatal care: not wanted
6293.	Antenatal care: not attended
6294.	No antenatal care: not known pregnant
629Z.	No antenatal care NOS
62A..	A/N care provider
62A1.	A/N care from G.P.
62A2.	A/N care from consultant
62A3.	A/N - shared care
62AZ.	A/N care provider NOS
62B..	Booking place -delivery
62B..	Delivery booking place
62B..	Delivery booking-place
62B..	Delivery place: [booking] or [booked]
62B1.	Delivery: no place booked
62B2.	Home delivery booked
62B3.	General practitioner unit delivery booking
62B5.	Private home delivery booking
62B6.	Delivery booking place changed
62BZ.	Delivery booking - place NOS
62C..	Delivery booking - length of stay
62C1.	Short stay delivery booking
62C2.	Full stay delivery booking
62CZ.	Delivery booking - stay NOS
62E..	Feeding intention
62E1.	Feeding intention - not known
62E2.	Feeding intention - unsure
62E3.	Feeding intention - breast
62E4.	Feeding intention - bottle
62EZ.	Feeding intention - NOS
62F..	Antenatal amniocentesis
62F1.	A/N amniocentesis -not offered
62F2.	A/N amniocentesis - offered
62F3.	A/N amniocentesis - not wanted
62F4.	A/N amniocentesis wanted
62F5.	A/N amniocentesis - awaited
62F6.	A/N amniocentesis - normal
62F7.	A/N amniocentesis - abnormal
62F8.	A/N amnio. for ? chrom.abnorm.
62F9.	A/N amnio. for ? neural tube
62FZ.	Antenatal amniocentesis NOS
62G..	Antenatal ultrasound scan status
62G1.	A/N U/S scan not offered
62G2.	A/N U/S scan offered
62G3.	A/N U/S scan not wanted
62G4.	A/N U/S scan wanted
62G5.	A/N U/S scan awaited
62G6.	A/N U/S scan normal += dates
62G7.	A/N U/S scan normal +? dates
62G8.	A/N U/S scan abnormal
62G9.	A/N U/S scan for ? abnormality
62GA.	A/N U/S scan for slow growth
62GB.	Antenatal ultrasound scan 4-8 weeks
62GC.	Antenatal ultrasound scan at 9-16 weeks
62GD.	Antenatal ultrasound scan at 17-22 weeks
62GZ.	Antenatal ultrasound scan NOS
62H..	Antenatal Rhesus antibody screening
62H1.	Antenatal Rhesus screening not offered
62H2.	Antenatal Rhesus screening offered
62H3.	Rhesus screening - 1st pregnancy sample
62H4.	Rhesus screening - 2nd pregnancy sample
62H5.	Rhesus screening - 3rd pregnancy sample
62HZ.	Antenatal Rhesus antibody screening NOS
62I..	AFP test - antenatal
62I..	Alpha-feto protein test - A/N
62K..	Antenatal syphilis screening
62K1.	Antenatal syphilis screening not done
62K2.	A/N syphilis screen-blood sent
62KZ.	Antenatal syphilis screening NOS
62L..	Antenatal blood group screening
62L1.	Antenatal blood group screening not done
62L2.	Antenatal blood group screening done
62LZ.	Antenatal blood group screening NOS
62M..	Antenatal sickle cell screening
62M1.	Antenatal sickle screening not done
62M2.	Antenatal sickle cell screening done
62MZ.	Antenatal sickle cell screening NOS
62N..	Antenatal examination
62N1.	Antenatal booking examination
62N2.	Antenatal 12 weeks examination
62N3.	A/N 16 week examination
62N3.	Antenatal 16 week examination
62N4.	Antenatal 20 week examination
62N5.	Antenatal 24 week examination
62N6.	Antenatal 28 week examination
62N7.	Antenatal 30 week examination
62N8.	Antenatal 32 week examination
62N9.	Antenatal 34 week examination
62NA.	Antenatal 35 week examination
62NB.	Antenatal 36 week examination
62NC.	Antenatal 37 week examination
62ND.	Antenatal 38 week examination
62NE.	Antenatal 39 week examination
62NF.	Antenatal 40 week examination
62NG.	Antenatal 41 week examination
62NH.	Antenatal 42 week examination
62NZ.	Antenatal examination NOS
62O..	Fetal maturity - A/N
62O1.	Fetal movements felt
62O2.	Fetal movements observed
62O3.	Fetal maturity: dates = size
62O4.	Fetal maturity: dates not=size
62O6.	Show - vaginal - A/N
62OZ.	Misc. antenatal data NOS
62U..	Barts test
62U0.	Triple test offered
62U1.	Double test offered
62U2.	Triple test not offered
62U3.	Double test not offered
62U4.	Triple test wanted
62U5.	Double test wanted
62U6.	Triple test not wanted
62U7.	Double test not wanted
62U8.	Down's screening - blood sent
62Uz.	Down's screening blood test NOS
6312.	GP unit birth
6313.	Consultant unit birth
63D..	Placental observation
63D4.	(Placental infarct) or (Placenta infacted)
63D4.	Placental infarct
63DZ.	Placental details NOS
6776.	Abortion counselling
67A2.	Diet in pregnancy advice
67A2.	Dietary advice for pregnancy
67A2.	Dietary education for pregnancy
67A3.	Pregnancy smoking advice
67A4.	Pregnancy exercise advice
67A5.	Pregnancy alcohol advice
67A7.	Care of teeth advice in pregnancy
67A7.	Pregnancy dental advice
67AB.	Pregnancy prescription exemption advice
67B..	Antenatal relaxation class
7F...	Puerperium operations
7F0..	Fetus & gravid uterus ops
7F0..	Fetus and gravid uterus operations
7F0..	Fetus operations
7F00.	Therapeutic endoscopic operations on fetus
7F000	Fetoscopic blood transfusion of fetus
7F00y	Other specified therapeutic fetoscopic operation
7F00z	Therapeutic fetoscopic operation NOS
7F01.	Diagnostic endoscopic examination of fetus using fetoscope
7F01.	Fetoscopic examination of fetus
7F010	Fetoscopic biopsy of fetus
7F011	Fetoscopic sampling of fetal blood
7F01y	Other specified diagnostic endoscopic examination of fetus using fetoscope
7F01z	Diagnostic endoscopic examination of fetus using fetoscope NOS
7F03.	Percutaneous fetal procedure
7F03.	Percutaneous operation on fetus
7F030	Percutaneous insertion of vesicoamniotic shunt
7F031	Percutaneous insertion of pleuroamniotic shunt
7F032	Intrauterine transfusion
7F03y	Other specified therapeutic percutaneous operation on fetus
7F03z	Therapeutic percutaneous operation on fetus NOS
7F04.	Diagnostic percutaneous examination of fetus
7F041	Cordocentesis
7F042	Percutaneous sampling of chorionic villus
7F04y	Other specified diagnostic percutaneous examination of fetus
7F04z	Diagnostic percutaneous examination of fetus NOS
7F05.	Other operations on amniotic cavity
7F050	Therapeutic drainage of amniotic fluid
7F051	Amniocentesis NEC
7F051	Amniocentesis: [diagnostic] or [NEC]
7F051	Diagnostic amniocentesis
7F052	Amnioscopy
7F053	Sampling of chorionic villus NEC
7F05y	Other specified other operation on amniotic cavity
7F05z	Other operation on amniotic cavity NOS
7F06.	Operation on gravid uterus
7F060	Cerclage of cervix of gravid uterus
7F061	Removal of cerclage from cervix of gravid uterus
7F061	Removal of Shirodkar suture
7F062	Repositioning of retroverted gravid uterus
7F063	ECV - External cephalic version of breech
7F06y	Other specified operation on gravid uterus
7F06z	Operation on gravid uterus NOS
7F0y.	Other specified operations on fetus or gravid uterus
7F0z.	Fetus and gravid uterus operations NOS
7F15.	Other breech delivery
7F150	Spontaneous breech delivery
7F151	Assisted breech delivery
7F15y	Other specified other breech delivery
7F15z	Other breech delivery NOS
7F2..	Other obstetric operations
7F22.	Other operations on delivered uterus
7F22y	Other specified other operation on delivered uterus
7F22z	Other operation on delivered uterus NOS
7F24y	Other specified other obstetric operation
7F24z	Other obstetric operation NOS
7F25.	Fetal monitoring
7F250	Fetal heart monitoring NEC
7F25y	Other specified obstetric monitoring
7F25z	Obstetric monitoring NOS
7F2z.	Other obstetric operations NOS
7Fy..	Other specified obstetric operations
7Fz..	Obstetric operations NOS
7N611	[SO]Delivered uterus
7N612	Fetus
7N613	Placenta
7N614	Amnion
8B68.	Pregnancy prophylactic therapy
8B7..	Pregnancy vitamin/iron prophyl
8B74.	Iron supplement in pregnancy
8B75.	Vitamin supplement - pregnancy
8E96.	Antenatal exercises
8H7W.	Refer to TOP counselling
8HT9.	Referral to antenatal clinic
8HV6.	Private referral to obstetrician
8M6..	Requests pregnancy termination
938..	Obstetric co-op card
9381.	Obstetric co-op card issued
9384.	Obstetric co-op card updated
938Z.	Obstetric co-op card NOS
939..	Kick chart
9391.	Kick chart issued
9393.	Kick chart duplicate issued
9394.	Kick chart checked
939Z.	Kick chart NOS
951..	FP24 - mat claim-on obst.list
9511.	FP24 signed by patient
9512.	FP24 completed by Dr.
9513.	FP24 claim checked by staff
9514.	FP24 sent to FPC
9514.	GP24 sent to HB
9514.	Sent: [FP24 - FPC] or [GP24 - HB]
9515.	FP24 paid by FPC - checked
9515.	GP24 paid by HB - checked
9515.	Paid - checked: [FP24 by FPC] or [GP24 by HB]
9516.	FP24 paid by FPC - underpaid
9517.	FP24 paid by FPC - overpaid
9518.	FP24 -FPC contacted re mistake
9519.	FP24 -FPC make up payment
951A.	FP24 -FPC dispute fee due
951Z.	FP24 mat.claim status NOS
952..	FP24A - mat claim-not obst lis
9521.	FP24A signed by patient
9522.	FP24A completed by Dr.
9523.	FP24A claim checked by staff
9524.	FP24A sent to FPC
9525.	FP24A paid by FPC - checked
9526.	FP24A paid by FPC - underpaid
9529.	FP24A-FPC make up payment
952A.	FP24A-FPC dispute fee due
952Z.	FP24A mat.claim status NOS
9531.	Complete maternity services claimed
9532.	Mat booking before 16th week
9533.	Mat booking 17-30 weeks
9534.	Mat booking after 31 weeks
953F.	Mat. anaesth. service claim
954..	Mat B1 - certificate of expected confinement
9541.	Mat B1 due
9542.	Mat B1 signed
954Z.	Mat B1 certificate NOS
955..	Mat B2 - certificate of confinement
956..	HSA1-therap. abort. green form
9561.	HSA1- form eligible
9562.	HSA1- form signed
9563.	HSA1- refused to sign
956Z.	HSA1- green form NOS
957..	FW 8 - application for prescription exemption
957..	Prescription exemption form - pregnancy
9591.	GMS2 claim signed by patient
9592.	Completed by Dr.: [GMS2] or [GPM]
9593.	GMS2 claim checked by staff
9594.	GMS2 claim sent to HA
9595.	GMS2 claim paid by HA - checked
9598.	GMS2 claim - HA contacted re mistake
9599.	GMS2 claim - HA make up payment
959A.	GMS2 claim - HA dispute fee due
9N1N.	Seen in antenatal clinic
9N1y.	Seen in other clinic
B911.	Neoplasm of uncertain behaviour of placenta
B911z	Uncertain neoplasm of placenta NOS
K555.	Cervical incompetence
K55y.	Other noninflammatory cervical disorders
K55yz	Other noninflammatory cervical disorder NOS
Kyu99	[X]Other specified noninflammatory disorders of cervix uteri
L....	Complications of pregnancy, childbirth and the puerperium
L08..	Failed attempted abortion
L080.	Failed attempted abortion with genital tract or pelvic infection
L081.	Failed attempted abortion with delayed or excessive haemorrhage
L082.	Failed attempted abortion with damage to pelvic organs or tissues
L083.	Failed attempted abortion with renal failure
L084.	Failed attempted abortion with metabolic disorder
L085.	Failed attempted abortion with shock
L086.	Failed attempted abortion with embolism
L08w.	Failed attempted abortion with other specified complication
L08x.	Failed attempted abortion with complication NOS
L08y.	Failed attempted abortion with no mention of complication
L08z.	Failed attempted abortion NOS
L090y	Sepsis NOS following abortion and ectopic and molar pregnancy
L09yz	Other specified complication NOS follow abortive pregnancy
L09z.	Complication NOS following abortion and ectopic and molar pregnancy
L0A1.	Failed medical abortion, complicated by genital tract and pelvic infection
L0A2.	Failed medical abortion, complicated by delayed or excessive haemorrhage
L0A3.	Failed medical abortion, complicated by embolism
L0A4.	Failed medical abortion, without complication
L1...	Pregnancy complications
