14G8.00	H/O: vertebral fracture
7206100	Open reduction of fracture of orbit
7206200	Removal of fixation from fracture of orbit
7206400	Open reduction of fracture of orbit and internal fixation
7206700	Packing of maxilla to correct blow-out fracture of orbit
7206800	Internal fixation of fracture of orbit
7403600	Outfracture of turbinates of nose
7403900	Surgical outfracture of turbinate of nose
7J02200	Elevation of depressed fracture of cranium
7J02300	Repair of fracture of cranium NEC
7J03.00	Reduction of fracture of facial bone
7J03000	Reduction of fracture of nasoethmoid complex of bones
7J03100	Reduction of fracture of nasal bones NEC  other
7J03200	Reduction of fracture of zygomatic bones
7J03300	Reduction of closed fracture of orbit bone
7J03y00	Other specified reduction of fracture of facial bone
7J03z00	Reduction of fracture of facial bone NOS
7J12.00	Reduction of fracture of mandible
7J12000	Reduction of fracture of alveolus of mandible
7J12100	Open reduction of fracture of mandible NEC
7J12.11	Reduction of fracture of jaw NEC
7J12200	Closed reduction of fracture of mandible NEC
7J12y00	Other specified reduction of fracture of mandible
7J12z00	Reduction of fracture of mandible NOS
7J13.00	Reduction of fracture of maxilla
7J13000	Reduction of fracture of alveolus of maxilla
7J13100	Open reduction of fracture of maxilla NEC
7J13200	Closed reduction of fracture of maxilla NEC
7J13300	Reduction of blowout fracture of orbital floor
7J13400	Reduction of Le Fort 1 fracture of maxilla
7J13500	Reduction of Le Fort 2 fracture of maxilla
7J13600	Reduction of Le Fort 3 fracture of maxilla
7J13y00	Other specified reduction of fracture of maxilla
7J13z00	Reduction of fracture of maxilla NOS
7J17700	Traction for fracture of jaw
7J41.00	Decompression of fracture of spine
7J41000	Complex decompression of fracture of spine
7J41100	Anterior decompression of fracture of spine
7J41200	Posterior decompression of fracture of spine
7J41300	Vertebroplasty of fracture of spine
7J41400	Posterior decompression of fracture of spine NEC
7J41500	Balloon kyphoplasty of fracture of spine
7J41y00	Other specified decompression of fracture of spine
7J41z00	Decompression of fracture of spine NOS
7J42.00	Other reduction of fracture of spine
7J42000	Open reduction of fracture of spine & excis facet of spine
7J42100	Open reduction of fracture of spine NEC
7J42.11	Other reduction of fracture of spine and stabilisation
7J42200	Manipulative reduction of fracture of spine
7J42300	Spinal extension traction for fracture of spine
7J42400	Halo skull traction for fracture of spine
7J42500	Spinal traction for fracture of spine NEC
7J42600	Primary bedrest stabilisation of spinal fracture
7J42700	Primary collar stabilisation of spinal fracture
7J42900	Primary cast stabilisation of spinal fracture
7J42B00	Primary other external stabilisation of spinal fracture
7J42C00	Revision to bedrest stabilisation of spinal fracture
7J42D00	Revision to collar stabilisation of spinal fracture
7J42G00	Revision to external fixation stabilisation spinal fracture
7J42J00	Primary closed reduction spinal fracture alone
7J42L00	Primary cls reduction spinal fracture+bedrest stabilisation
7J42M00	Primary cls reduc spinal fracture+skull traction stabilisatn
7J42y00	Other specified other reduction of fracture of spine
7J42z00	Other reduction of fracture of spine NOS
7J43.00	Fixation of fracture of spine
7J43000	Primary open reduc spinal fracture+internal fix+plate
7J43100	Fixation of fracture of spine using Harrington rod
7J43.11	Internal fixation of fracture of spine
7J43200	Fixation of fracture of spine and skull traction HFQ
7J43211	Barr skull traction for fracture of spine
7J43300	Primary open reduc spinal fracture+internal fix+wire
7J43400	Primary open reduc spinal fracture+internal fix+rod system
7J43700	Primary open reduc spinal fracture+other internal fix
7J43900	Rvsn open reduc spinal fracture+internal fix+plate
7J43A00	Rvsn open reduc spinal fracture+internal fix+rod system
7J43C00	Rvsn open reduc spinal fracture+internal fix+internl fixator
7J43E00	Removal of fracture fixation device from spine
