^ESCT1177931	Injury of thorax
^ESCT1190495	Open fracture of the proximal humerus
^ESCT1192378	Closed fracture of radius and ulna, shaft, NOS
^ESCT1192381	Cls # prox femur, intracapsular section, unspecified
^ESCT1205396	Open fracture of coccyx
^ESCT1222096	Closed fracture intercondylar spine of tibia
^ESCT1222097	Closed fracture of tibial spine
^ESCT1222098	Closed fracture of tibial eminence
^ESCT1222099	Open fracture intercondylar spine of tibia
^ESCT1222100	Open fracture tibial eminence
^ESCT1222101	Open fracture tibial spine
^ESCT1245180	Revision to collar stabilisation of spinal fracture
^ESCT1245244	Prmy open reduction of fracture and skeletal traction
^ESCT1245247	Primary collar stabilisation of spinal fracture
^ESCT1245318	Open fracture spine, tibia
^ESCT1248406	Closed fracture of tibia or fibula, shaft
^ESCT1248408	Closed fracture spine, tibia
^ESCT1248411	Closed reduction of fracture of radius and or ulna
^ESCT1248412	Closed reduction of fracture of tibia and or fibula
^ESCT1270272	Open fracture distal humerus, medial condyle
^ESCT1270427	Closed fracture distal humerus, medial condyle
^ESCT1376409	Fracture of multiple sites of bone
^ESCT1378466	Intracranial injury co-occurrent and due to closed fracture of base of skull
^ESCT1378468	Intracranial injury co-occurrent and due to closed skull fracture
^ESCT1379029	Pathological fracture co-occurrent and due to post-surgical malabsorption osteoporosis
^ESCT1379030	Pathological fracture co-occurrent and due to drug-induced osteoporosis
^ESCT1379033	Intracranial injury co-occurrent and due to closed fracture of vault of skull
^ESCT1379034	Intracranial injury co-occurrent and due to open fracture vault of skull
^ESCT1379035	Cauda equina lesion co-occurrent and due to closed spinal fracture
^ESCT1379051	Disorder due to and following fracture at wrist and/or hand level
^ESCT1379052	Late effect of fracture at wrist and/or hand level
^ESCT1379053	Sequela of fracture at wrist and/or hand level
^ESCT1379668	Closed subcapital fracture of neck of femur
^ESCT1407183	Closed fracture subluxation of elbow joint
^ESCT1407184	Open fracture dislocation of distal interphalangeal joint of finger
^ESCT1407482	Closed reduction of fracture of arm
^ESCT1419638	Open fracture of distal radius and ulna
^ESCT1419715	Open fracture of midshaft of radius and ulna
^ESCT1419716	Open subcapital fracture of proximal femur Garden grade I
^ESCT1419717	Open subcapital fracture of proximal femur Garden grade II
^ESCT1419718	Open subcapital fracture of proximal femur Garden grade III
^ESCT1419719	Open subcapital fracture of proximal femur Garden grade IV
^ESCT1419870	Closed fracture involving thorax with lower back and pelvis and limbs
^ESCTAN275553	Ankle fracture
^ESCTAN482134	Angular malunion of fracture
^ESCTAN565278	Ankle fracture - lateral malleolus
^ESCTAP513648	Application of spinal traction system
^ESCTBI546255	Bimalleolar fracture of ankle
^ESCTBO556377	Bone immobilisation
^ESCTBO556378	Bone immobilization
^ESCTBR437883	Broken bone
^ESCTBR546163	Broken nose
^ESCTCL250422	Closed fracture of trapezoidal bone of wrist
^ESCTCL250423	Closed fracture of small multangular bone of wrist
^ESCTCL252497	Closed fracture of acromial end of clavicle
^ESCTCL252564	Closed fracture of cervicotrochanteric section of femur
^ESCTCL253547	Closed fracture of proximal end of forearm
^ESCTCL255038	Closed fracture of shaft of radius
^ESCTCL257534	Closed fracture of zygoma
^ESCTCL257536	Closed fracture of malar bone
^ESCTCL260695	Closed trimalleolar fracture
^ESCTCL265096	Closed fracture of carpal bone of wrist
^ESCTCL265623	Closed fracture of cuboid bone of foot
^ESCTCL268768	Closed fracture of axis without spinal cord injury
^ESCTCL269427	Closed fracture of multiple ribs
