#AUTOGENERATED	DONT EDIT
DOOR23858NEMIS	Donepezil Hydrochloride  Orodispersible Tablets (Sugar Free)  5 mg
DOOR23859NEMIS	Donepezil Hydrochloride  Orodispersible Tablets (Sugar Free)  10 mg
DOOR90888NEMIS	Donepezil Hydrochloride  Oral Solution, Sugar Free  1 mg/ml
DOTA30546EMIS	Donepezil Hydrochloride  Tablets  10 mg
DOTA30547EMIS	Donepezil Hydrochloride  Tablets  5 mg
^ESCT1177021	Donepezil 5mg tablets (Milpharm Ltd)
^ESCT1177022	Donepezil 5mg tablets (Milpharm Ltd) 28 tablet
^ESCT1177023	Donepezil 10mg tablets (Milpharm Ltd)
^ESCT1177024	Donepezil 10mg tablets (Milpharm Ltd) 28 tablet
^ESCT1178640	Product containing only donepezil hydrochloride 23 mg/1 each oral tablet
^ESCT1178693	Product containing only donepezil hydrochloride 10 mg/1 each oral tablet
^ESCT1180904	Donepezil 5mg tablets (Mylan) 28 tablet
^ESCT1180905	Donepezil 10mg tablets (Mylan)
^ESCT1180908	Donepezil 5mg orodispersible tablets sugar free (Mylan)
^ESCT1180909	Donepezil 5mg orodispersible tablets sugar free (Mylan) 28 tablet
^ESCT1180910	Donepezil 10mg orodispersible tablets sugar free (Mylan) 28 tablet
^ESCT1184960	Donepezil 10mg tablets (Mylan) 28 tablet
^ESCT1186986	Donepezil 10mg orodispersible tablets sugar free (Mylan)
^ESCT1188124	Product containing only donepezil hydrochloride 5 mg/1 each oral tablet
^ESCT1190111	Donepezil 5mg tablets (Mylan)
^ESCT1206361	Donepezil in oral dosage form
^ESCT1206362	Product containing donepezil in oral dosage form
^ESCT1216282	Donepezil 5mg tablets (Cipla EU Ltd)
^ESCT1216283	Donepezil 5mg tablets (Cipla EU Ltd) 28 tablet
^ESCT1216284	Donepezil 10mg tablets (Cipla EU Ltd)
^ESCT1216285	Donepezil 10mg tablets (Cipla EU Ltd) 28 tablet
^ESCT1220875	Donepezil
^ESCT1220876	Donepezil product
^ESCT1224029	Product containing precisely donepezil hydrochloride 5 milligram/1 each conventional release oral tablet
