#AUTOGENERATED	DONT EDIT
dy1..00	DONEPEZIL HYDROCHLORIDE
dy1z.00	DONEPEZIL HYDROCHLORIDE 5mg oro-dispersible tablets
dy1y.00	DONEPEZIL HYDROCHLORIDE 10mg oro-dispersible tablets
dy16.00	ARICEPT EVESS 10mg oro-dispersible tablets
dy15.00	ARICEPT EVESS 5mg oro-dispersible tablets
dy14.00	ARICEPT 10mg tablets
dy13.00	ARICEPT 5mg tablets
dy12.00	DONEPEZIL HYDROCHLORIDE 10mg tablets
dy11.00	DONEPEZIL HYDROCHLORIDE 5mg tablets
dy3..00	GALANTAMINE
dy3z.00	GALANTAMINE 12mg tablets
dy3y.00	GALANTAMINE 8mg tablets
dy3x.00	*GALANTAMINE 4mg tablets
dy3w.00	GALANTAMINE 4mg/mL sugar free oral solution
dy3v.00	GALANTAMINE 24mg m/r capsules
dy3u.00	GALANTAMINE 16mg m/r capsules
dy3t.00	GALANTAMINE 8mg m/r capsules
dy3M.00	LUVENTA XL 24mg m/r capsules
dy3L.00	LUVENTA XL 16mg m/r capsules
dy3K.00	LUVENTA XL 8mg m/r capsules
dy3J.00	ELMINO XL 24mg m/r capsules
dy3I.00	ELMINO XL 16mg m/r capsules
dy3H.00	ELMINO XL 8mg m/r capsules
dy3G.00	LOTPROSIN XL 24mg m/r capsules
dy3F.00	LOTPROSIN XL 16mg m/r capsules
dy3E.00	LOTPROSIN XL 8mg m/r capsules
dy3D.00	ACUMOR XL 24mg m/r capsules
dy3C.00	ACUMOR XL 16mg m/r capsules
dy3B.00	ACUMOR XL 8mg m/r capsules
dy3A.00	GALSYA XL 24mg m/r capsules
dy39.00	GALSYA XL 16mg m/r capsules
dy38.00	GALSYA XL 8mg m/r capsules
dy37.00	REMINYL XL 24mg m/r capsules
dy36.00	REMINYL XL 16mg m/r capsules
dy35.00	REMINYL XL 8mg m/r capsules
dy34.00	REMINYL 4mg/mL sugar free oral solution
dy33.00	REMINYL 12mg tablets
dy32.00	REMINYL 8mg tablets
dy31.00	*REMINYL 4mg tablets
dy2..00	RIVASTIGMINE
dy2V.00	ELUDEN 9.5mg/24hours transdermal patches
dy2U.00	ELUDEN 4.6mg/24hours transdermal patches
dy2T.00	VOLEZE 13.3mg/24hours transdermal patches
dy2S.00	VOLEZE 9.5mg/24hours transdermal patches
dy2R.00	VOLEZE 4.6mg/24hours transdermal patches
dy2Q.00	SOMNITON 9.5mg/24hours transdermal patches
dy2P.00	SOMNITON 4.6mg/24hours transdermal patches
dy2O.00	PROMETAX 9.5mg/24hours transdermal patches
dy2N.00	PROMETAX 4.6mg/24hours transdermal patches
dy2M.00	ALZEST 9.5mg/24hours transdermal patches
dy2L.00	ALZEST 4.6mg/24hours transdermal patches
dy2K.00	RIVASTIGMINE 13.3mg/24hours transdermal patches
dy2J.00	EXELON 13.3mg/24hours transdermal patches
dy2I.00	NIMVASTID 6mg capsules
dy2H.00	NIMVASTID 4.5mg capsules
dy2G.00	NIMVASTID 3mg capsules
dy2F.00	NIMVASTID 1.5mg capsules
dy2E.00	RIVASTIGMINE 9.5mg/24hrs patches
dy2D.00	RIVASTIGMINE 4.6mg/24hrs patches
dy2C.00	EXELON 9.5mg/24hours transdermal patches
dy2B.00	EXELON 4.6mg/24hours transdermal patches
dy2A.00	EXELON 2mg/mL oral solution
dy29.00	RIVASTIGMINE 2mg/mL oral solution
dy28.00	EXELON 6mg capsules
dy27.00	EXELON 4.5mg capsules
dy26.00	EXELON 3mg capsules
dy25.00	EXELON 1.5mg capsules
dy24.00	RIVASTIGMINE 6mg capsules
dy23.00	RIVASTIGMINE 4.5mg capsules
dy22.00	RIVASTIGMINE 3mg capsules
dy21.00	RIVASTIGMINE 1.5mg capsules
dB1..00	MEMANTINE HYDROCHLORIDE
dB19.00	NEMDATINE 20mg tablets
dB18.00	NEMDATINE 10mg tablets
dB17.00	EBIXA TREATMENT INITIATION PACK tablets
dB16.00	MEMANTINE HYDROCHLORIDE 20mg tablets
dB15.00	EBIXA 20mg tablets
dB14.00	EBIXA 10mg/g oral drops
dB13.00	EBIXA 10mg tablets
dB12.00	MEMANTINE HYDROCHLORIDE 10mg/g oral drops
dB11.00	MEMANTINE HYDROCHLORIDE 10mg tablets
