#AUTOGENERATED	DONT EDIT
108497001	Product containing donepezil (medicinal product)
108498006	Product containing donepezil hydrochloride (medicinal product)
323364006	Product containing precisely donepezil hydrochloride 5 milligram/1 each conventional release oral tablet (clinical drug)
323365007	Product containing precisely donepezil hydrochloride 10 milligram/1 each conventional release oral tablet (clinical drug)
413574008	Aricept odt 5mg orally disintegrating tablet (product)
414044003	Donepezil 10mg orally disintegrating tablet (product)
414045002	Donepezil 1mg/mL oral solution (product)
414046001	Donepezil 5mg orally disintegrating tablet (product)
447211000	Product containing precisely donepezil hydrochloride 23 milligram/1 each conventional release oral tablet (clinical drug)
715785003	Product containing donepezil and memantine (medicinal product)
715786002	Product containing donepezil and memantine in oral dose form (medicinal product form)
767949005	Product containing donepezil in oral dose form (medicinal product form)
775685007	Donepezil (product)
775686008	Product containing only donepezil and memantine (medicinal product)
779057002	Product containing only donepezil and memantine in oral dose form (medicinal product form)
779058007	Product containing only donepezil in oral dose form (medicinal product form)
784849005	Product containing precisely donepezil hydrochloride 10 milligram/1 each conventional release orodispersible tablet (clinical drug)
784850005	Product containing precisely donepezil hydrochloride 1 milligram/1 milliliter conventional release oral solution (clinical drug)
784851009	Product containing precisely donepezil hydrochloride 5 milligram/1 each conventional release orodispersible tablet (clinical drug)
785489001	Product containing donepezil in oromucosal dose form (medicinal product form)
786188007	Product containing only donepezil in oromucosal dose form (medicinal product form)
1172743009	Product containing precisely donepezil (as donepezil hydrochloride) 5 milligram and memantine (as memantine hydrochloride) 10 milligram/1 each conventional release oral tablet (clinical drug)
20346711000001101	Donepezil 10mg orodispersible tablets (product)
30809911000001104	Donepezil 10mg orodispersible tablets (Mawdsley-Brooks & Company Ltd) (product)
30051811000001100	Donepezil 10mg orodispersible tablets (DE Pharmaceuticals) (product)
29832011000001100	Donepezil 10mg orodispersible tablets (Sigma Pharmaceuticals Plc) (product)
23834911000001108	Donepezil 10mg orodispersible tablets (Phoenix Healthcare Distribution Ltd) (product)
20346511000001106	Donepezil 10mg orodispersible tablets (Consilient Health Ltd) (product)
42478611000001109	Donepezil 10mg orodispersible tablets (Macleods Pharma UK Ltd) (product)
42035511000001105	Donepezil 10mg tablets (product)
20914011000001108	Donepezil 10mg tablets (Zentiva Pharma UK Ltd) (product)
