1612.00	Appetite loss - anorexia
1612.11	Anorexia symptom
1614.00	Excessive eating - polyphagia
1614.12	Polyphagia symptom
E271.00	Anorexia nervosa
E275100	Bulimia (non-organic overeating)
E275111	Compulsive eating disorder
Eu50000	[X]Anorexia nervosa
Eu50100	[X]Atypical anorexia nervosa
Eu50200	[X]Bulimia nervosa
Eu50211	[X]Bulimia NOS
Eu50212	[X]Hyperorexia nervosa
Eu50300	[X]Atypical bulimia nervosa
R030.00	[D]Anorexia
R030z00	[D]Anorexia NOS
R036.00	[D]Polyphagia
R036000	[D]Excessive eating
R036011	[D]Bulimia NOS
R036z00	[D]Polyphagia NOS
1467.00	H/O: anorexia nervosa
1FF..00	Binge eating
E275.00	Other and unspecified non-organic eating disorders
E275000	Unspecified non-organic eating disorder
E275y00	Other specified non-organic eating disorder
E275z00	Non-organic eating disorder NOS
Eu50.00	[X]Eating disorders
Eu50y00	[X]Other eating disorders
Eu50z00	[X]Eating disorder, unspecified
