f41..00	METFORMIN HYDROCHLORIDE
f411.00	GLUCOPHAGE 500mg tablets
f412.00	GLUCOPHAGE 850mg tablets
f413.00	*ORABET 500mg tablets
f414.00	*ORABET 850mg tablets
f415.00	*GLUCAMET-500 tablets
f416.00	*GLUCAMET-850 tablets
f417.00	GLUCOPHAGE SR 500mg m/r tablets
f418.00	METSOL 500mg/5mL oral solution
f419.00	GLUCOPHAGE SR 750mg m/r tablets
f41A.00	GLUCOPHAGE SR 1000mg m/r tablets
f41B.00	BOLAMYN SR 500mg m/r tablets
f41C.00	GLUCOPHAGE 500mg/sachet oral powder
f41D.00	GLUCOPHAGE 1000mg/sachet oral powder
f41E.00	METABET SR 500mg m/r tablets
f41F.00	METABET SR 1000mg m/r tablets
f41G.00	GLUCIENT SR 500mg m/r tablets
f41H.00	DIAGEMET XL 500mg m/r tablets
f41I.00	SUKKARTO SR 500mg m/r tablets
f41J.00	SUKKARTO SR 1000mg m/r tablets
f41s.00	METFORMIN HYDROCHLORIDE 1000mg/sachet oral powder
f41t.00	METFORMIN HYDROCHLORIDE 500mg/sachet oral powder
f41u.00	METFORMIN HYDROCHLORIDE 1000mg m/r tablets
f41v.00	METFORMIN HYDROCHLORIDE 750mg m/r tablets
f41w.00	METFORMIN HYDROCHLORIDE 500mg/5mL oral solution
f41x.00	METFORMIN HYDROCHLORIDE 500mg m/r tablets
f41y.00	METFORMIN HYDROCHLORIDE 500mg tablets
f41z.00	METFORMIN HYDROCHLORIDE 850mg tablets
ft43.00	*AVANDAMET 1mg / 500mg tablets
ft44.00	*AVANDAMET 2mg / 500mg tablets
ft45.00	AVANDAMET 2mg / 1000mg tablets
ft46.00	AVANDAMET 4mg / 1000mg tablets
ft4u.00	ROSIGLITAZONE 2mg / METFORMIN 1000mg tablets
ft4v.00	ROSIGLITAZONE 4mg / METFORMIN 1000mg tablets
ft4w.00	ROSIGLITAZONE 2mg / METFORMIN 500mg tablets
ft4x.00	ROSIGLITAZONE 1mg / METFORMIN 500mg tablets
ft7..00	METFORMIN + PIOGLITAZONE
ft71.00	COMPETACT 15mg/850mg tablets
ft7z.00	METFORMIN 850mg/PIOGLITAZONE 15mg tablets
ftb..00	METFORMIN + VILDAGLIPTIN
ftb1.00	EUCREAS 50mg/850mg tablets
ftb2.00	EUCREAS 50mg/1000mg tablets
ftby.00	VILDAGLIPTIN/METFORMIN 50mg/1000mg tablets
ftbz.00	VILDAGLIPTIN/METFORMIN 50mg/850mg tablets
fte..00	METFORMIN + SITAGLIPTIN
fte1.00	JANUMET 50mg/1000mg tablets
ftez.00	SITAGLIPTIN/METFORMIN HYDROCHLORIDE 50mg/1000mg tablets
ftg..00	METFORMIN + LINAGLIPTIN
ftg1.00	JENTADUETO 2.5mg/850mg tablets
ftg2.00	LINAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/850mg tablets
ftg3.00	JENTADUETO 2.5mg/1000mg tablets
ftg4.00	LINAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/1000mg tablets
fti..00	METFORMIN + SAXAGLIPTIN
fti1.00	KOMBOGLYZE 2.5mg/850mg tablets
fti2.00	SAXAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/850mg tablets
fti3.00	KOMBOGLYZE 2.5mg/1000mg tablets
fti4.00	SAXAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/1000mg tablets
ftl..00	METFORMIN + ALOGLIPTIN
ftl1.00	VIPDOMET 12.5mg/1000mg tablets
ftl2.00	ALOGLIPTIN+METFORMIN HYDROCHLORIDE 12.5mg/1000mg tablets
ftm..00	METFORMIN + DAPAGLIFLOZIN
ftm1.00	XIGDUO 5mg/850mg tablets
ftm2.00	DAPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/850mg tablets
ftm3.00	XIGDUO 5mg/1000mg tablets
ftm4.00	DAPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/1000mg tablets
ftp..00	METFORMIN + CANAGLIFLOZIN
ftp1.00	VOKANAMET 50mg/850mg tablets
ftp2.00	CANAGLIFLOZIN+METFORMIN HYDROCHLORIDE 50mg/850mg tablets
ftp3.00	VOKANAMET 50mg/1000mg tablets
ftp4.00	CANAGLIFLOZIN+METFORMIN HYDROCHLORIDE 50mg/1000mg tablets
ftr..00	METFORMIN + EMPAGLIFLOZIN
ftr1.00	SYNJARDY 5mg/850mg tablets
ftr2.00	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/850mg tablets
ftr3.00	SYNJARDY 5mg/1000mg tablets
ftr4.00	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 5mg/1000mg tablets
ftr5.00	SYNJARDY 12.5mg/850mg tablets
ftr6.00	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 12.5mg/850mg tablets
ftr7.00	SYNJARDY 12.5mg/1000mg tablets
ftr8.00	EMPAGLIFLOZIN+METFORMIN HYDROCHLORIDE 12.5mg/1000mg tablets
