2DC2.	O/E - granular pharyngitis
2DC3.	Inflamed throat
A123.	Laryngeal tuberculosis
A12y1	Tuberculosis of nasopharynx
A740.	Herpangina
A772.	Viral pharyngoconjunctivitis
A7y02	Respiratory syncytial virus as the cause of diseases classified to other chapters
A7y03	Reovirus as the cause of diseases classified to other chapters
A7y05	Papillomavirus as the cause of diseases classified to other chapters
AA12.	Vincent's angina - pharyngitis
AA25.	Gangosa
FyuP4	[X]Otitis media in viral diseases classified elsewhere
H020.	Acute gangrenous pharyngitis
H021.	Acute phlegmonous pharyngitis
H022.	Acute ulcerative pharyngitis
H024.	Acute viral pharyngitis
H02z.	Acute pharyngitis NOS
H030.	Acute erythematous tonsillitis
H031.	Acute follicular tonsillitis
H032.	Acute ulcerative tonsillitis
H033.	Acute catarrhal tonsillitis
H034.	Acute gangrenous tonsillitis
H036.	Acute viral tonsillitis
H037.	Recurrent acute tonsillitis
H03z.	Acute tonsillitis NOS
H040.	Acute laryngitis
H0400	Acute oedematous laryngitis
H0401	Acute ulcerative laryngitis
H0402	Acute catarrhal laryngitis
H0403	Acute phlegmonous laryngitis
H0404	Acute haemophilus influenzae laryngitis
H0406	Acute suppurative laryngitis
H040w	Acute viral laryngitis unspecified
H040z	Acute laryngitis NOS
H0420	Acute laryngotracheitis without obstruction
H0421	Acute laryngotracheitis with obstruction
H042z	Acute laryngotracheitis NOS
H0430	Acute epiglottitis without obstruction
H0431	Acute epiglottitis with obstruction
H043z	Acute epiglottitis NOS
H04z.	Acute laryngitis and tracheitis NOS
H05..	Other acute upper respiratory infections
H050.	Acute laryngopharyngitis
H053.	Tracheopharyngitis
H054.	Recurrent upper respiratory tract infection
H055.	Pharyngolaryngitis
H05y.	Other upper respiratory infections of multiple sites
H07..	Chest cold
H0y..	Other specified acute respiratory infections
H0z..	Acute respiratory infection NOS
H12..	Chronic pharyngitis and nasopharyngitis
H120.	(Chronic rhinitis) or (catarrh unspecified)
H1200	Chronic simple rhinitis
H1202	Chronic hypertrophic rhinitis
H1203	Chronic atrophic rhinitis
H1204	Chronic infective rhinitis
H1205	Chronic ulcerative rhinitis
H1206	Chronic membranous rhinitis
H1207	Chronic fibrinous rhinitis
H120z	Chronic rhinitis NOS
H1211	Atrophic pharyngitis
H1214	Pharyngitis keratosa
H1215	Pharyngitis sicca
H1216	Chronic follicular pharyngitis
H121z	Chronic pharyngitis NOS
H122.	Chronic nasopharyngitis
H12z.	Chronic pharyngitis and nasopharyngitis NOS
H143.	Chronic adenotonsillitis
H14y5	Caseous tonsillitis
H14y6	Lingular tonsillitis
H16..	Chronic laryngitis and laryngotracheitis
H160.	Chronic laryngitis
H1600	Chronic simple laryngitis
H1601	Chronic catarrhal laryngitis
H1602	Chronic hyperplastic laryngitis
H1603	Chronic atrophic laryngitis
H161.	Chronic laryngotracheitis
H16z.	Chronic laryngitis NOS
H18..	Vasomotor rhinitis
H1y..	Other specified diseases of upper respiratory tract
H1y21	Pharynx or nasopharynx cellulitis
H1y51	Cellulitis of vocal cords
H1y52	Vocal cord granuloma
H1y54	Singers' chorditis
H1y55	Fibrinous chorditis
H1y57	Chorditis vocalis inferior
H1y71	Cellulitis of larynx
H1y72	Laryngeal perichondritis
H1yz.	Other upper respiratory tract diseases NOS
H1yzz	Other upper respiratory tract disease NOS
H1z..	Upper respiratory tract disease NOS
H2...	Pneumonia and influenza
H27..	Influenza
H270.	Influenzal pneumonia
H2700	Influenza with bronchopneumonia
H2701	Influenza with pneumonia, influenza virus identified
H270z	Influenza with pneumonia NOS
H271.	Influenza with other respiratory manifestation
H2710	Influenza with laryngitis
H2711	Influenza with pharyngitis
H271z	Influenza with respiratory manifestations NOS
H27y.	Influenza with other manifestations
