^ESCT1183615	Sertraline 100mg tablets (Mylan)
^ESCT1185827	Sertraline 50mg tablets (Mylan)
^ESCT1185828	Sertraline 50mg tablets (Mylan) 28 tablet 2 x 14 tablets
^ESCT1185829	Sertraline 100mg tablets (Mylan) 28 tablet 2 x 14 tablets
^ESCT1195832	Sertraline 100mg tablets (Lupin Healthcare (UK) Ltd) 28 tablet
^ESCT1195925	Sertraline 50mg tablets (Milpharm Ltd)
^ESCT1195962	Sertraline 100mg tablets (Milpharm Ltd)
^ESCT1196048	Sertraline 100mg tablets (Milpharm Ltd) 28 tablet
^ESCT1196054	Sertraline 50mg tablets (Milpharm Ltd) 28 tablet
^ESCT1196071	Sertraline 50mg tablets (Lupin Healthcare (UK) Ltd)
^ESCT1196380	Sertraline 50mg tablets (Lupin Healthcare (UK) Ltd) 28 tablet
^ESCT1196571	Sertraline 100mg tablets (Lupin Healthcare (UK) Ltd)
^ESCT1197691	Sertraline 75mg/5ml oral suspension 1 ml
^ESCT1197692	Sertraline 75mg/5ml oral suspension (Special Order)
^ESCT1197693	Sertraline 75mg/5ml oral suspension (Special Order) 1 ml
^ESCT1197942	Sertraline 75mg/5ml oral suspension
^ESCT1215129	Sertraline 50mg/5ml oral solution 1 ml
^ESCT1215130	Sertraline 50mg/5ml oral solution (Special Order)
^ESCT1215132	Sertraline 50mg/5ml oral solution (Special Order) 1 ml
^ESCT1215133	Sertraline 25mg/5ml oral solution 1 ml
^ESCT1215134	Sertraline 25mg/5ml oral solution (Special Order)
^ESCT1215136	Sertraline 25mg/5ml oral solution (Special Order) 1 ml
^ESCT1215198	Sertraline 25mg/5ml oral solution
^ESCT1215199	Sertraline 50mg/5ml oral solution
^ESCT1255317	Sertraline 25mg/5ml oral suspension 150 ml
^ESCT1255318	Sertraline 25mg/5ml oral suspension (Drug Tariff Special Order) 150 ml
^ESCT1255965	Sertraline 100mg tablets (Ria Generics Ltd)
^ESCT1255966	Sertraline 100mg tablets (Ria Generics Ltd) 28 tablet 2 x 14 tablets
^ESCT1255967	Sertraline 50mg tablets (Ria Generics Ltd)
^ESCT1255968	Sertraline 50mg tablets (Ria Generics Ltd) 28 tablet 2 x 14 tablets
^ESCT1256072	Sertraline 25mg/5ml oral suspension (Drug Tariff Special Order)
^ESCT1256073	Sertraline 25mg/5ml oral suspension (Drug Tariff Special Order) 1 ml
^ESCT1257186	Sertraline 50mg tablets (Noumed Life Sciences Ltd)
^ESCT1257187	Sertraline 50mg tablets (Noumed Life Sciences Ltd) 28 tablet 2 x 14 tablets
^ESCT1257188	Sertraline 100mg tablets (Noumed Life Sciences Ltd)
^ESCT1257189	Sertraline 100mg tablets (Noumed Life Sciences Ltd) 28 tablet 2 x 14 tablets
^ESCT1259657	Sertraline 12.5mg tablets 1 tablet
^ESCT1259658	Sertraline 12.5mg tablets (Special Order)
^ESCT1259659	Sertraline 12.5mg tablets (Special Order) 1 tablet
^ESCT1259943	Sertraline 12.5mg tablets
^ESCT1264717	Sertraline 50mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCT1264718	Sertraline 50mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCT1264721	Sertraline 100mg tablets (Mawdsley-Brooks & Company Ltd)
^ESCT1264724	Sertraline 100mg tablets (Mawdsley-Brooks & Company Ltd) 28 tablet
^ESCT1265444	Sertraline 50mg tablets 500 tablet
^ESCT1265445	Sertraline 50mg tablets (Mylan) 500 tablet
^ESCT1265446	Sertraline 100mg tablets 500 tablet
^ESCT1265447	Sertraline 100mg tablets (Mylan) 500 tablet
^ESCT1275436	Sertraline 100mg tablets (A A H Pharmaceuticals Ltd) 500 tablet
^ESCT1275437	Sertraline 50mg tablets (A A H Pharmaceuticals Ltd) 500 tablet
^ESCT1301202	Lustral 100mg tablets (Upjohn Ltd)
^ESCT1301211	Lustral 50mg tablets (Upjohn Ltd)
^ESCT1301257	Lustral 50mg tablets (Upjohn Ltd) 28 tablet 2 x 14 tablets
^ESCT1301258	Lustral 100mg tablets (Upjohn Ltd) 28 tablet 2 x 14 tablets
^ESCT1303917	Lustral 100mg tablets (Upjohn UK Ltd)
^ESCT1303925	Lustral 50mg tablets (Upjohn UK Ltd)
^ESCT1303938	Lustral 50mg tablets (Upjohn UK Ltd) 28 tablet 2 x 14 tablets
^ESCT1303939	Lustral 100mg tablets (Upjohn UK Ltd) 28 tablet 2 x 14 tablets
^ESCT1402777	Sertraline 25mg tablets 28 tablet
^ESCT1402779	Sertraline 25mg tablets (Zentiva)
^ESCT1402780	Sertraline 25mg tablets (Zentiva) 28 tablet 2 x 14 tablets
^ESCT1403059	Sertraline 25mg tablets
^ESCT1404016	Sertraline 100mg tablets (Medihealth (Northern) Ltd)
^ESCT1404017	Sertraline 100mg tablets (Medihealth (Northern) Ltd) 28 tablet
^ESCT1404018	Sertraline 50mg tablets (Medihealth (Northern) Ltd)
^ESCT1404019	Sertraline 50mg tablets (Medihealth (Northern) Ltd) 28 tablet
^ESCT1405061	Sertraline 25mg tablets (A A H Pharmaceuticals Ltd)
^ESCT1405062	Sertraline 25mg tablets (A A H Pharmaceuticals Ltd) 28 tablet 2 X 14 tablets
^ESCT1405069	Sertraline 25mg tablets (Alliance Healthcare (Distribution) Ltd)
^ESCT1405070	Sertraline 25mg tablets (Alliance Healthcare (Distribution) Ltd) 28 tablet 2 x 14 tablets
^ESCT1422159	Sertraline 50mg tablets (Zentiva Pharma UK Ltd)
^ESCT1422160	Sertraline 50mg tablets (Zentiva Pharma UK Ltd) 28 tablet 2 x 14 tablets
