d4r1.	Olanzapine 5mg tablet
d4r2.	Olanzapine 7.5mg tablet
d4r3.	Olanzapine 10mg tablet
d4r4.	Zyprexa 5mg tablet
d4r5.	Zyprexa 7.5mg tablet
d4r6.	Zyprexa 10mg tablet
d4r7.	Olanzapine 2.5mg tablet
d4r8.	Zyprexa 2.5mg tablet
d4r9.	Zyprexa Velotab 5mg dispersible tablet
d4rA.	Zyprexa Velotab 10mg dispersible tablet
d4rB.	Zyprexa 15mg tablet
d4rC.	Zyprexa Velotab 15mg dispersible tablet
d4rD.	Zyprexa 10mg injection (pdr for recon)
d4rE.	Zyprexa Velotab 20mg dispersible tablet
d4rF.	ZYPREXA 20mg tablets
d4rG.	ZALASTA 2.5mg tablets
d4rH.	ZALASTA 5mg tablets
d4rI.	ZALASTA 7.5mg tablets
d4rJ.	ZALASTA 15mg tablets
d4rK.	ZALASTA 20mg tablets
d4rL.	ZALASTA 5mg dispersible tablets
d4rM.	ZALASTA 10mg dispersible tablets
d4rN.	ZALASTA 15mg dispersible tablets
d4rO.	ZALASTA 20mg dispersible tablets
d4rP.	ZALASTA 10mg tablets
d4ru.	Olanzapine 20mg dispersible tablet
d4rv.	Olanzapine 10mg injection (pdr for recon)
d4rw.	Olanzapine 15mg dispersible tablet
d4rx.	Olanzapine 15mg tablet
d4ry.	Olanzapine 5mg dispersible tablet
d4rz.	Olanzapine 10mg dispersible tablet
