173f.00	Anxiety about breathlessness
1B13.00	Anxiousness
1B13.11	Anxiousness - symptom
1B13.12	Anxious
1B1V.00	C/O - panic attack
1Ba0.00	Obsessional thoughts
1Bb0.00	Fear of falling
1Bb1.00	Fear of getting cancer
1P3..00	Compulsive behaviour
2258.00	O/E - anxious
2259.00	O/E - nervous
225J.00	O/E - panic attack
285..00	Neurotic condition, insight present
286..00	Poor insight into neurotic condition
8CAZ000	Patient given advice about management of anxiety
8G52.00	Antiphobic therapy
8G94.00	Anxiety management training
8HHp.00	Referral for guided self-help for anxiety
8IH5300	Referral for guided self-help for anxiety declined
8IH5700	Referral for psychological management of anxiety declined
8T23.00	Referral for psychological management of anxiety
E20..00	Neurotic disorders
E200.00	Anxiety states
E200000	Anxiety state unspecified
E200100	Panic disorder
E200111	Panic attack
E200200	Generalised anxiety disorder
E200300	Anxiety with depression
E200400	Chronic anxiety
E200500	Recurrent anxiety
E200z00	Anxiety state NOS
E201B00	Compensation neurosis
E202.00	Phobic disorders
E202.11	Social phobic disorders
E202.12	Phobic anxiety
E202000	Phobia unspecified
E202100	Agoraphobia with panic attacks
E202200	Agoraphobia without mention of panic attacks
E202300	Social phobia, fear of eating in public
E202400	Social phobia, fear of public speaking
E202500	Social phobia, fear of public washing
E202600	Acrophobia
E202700	Animal phobia
E202800	Claustrophobia
E202900	Fear of crowds
E202A00	Fear of flying
E202B00	Cancer phobia
E202C00	Dental phobia
E202D00	Fear of death
E202E00	Fear of pregnancy
E202z00	Phobic disorder NOS
E203.00	Obsessive-compulsive disorders
E203.11	Anancastic neurosis
E203000	Compulsive neurosis
E203100	Obsessional neurosis
E203z00	Obsessive-compulsive disorder NOS
E20y.00	Other neurotic disorders
E20y300	Psychasthenic neurosis
E20yz00	Other neurotic disorder NOS
E20z.00	Neurotic disorder NOS
E21..11	Neurotic personality disorder
E227z11	Fear of ejaculation
E262000	Cardiac neurosis
E262100	Cardiovascular neurosis
E28..00	Acute reaction to stress
E28..11	Combat fatigue
E280.00	Acute panic state due to acute stress reaction
E281.00	Acute fugue state due to acute stress reaction
E282.00	Acute stupor state due to acute stress reaction
E283.00	Other acute stress reactions
E283100	Acute posttrauma stress state
E283z00	Other acute stress reaction NOS
E28z.00	Acute stress reaction NOS
E28z.12	Flying phobia
