^ESCT1164493	Trimipramine mesylate
^ESCT1174240	Nortriptyline 50mg/5ml oral suspension 1 ml
^ESCT1174241	Nortriptyline 50mg/5ml oral suspension (Special Order)
^ESCT1174242	Nortriptyline 50mg/5ml oral suspension (Special Order) 1 ml
^ESCT1174382	Nortriptyline 50mg/5ml oral suspension
^ESCT1175470	Amitriptyline 10mg tablets (NorthStar Healthcare Unlimited Company)
^ESCT1175471	Amitriptyline 10mg tablets (NorthStar Healthcare Unlimited Company) 28 tablet 4 x 7 tablets
^ESCT1175472	Amitriptyline 25mg tablets (NorthStar Healthcare Unlimited Company)
^ESCT1175473	Amitriptyline 25mg tablets (NorthStar Healthcare Unlimited Company) 28 tablet 4 x 7 tablets
^ESCT1175474	Amitriptyline 50mg tablets (NorthStar Healthcare Unlimited Company)
^ESCT1175475	Amitriptyline 50mg tablets (NorthStar Healthcare Unlimited Company) 28 tablet 4 x 7 tablets
^ESCT1178171	Product containing only amitriptyline hydrochloride 25 mg/1 each oral tablet
^ESCT1178172	Product containing only amitriptyline hydrochloride 50 mg/1 each oral tablet
^ESCT1178173	Product containing only dothiepin hydrochloride 75 mg/1 each oral tablet
^ESCT1178174	Product containing only dosulepin hydrochloride 75 mg/1 each oral tablet
^ESCT1178175	Product containing only doxepin 10 mg/1 each oral capsule
^ESCT1178176	Product containing only doxepin 75 mg/1 each oral capsule
^ESCT1178325	Product containing only trimipramine maleate 100 mg/1 each oral capsule
^ESCT1178328	Product containing only amitriptyline hydrochloride 100 mg/1 each oral tablet
^ESCT1178329	Product containing only amitriptyline hydrochloride 150 mg/1 each oral tablet
^ESCT1178337	Product containing only imipramine pamoate 125 mg/1 each oral capsule
^ESCT1178338	Product containing only imipramine pamoate 150 mg/1 each oral capsule
^ESCT1178406	Product containing only desipramine hydrochloride 25 mg/1 each oral tablet
^ESCT1178407	Product containing only desipramine hydrochloride 50 mg/1 each oral tablet
^ESCT1178631	Product containing only doxepin 6 mg/1 each oral tablet
^ESCT1179244	Product containing only amitriptyline 12.5 mg and chlordiazepoxide 10 mg/1 each oral tablet
^ESCT1179261	Clomipramine 10mg capsules (Mylan) 28 capsule 2 x 14 capsules
^ESCT1179274	Product containing only nortriptyline hydrochloride 10 mg/1 each oral capsule
^ESCT1179275	Product containing only clomipramine hydrochloride 75 mg/1 each oral capsule
^ESCT1179414	Product containing only amitriptyline hydrochloride 25 mg and perphenazine 4 mg/1 each oral tablet
^ESCT1179508	Dosulepin 25mg capsules (Mylan) 100 capsule
^ESCT1179611	Lofepramine 70mg tablets (Mylan) 56 tablet 4 x 14 tablets
^ESCT1179820	Clomipramine 50mg capsules (Mylan)
^ESCT1179837	Clomipramine 10mg capsules (Mylan)
^ESCT1181095	Product containing only clomipramine hydrochloride 10 mg/1 each oral capsule
^ESCT1181096	Product containing only doxepin 25 mg/1 each oral capsule
^ESCT1181097	Product containing only imipramine hydrochloride 10 mg/1 each oral tablet
^ESCT1181098	Product containing only lofepramine 70 mg/1 each oral tablet
^ESCT1181101	Product containing only nortriptyline 25 mg/1 each oral tablet
^ESCT1181104	Product containing only fluphenazine hydrochloride 1.5 mg and nortriptyline 30 mg/1 each oral tablet
^ESCT1181105	Product containing only fluphenazine hydrochloride 0.5 milligram and nortriptyline 10 milligram/1 each oral tablet
^ESCT1181106	Product containing only amitriptyline hydrochloride 25 mg and perphenazine 2 mg/1 each oral tablet
^ESCT1181384	Product containing only amitriptyline hydrochloride 10 mg/1 each oral tablet
^ESCT1181385	Product containing only clomipramine hydrochloride 50 mg/1 each oral capsule
^ESCT1181386	Product containing only doxepin 50 mg/1 each oral capsule
^ESCT1181387	Product containing only imipramine hydrochloride 25 mg/1 each oral tablet
^ESCT1181390	Product containing only nortriptyline 10 mg/1 each oral tablet
^ESCT1181392	Product containing only trimipramine 50 mg/1 each oral capsule
^ESCT1181393	Product containing only trimipramine 10 mg/1 each oral tablet
^ESCT1181408	Product containing only imipramine pamoate 100 mg/1 each oral capsule
^ESCT1181543	Product containing only doxepin hydrochloride 100 mg/1 each oral capsule
^ESCT1181642	Product containing only trimipramine maleate 25 mg/1 each oral capsule
^ESCT1181730	Product containing only imipramine pamoate 75 mg/1 each oral capsule
^ESCT1181731	Product containing only imipramine hydrochloride 50 mg/1 each oral tablet
^ESCT1181750	Product containing only nortriptyline hydrochloride 50 mg/1 each oral capsule
^ESCT1181825	Product containing only desipramine hydrochloride 75 mg/1 each oral tablet
^ESCT1181826	Product containing only desipramine hydrochloride 100 mg/1 each oral tablet
^ESCT1181894	Product containing only amitriptyline hydrochloride 10 mg and perphenazine 2 mg/1 each oral tablet
^ESCT1183319	Product containing only amitriptyline hydrochloride 50 mg and perphenazine 4 mg/1 each oral tablet
^ESCT1183428	Dosulepin 25mg capsules (Mylan) 28 capsule 2 x 14 capsules
^ESCT1183429	Dosulepin 25mg capsules (Mylan) 600 capsule
^ESCT1183431	Dosulepin 75mg tablets (Mylan) 28 tablet 2 x 14 tablets
^ESCT1183432	Dosulepin 75mg tablets (Mylan) 500 tablet
^ESCT1183463	Clomipramine 10mg capsules (Mylan) 100 capsule
^ESCT1183464	Clomipramine 25mg capsules (Mylan) 28 capsule 2 x 14 capsules
^ESCT1183465	Clomipramine 25mg capsules (Mylan) 100 capsule
^ESCT1184265	Dosulepin 25mg capsules (Mylan)
^ESCT1185371	Product containing only nortriptyline hydrochloride 25 mg/1 each oral capsule
^ESCT1185380	Product containing only protriptyline hydrochloride 5 mg/1 each oral tablet
^ESCT1185477	Product containing only amitriptyline hydrochloride 12.5 mg and chlordiazepoxide 5 mg/1 each oral tablet
^ESCT1185662	Clomipramine 50mg capsules (Mylan) 28 capsule 2 x 14 capsules
^ESCT1185663	Clomipramine 50mg capsules (Mylan) 100 capsule
^ESCT1185722	Lofepramine 70mg tablets (Mylan) 250 tablet
^ESCT1185931	Clomipramine 25mg capsules (Mylan)
^ESCT1186388	Dosulepin 75mg tablets (Mylan)
^ESCT1187290	Product containing only clomipramine hydrochloride 25 mg/1 each oral capsule
^ESCT1187291	Product containing only dothiepin hydrochloride 25 mg/1 each oral capsule
^ESCT1187292	Product containing only dosulepin hydrochloride 25 mg/1 each oral capsule
^ESCT1187295	Product containing only trimipramine 25 mg/1 each oral tablet
^ESCT1187478	Product containing only amitriptyline hydrochloride 75 mg/1 each oral tablet
^ESCT1187502	Product containing only doxepin hydrochloride 150 mg/1 each oral capsule
^ESCT1187566	Product containing only desipramine hydrochloride 10 mg/1 each oral tablet
^ESCT1187567	Product containing only desipramine hydrochloride 150 mg/1 each oral tablet
^ESCT1187582	Product containing only nortriptyline hydrochloride 75 mg/1 each oral capsule
^ESCT1188096	Product containing only doxepin 3 mg/1 each oral tablet
^ESCT1188474	Product containing only protriptyline hydrochloride 10 mg/1 each oral tablet
^ESCT1188546	Product containing only amitriptyline hydrochloride 10 mg and perphenazine 4 mg/1 each oral tablet
^ESCT1188680	Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd) 28 tablet
^ESCT1188681	Amitriptyline 25mg tablets (A A H Pharmaceuticals Ltd) 28 tablet
^ESCT1188682	Amitriptyline 50mg tablets (A A H Pharmaceuticals Ltd) 28 tablet
^ESCT1189490	Lofepramine 70mg tablets (Mylan)
^ESCT1196076	Lofepramine 70mg tablets (Accord Healthcare Ltd) 56 tablet 4 x 14 tablets
^ESCT1196508	Lofepramine 70mg tablets (Accord Healthcare Ltd)
^ESCT1198221	Nortriptyline 50mg/5ml oral solution 1 ml
^ESCT1198222	Nortriptyline 50mg/5ml oral solution (Special Order)
^ESCT1198223	Nortriptyline 50mg/5ml oral solution (Special Order) 1 ml
^ESCT1198276	Nortriptyline 50mg/5ml oral solution
^ESCT1198801	Lofepramine 70mg tablets (Actavis UK Ltd) 56 tablet 4 x 14 tablets
^ESCT1198928	Lofepramine 70mg tablets (Actavis UK Ltd)
^ESCT1199536	Lofepramine 70mg tablets (Accord Healthcare Ltd)
^ESCT1199537	Lofepramine 70mg tablets (Accord Healthcare Ltd) 56 tablet 4 x 14 tablets
^ESCT1203346	Clomipramine hydrochloride 75 mg prolonged-release oral tablet
^ESCT1203347	Product containing precisely clomipramine hydrochloride 75 milligram/1 each prolonged-release oral tablet
^ESCT1203897	Amitriptyline hydrochloride 50 mg prolonged-release oral capsule
^ESCT1203898	Product containing precisely amitriptyline hydrochloride 50 milligram/1 each prolonged-release oral capsule
^ESCT1203947	Amitriptyline hydrochloride 25 mg prolonged-release oral capsule
^ESCT1203948	Product containing precisely amitriptyline hydrochloride 25 milligram/1 each prolonged-release oral capsule
^ESCT1204457	Dothiepin hydrochloride 25mg/5mL conventional release oral elixir
^ESCT1204458	Dothiepin hydrochloride 75mg/5mL conventional release oral elixir
^ESCT1204469	Amitriptyline hydrochloride 5 mg/mL oral solution
^ESCT1204470	Product containing precisely amitriptyline hydrochloride 5 milligram/1 milliliter conventional release oral solution
^ESCT1204471	Amitriptyline hydrochloride 10 mg/mL oral solution
^ESCT1204472	Product containing precisely amitriptyline hydrochloride 10 milligram/1 milliliter conventional release oral solution
^ESCT1204581	Lofepramine (as lofepramine hydrochloride) 14 mg/mL oral suspension
^ESCT1204582	Product containing precisely lofepramine (as lofepramine hydrochloride) 14 milligram/1 milliliter conventional release oral suspension
^ESCT1206203	Amitriptyline and chlordiazepoxide product
^ESCT1206204	Product containing amitriptyline and chlordiazepoxide
^ESCT1206205	Amitriptyline and chlordiazepoxide in oral dosage form
^ESCT1206206	Product containing amitriptyline and chlordiazepoxide in oral dosage form
^ESCT1206207	Amitriptyline and perphenazine in oral dosage form
^ESCT1206208	Product containing amitriptyline and perphenazine in oral dosage form
^ESCT1206358	Dosulepin in oral dosage form
^ESCT1206359	Dothiepin in oral dosage form
^ESCT1206360	Product containing dosulepin in oral dosage form
^ESCT1206413	Desipramine in oral dosage form
^ESCT1206414	Product containing desipramine in oral dosage form
^ESCT1206665	Nortriptyline in oral dosage form
^ESCT1206666	Product containing nortriptyline in oral dosage form
