bA...	CA-CHANNEL BLOCKER+ACE INHIBIT
bA1..	FELODIPINE+RAMIPRIL
bA11.	TRIAPIN MITE 2.5mg/2.5mg tabs
bA12.	TRIAPIN 5mg/5mg tablets
bA1y.	FELODIP+RAMIPRL 2.5/2.5mg tabs
bA1z.	FELODIPINE+RAMIPRIL 5/5mg tabs
bi...	ACE INHIBITORS
bi1..	CAPTOPRIL
bi11.	ACEPRIL 12.5mg tablets
bi12.	ACEPRIL 25mg tablets
bi13.	ACEPRIL 25mg tablets x56
bi14.	ACEPRIL 50mg tablets
bi15.	ACEPRIL 50mg tablets x56
bi16.	*CAPOTEN 12.5mg tablets
bi17.	CAPOTEN 25mg tablets
bi18.	CAPOTEN 25mg tablets x56
bi19.	CAPOTEN 50mg tablets
bi1a.	CAPOTEN 50mg tablets x56
bi1A.	*HYPAPRIL 12.5mg tablets
bi1b.	ACEZIDE 50mg tablets x56
bi1B.	*HYPAPRIL 25mg tablets
bi1c.	*CAPOZIDE 50mg tablets x28
bi1C.	*HYPAPRIL 50mg tablets
bi1d.	*CAPOZIDE LS 25mg tabletsx28CP
bi1D.	*CAPTO-CO 25mg/12.5mg tablets
bi1e.	CAPTOP+HYDROCHL 25/12.5mg tabs
bi1E.	*CAPTO-CO 50mg/25mg tablets
bi1F.	*CO-ZIDOCAPT 25/12.5mg tablets
bi1g.	ECOPACE 12.5mg tablets
bi1G.	*CO-ZIDOCAPT 50mg/25mg tablets
bi1h.	ECOPACE 25mg tablets
bi1i.	ECOPACE 50mg tablets
bi1j.	*KAPLON 12.5mg tablets
bi1H.	NOYADA 5mg/5mL oral solution
bi1J.	NOYADA 25mg/5mL oral solution
bi1k.	*KAPLON 25mg tablets
bi1l.	*KAPLON 50mg tablets
bi1m.	*HYTENEZE 12.5 tablets
bi1n.	*HYTENEZE 25 tablets
bi1o.	*HYTENEZE 50 tablets
bi1p.	*TENSOPRIL 12.5mg tablets
bi1q.	*TENSOPRIL 25mg tablets
