bA...	Calcium-channel blocker+ACE inhibitor
bA1..	Felodipine+ramipril
bA1y.	Felodipine+ramipril 2.5mg/2.5mg tablet
bA11.	Triapin mite 2.5mg/2.5mg tablet
bA1z.	Felodipine+ramipril 5mg/5mg tablet
bA12.	Triapin 5mg/5mg tablet
bi...	Angiotensin-converting enzyme inhibitor
bi1..	Captopril
bi1v.	Captopril 12.5mg tablet
bi11.	Acepril 12.5mg tablet
bi16.	Capoten 12.5mg tablet
bi1g.	Ecopace 12.5mg tablet
bi1m.	Hyteneze 12.5 tablet
bi1j.	Kaplon 12.5mg tablet
bi1p.	Tensopril 12.5mg tablet
bi1A.	Hypapril 12.5mg tablet
bi1w.	Captopril 25mg tablet
bi12.	Acepril 25mg tablet
bi13.	Acepril 25mg tablets x56
bi17.	Capoten 25mg tablet
bi18.	Capoten 25mg tablets x56
bi1h.	Ecopace 25mg tablet
bi1n.	Hyteneze 25 tablet
bi1k.	Kaplon 25mg tablet
bi1q.	Tensopril 25mg tablet
bi1B.	Hypapril 25mg tablet
bi1x.	Captopril 25mg tablets x56
bi1z.	Captopril 50mg tablet
bi14.	Acepril 50mg tablet
bi15.	Acepril 50mg tablets x56
bi19.	Capoten 50mg tablet
bi1a.	Capoten 50mg tablets x56
bi1i.	Ecopace 50mg tablet
bi1o.	Hyteneze 50 tablet
bi1l.	Kaplon 50mg tablet
bi1r.	Tensopril 50mg tablet
bi1C.	Hypapril 50mg tablet
bi1y.	Captopril 50mg tablets x56
x001j	Captopril+diuretic
bi1e.	Co-zidocapt 25mg/12.5mg tablet
x00f1	Capozide LS tablet
bi1d.	Capozide LS 25mg tablets x28CP
bi1D.	Capto-Co 25mg/12.5mg tablet
bi1f.	Co-zidocapt 50mg/25mg tablet
x00eq	Acezide tablet
bi1b.	Acezide 50mg tablets x56
x00f0	Capozide tablet
bi1c.	Capozide 50mg tablets x28
bi1E.	Capto-Co 50mg/25mg tablet
bi1H.	NOYADA 5mg/5mL oral solution
bi1I.	CAPTOPRIL 5mg/5mL oral solution
bi1J.	NOYADA 25mg/5mL oral solution
bi1K.	CAPTOPRIL 25mg/5mL oral solution
bi1s.	CAPOZIDE 50mg/25mg tablets
biC..	PERINDOPRIL ARGININE
biC8.	PERINDOPRIL ARGININE+INDAPAMIDE 5mg/1.25mg tablets
biC7.	COVERSYL ARGININE PLUS 5mg/1.25mg tablets
biC6.	PERINDOPRIL ARGININE 10mg tablets
biC5.	COVERSYL ARGININE 10mg tablets
biC4.	PERINDOPRIL ARGININE 5mg tablets
biC3.	COVERSYL ARGININE 5mg tablets
biC2.	PERINDOPRIL ARGININE 2.5mg tablets
biC1.	COVERSYL ARGININE 2.5mg tablets
bi8..	Cilazapril
bi81.	Cilazapril 250micrograms tablet
bi85.	Vascace 250micrograms tablet
bi82.	Cilazapril 500micrograms tablet
bi86.	Vascace 500mcg tablet
bi83.	Cilazapril 1mg tablet
bi87.	Vascace 1mg tablet
