medcode	readcode	Description	CodingSystem
506	C100112	Non-insulin dependent diabetes mellitus	readcode
711	C10..00	Diabetes mellitus	readcode
758	C10F.00	Type 2 diabetes mellitus	readcode
1038	C100011	Insulin dependent diabetes mellitus	readcode
1323	F420.00	Diabetic retinopathy	readcode
1407	C10FJ00	Insulin treated Type 2 diabetes mellitus	readcode
1549	C10E.00	Type 1 diabetes mellitus	readcode
1647	C108.00	Insulin dependent diabetes mellitus	readcode
1682	C101.00	Diabetes mellitus with ketoacidosis	readcode
1684	66A4.00	Diabetic on oral treatment	readcode
2340	F381311	Diabetic amyotrophy	readcode
2342	F372.12	Diabetic neuropathy	readcode
2378	66AJ.00	Diabetic - poor control	readcode
2475	C104.11	Diabetic nephropathy	readcode
2478	66AJ100	Brittle diabetes	readcode
2986	F420200	Preproliferative diabetic retinopathy	readcode
3286	F420100	Proliferative diabetic retinopathy	readcode
3837	F420400	Diabetic maculopathy	readcode
4513	C109.00	Non-insulin dependent diabetes mellitus	readcode
5002	F372.11	Diabetic polyneuropathy	readcode
5884	C109.11	NIDDM - Non-insulin dependent diabetes mellitus	readcode
6509	C108700	Insulin dependent diabetes mellitus with retinopathy	readcode
6791	C108800	Insulin dependent diabetes mellitus - poor control	readcode
6813	1434	H/O: diabetes mellitus	readcode
7563	66A3.00	Diabetic on diet only	readcode
7795	C106.12	Diabetes mellitus with neuropathy	readcode
8403	C109700	Non-insulin dependent diabetes mellitus - poor control	readcode
8842	66A5.00	Diabetic on insulin	readcode
9013	66AJ.11	Unstable diabetes	readcode
10098	C10yy00	Other specified diabetes mellitus with other spec comps	readcode
10099	F420300	Advanced diabetic maculopathy	readcode
10418	C10ED00	Type 1 diabetes mellitus with nephropathy	readcode
10692	C10EM00	Type 1 diabetes mellitus with ketoacidosis	readcode
10755	F420600	Non proliferative diabetic retinopathy	readcode
11626	F420z00	Diabetic retinopathy NOS	readcode
12455	C10E.11	Type I diabetes mellitus	readcode
12640	C10FC00	Type 2 diabetes mellitus with nephropathy	readcode
12736	C10F500	Type 2 diabetes mellitus with gangrene	readcode
13071	66AI.00	Diabetic - good control	readcode
13279	C104y00	Other specified diabetes mellitus with renal complications	readcode
14803	C100100	"Diabetes mellitus, adult onset, no mention of complication"	readcode
14889	C100111	Maturity onset diabetes	readcode
15690	C103.00	Diabetes mellitus with ketoacidotic coma	readcode
16230	C106.00	Diabetes mellitus with neurological manifestation	readcode
16491	C106.13	Diabetes mellitus with polyneuropathy	readcode
16502	C104.00	Diabetes mellitus with renal manifestation	readcode
16946	13L4.11	Diabetic child	readcode
17262	C109600	Non-insulin-dependent diabetes mellitus with retinopathy	readcode
17545	C108F11	Type I diabetes mellitus with diabetic cataract	readcode
17858	C108.12	Type 1 diabetes mellitus	readcode
17859	C109.12	Type 2 diabetes mellitus	readcode
17869	66AL.00	Diabetic-uncooperative patient	readcode
18143	C109G11	Type II diabetes mellitus with arthropathy	readcode
18209	C109012	Type 2 diabetes mellitus with renal complications	readcode
18219	C109.13	Type II diabetes mellitus	readcode
18230	C108J12	Type 1 diabetes mellitus with neuropathic arthropathy	readcode
18264	C109J12	Insulin treated Type II diabetes mellitus	readcode
18278	C109J00	Insulin treated Type 2 diabetes mellitus	readcode
18387	C10E700	Type 1 diabetes mellitus with retinopathy	readcode
18390	C10FM00	Type 2 diabetes mellitus with persistent microalbuminuria	readcode
18425	C10FB00	Type 2 diabetes mellitus with polyneuropathy	readcode
18496	C10F600	Type 2 diabetes mellitus with retinopathy	readcode
18505	C108.11	IDDM-Insulin dependent diabetes mellitus	readcode
18642	C10EH00	Type 1 diabetes mellitus with arthropathy	readcode
18683	C10E500	Type 1 diabetes mellitus with ulcer	readcode
18777	C10F000	Type 2 diabetes mellitus with renal complications	readcode
21482	C102.00	Diabetes mellitus with hyperosmolar coma	readcode
21983	C108012	Type 1 diabetes mellitus with renal complications	readcode
22023	66AJz00	Diabetic - poor control NOS	readcode
22487	C10N.00	Secondary diabetes mellitus	readcode
22573	C106z00	Diabetes mellitus NOS with neurological manifestation	readcode
22871	C10EP00	Type 1 diabetes mellitus with exudative maculopathy	readcode
22884	C10F.11	Type II diabetes mellitus	readcode
24423	C108.13	Type I diabetes mellitus	readcode
24458	C109711	Type II diabetes mellitus - poor control	readcode
24490	C100000	"Diabetes mellitus, juvenile type, no mention of complication"	readcode
24693	C109G00	Non-insulin dependent diabetes mellitus with arthropathy	readcode
24694	C108B00	Insulin dependent diabetes mellitus with mononeuropathy	readcode
24836	C109C12	Type 2 diabetes mellitus with nephropathy	readcode
25591	C10FQ00	Type 2 diabetes mellitus with exudative maculopathy	readcode
25627	C10F700	Type 2 diabetes mellitus - poor control	readcode
26054	C10FL00	Type 2 diabetes mellitus with persistent proteinuria	readcode
26855	C108400	Unstable insulin dependent diabetes mellitus	readcode
28769	66AV.00	Diabetic on insulin and oral treatment	readcode
29979	C109900	Non-insulin-dependent diabetes mellitus without complication	readcode
30294	C10EL00	Type 1 diabetes mellitus with persistent microalbuminuria	readcode
30477	F420700	High risk proliferative diabetic retinopathy	readcode
31310	C108900	Insulin dependent diabetes maturity onset	readcode
32403	C107.11	Diabetes mellitus with gangrene	readcode
32556	C107.12	Diabetes with gangrene	readcode
32627	C10FN00	Type 2 diabetes mellitus with ketoacidosis	readcode
33254	C105.00	Diabetes mellitus with ophthalmic manifestation	readcode
