medcode	readcode	Description	CodingSystem
273	C04..13	Hypothyroidism	readcode
1472	C02..11	Hyperthyroidism	readcode
1619	C04..11	Myxoedema	readcode
3290	C04..00	Acquired hypothyroidism	readcode
3941	C04z.00	Hypothyroidism NOS	readcode
10097	C03..00	Congenital hypothyroidism	readcode
11322	C041000	Irradiation hypothyroidism	readcode
11892	C030.00	Pendred's syndrome	readcode
14704	C04..12	Thyroid deficiency	readcode
15743	C043000	Hypothyroidism resulting from para-aminosalicylic acid	readcode
18282	C04z.13	"Hypothyroid goitre, acquired"	readcode
20310	C04z.11	Pretibial myxoedema - hypothyroid	readcode
23014	C04z.12	Thyroid insufficiency	readcode
24748	C04y.00	Other acquired hypothyroidism	readcode
25913	C043.00	Other iatrogenic hypothyroidism	readcode
27533	C03z.12	Cretinism	readcode
28852	C040.00	Postsurgical hypothyroidism	readcode
31612	C03y000	Congenital hypothyroidism with diffuse goitre	readcode
31971	C046.00	Autoimmune myxoedema	readcode
34221	C042.00	Iodine hypothyroidism	readcode
38976	C043z00	Iatrogenic hypothyroidism NOS	readcode
46345	C045.00	Acquired atrophy of thyroid	readcode
47449	C031.00	Goitrous cretin	readcode
47521	C040.11	Post ablative hypothyroidism	readcode
50275	C041.00	Other postablative hypothyroidism	readcode
50860	C044.00	Postinfectious hypothyroidism	readcode
51481	C03z.00	Congenital hypothyroidism NOS	readcode
51706	C041z00	Postablative hypothyroidism NOS	readcode
56722	C04z000	Premature puberty due to hypothyroidism	readcode
59702	C04z100	Myxoedema coma	readcode
67513	C03..11	Cretinism	readcode
69290	C03y.00	Other specified congenital hypothyroidism	readcode
93159	C03y100	Congenital hypothyroidism without goitre	readcode
93323	C03z.11	Congenital thyroid insufficiency	readcode
94915	C043200	Hypothyroidism resulting from resorcinol	readcode
95830	C047.00	Subclinical hypothyroidism	readcode
97090	C043100	Hypothyroidism resulting from phenylbutazone	readcode
