medcode	readcode	Description	CodingSystem
576	E104.00	Acute schizophrenic episode	readcode
694	Eu2z.11	[X]Psychosis NOS	readcode
854	E10..00	Schizophrenic disorders	readcode
1494	E103.00	Paranoid schizophrenia	readcode
1531	Eu31.11	[X]Manic-depressive illness	readcode
2113	Eu22011	[X]Paranoid psychosis	readcode
2117	E107.00	Schizo-affective schizophrenia	readcode
2560	E11..12	Depressive psychoses	readcode
2741	Eu30000	[X]Hypomania	readcode
2882	E00z.00	Senile or presenile psychoses NOS	readcode
3702	E114.00	"Bipolar affective disorder, currently manic"	readcode
3890	E121.00	Chronic paranoid psychosis	readcode
3984	E100200	Chronic schizophrenic	readcode
4390	285..11	"Psychotic condition, insight present"	readcode
4677	E115.00	"Bipolar affective disorder, currently depressed"	readcode
4678	Eu30z11	[X]Mania NOS	readcode
4732	Eu31500	[X]Bipolar affect dis cur epi severe depres with psyc symp	readcode
6710	Eu31.12	[X]Manic-depressive psychosis	readcode
6874	Eu31.00	[X]Bipolar affective disorder	readcode
8407	E10z.00	Schizophrenia NOS	readcode
8567	E11..11	Bipolar psychoses	readcode
8766	Eu0z.12	[X]Symptomatic psychosis NOS	readcode
9281	E103z00	Paranoid schizophrenia NOS	readcode
9422	Eu25.00	[X]Schizoaffective disorders	readcode
9521	Eu30.11	"[X]Bipolar disorder, single manic episode"	readcode
10575	E107z00	Schizo-affective schizophrenia NOS	readcode
11055	Eu25100	"[X]Schizoaffective disorder, depressive type"	readcode
11596	E11y000	Unspecified manic-depressive psychoses	readcode
12099	Eu32300	[X]Severe depressive episode with psychotic symptoms	readcode
12173	Eu30.00	[X]Manic episode	readcode
12771	E12z.00	Paranoid psychosis NOS	readcode
12831	E115.11	Manic-depressive - now depressed	readcode
13024	Eu30100	[X]Mania without psychotic symptoms	readcode
14656	E11..00	Affective psychoses	readcode
14784	E117.00	Unspecified bipolar affective disorder	readcode
14971	E122.00	Paraphrenia	readcode
15249	E00y.00	Other senile and presenile organic psychoses	readcode
15733	E100000	Unspecified schizophrenia	readcode
15923	E115000	"Bipolar affective disorder, currently depressed, unspecified"	readcode
15958	E1...00	Non-organic psychoses	readcode
16347	E114300	"Bipolar affect disord, currently manic, severe, no psychosis"	readcode
16537	E1y..00	Other specified non-organic psychoses	readcode
16562	Eu31300	[X]Bipolar affect disorder cur epi mild or moderate depressn	readcode
16764	Eu20000	[X]Paranoid schizophrenia	readcode
16808	Eu31000	"[X]Bipolar affective disorder, current episode hypomanic"	readcode
16861	Eu33315	[X]Recurrent severe episodes of psychotic depression	readcode
16905	Eu25011	"[X]Schizoaffective psychosis, manic type"	readcode
17281	Eu2..00	"[X]Schizophrenia, schizotypal and delusional disorders"	readcode
17385	E114.11	Manic-depressive - now manic	readcode
18053	Eu20y13	[X]Schizophrenifrm psychos NOS	readcode
18909	E110.11	Hypomanic psychoses	readcode
19967	E111000	"Recurrent manic episodes, unspecified"	readcode
20785	Eu20400	[X]Post-schizophrenic depression	readcode
21065	Eu30200	[X]Mania with psychotic symptoms	readcode
21455	Eu23012	[X]Cycloid psychosis	readcode
22188	E1z..00	Non-organic psychosis NOS	readcode
22644	286..11	Poor insight into psychotic condition	readcode
22713	1S42.00	Manic mood	readcode
23616	E100100	Subchronic schizophrenia	readcode
24107	Eu20511	[X]Chronic undifferentiated schizophrenia	readcode
24171	E113400	"Recurrent major depressive episodes, severe, with psychosis"	readcode
24345	E134.00	Psychogenic paranoid psychosis	readcode
24689	E116100	"Mixed bipolar affective disorder, mild"	readcode
25546	E102.00	Catatonic schizophrenia	readcode
26143	Eu23112	[X]Cycloid psychosis with symptoms of schizophrenia	readcode
26161	E11..13	Manic psychoses	readcode
26227	E111.00	Recurrent manic episodes	readcode
26299	Eu31100	[X]Bipolar affect disorder cur epi manic wout psychotic symp	readcode
27739	E111200	"Recurrent manic episodes, moderate"	readcode
27770	Eu23312	[X]Psychogenic paranoid psychosis	readcode
27890	E115200	"Bipolar affective disorder, currently depressed, moderate"	readcode
27935	Eu02z15	[X] Senile psychosis NOS	readcode
27986	E117z00	"Unspecified bipolar affective disorder, NOS"	readcode
28168	Eu44.14	[X]Hysterical psychosis	readcode
28277	Eu31200	[X]Bipolar affect disorder cur epi manic with psychotic symp	readcode
28562	Eu22.00	[X]Persistent delusional disorders	readcode
28677	Eu33312	"[X]Manic-depress psychosis,depressed type+psychotic symptoms"	readcode
29451	Eu33213	"[X]Manic-depress psychosis,depressd,no psychotic symptoms"	readcode
30282	ZRby100	"Profile of mood states, bipolar"	readcode
30619	E101.00	Hebephrenic schizophrenia	readcode
30985	Eu2y.00	[X]Other nonorganic psychotic disorders	readcode
31316	E116.00	Mixed bipolar affective disorder	readcode
31362	E103200	Chronic paranoid schizophrenia	readcode
31493	Eu20214	[X]Schizophrenic flexibilatis cerea	readcode
31535	E116000	"Mixed bipolar affective disorder, unspecified"	readcode
31633	Eu3z.11	[X]Affective psychosis NOS	readcode
31738	Eu2y.11	[X]Chronic hallucinatory psychosis	readcode
31757	Eu33314	[X]Recurr severe episodes/psychogenic depressive psychosis	readcode
31984	E13..00	Other nonorganic psychoses	readcode
32088	Eu30y00	[X]Other manic episodes	readcode
32222	E100.00	Simple schizophrenia	readcode
32295	E111400	"Recurrent manic episodes, severe, with psychosis"	readcode
33338	E10y000	Atypical schizophrenia	readcode
33383	E103000	Unspecified paranoid schizophrenia	readcode
33410	Eu25z11	[X]Schizoaffective psychosis NOS	readcode
33425	E11zz00	Other affective psychosis NOS	readcode
33426	E11yz00	Other and unspecified manic-depressive psychoses NOS	readcode
33693	Eu25200	"[X]Schizoaffective disorder, mixed type"	readcode
33751	Eu31z00	"[X]Bipolar affective disorder, unspecified"	readcode
33847	Eu25000	"[X]Schizoaffective disorder, manic type"	readcode
34236	Eu20.00	[X]Schizophrenia	readcode
34389	Eu22000	[X]Delusional disorder	readcode
34966	Eu20z00	"[X]Schizophrenia, unspecified"	readcode
35274	Eu25111	"[X]Schizoaffective psychosis, depressive type"	readcode
35607	E115300	"Bipolar affect disord, now depressed, severe, no psychosis"	readcode
35734	E115100	"Bipolar affective disorder, currently depressed, mild"	readcode
35738	E114000	"Bipolar affective disorder, currently manic, unspecified"	readcode
35877	Eu20213	[X]Schizophrenic catatonia	readcode
36126	E114100	"Bipolar affective disorder, currently manic, mild"	readcode
37102	Eu30211	[X]Mania with mood-congruent psychotic symptoms	readcode
