c84..00	CHLORPHENAMINE MALEATE
c84..11	CHLORPHENIRAMINE MALEATE
c841.00	CHLORPHENAMINE MALEATE 4mg tablets
c841.11	CHLORPHENIRAMINE MALEATE 4mg tablets
c842.00	*ALUNEX 4mg tablets
c843.00	PIRITON 4mg tablets
c844.00	*PIRITON 12mg m/r tablets
c845.00	PIRITON 2mg/5mL syrup
c846.00	*PIRITON 10mg/1mL injection
c846.11	*PIRIJECT 10mg/1mL injection
c847.00	POLLENASE ANTIHISTAMINE 4mg tablets
c849.00	POLLENASE ALLERGY SYRUP 2mg/5mL sugar free syrup
c84A.00	ALLERIEF 2mg/5mL sugar free oral solution
c84B.00	VANTAGE ANTIHISTAMINE 4mg tablets
c84C.00	HAYLEVE 4mg tablets
c84D.00	ALLERGY RELIEF ANTIHISTAMINE 4mg tablets
c84E.00	ALLERCALM 4mg tablets
c84v.00	CHLORPHENAMINE MALEATE 2mg/5mL sugar free oral solution
c84v.11	CHLORPHENIRAMINE MALEATE 2mg/5mL sugar free oral solution
c84w.00	CHLORPHENAMINE MALEATE 2mg/5mL sugar free syrup
c84w.11	CHLORPHENAMINE MALEATE 2mg/5mL sugar free syrup
c84x.00	CHLORPHENIRAMINE MALEATE 12mg m/r tablets
c84y.00	CHLORPHENAMINE MALEATE 2mg/5mL syrup
c84y.11	CHLORPHENIRAMINE MALEATE 2mg/5mL syrup
c84z.00	CHLORPHENAMINE MALEATE 10mg/1mL injection
c84z.11	CHLORPHENIRAMINE MALEATE 10mg/1mL injection
