readcode	Description
741..00	Nasal sinus operations
7410.00	Operations on maxillary antrum using sublabial approach
7410000	Ligation of maxillary artery using sublabial approach
7410100	Caldwell Luc drainage of maxillary antrum
7410200	Irrigation of maxillary antrum using sublabial approach
7410300	Transantral neurectomy of vidian nerve using sublabial approach
7410y00	Other specified operation on maxillary antrum using sublabial approach
7410z00	Operation on maxillary antrum using sublabial approach NOS
7411.00	Other operations on maxillary antrum
7411.11	Reconstruction of maxillary antrum
7411000	Drainage of maxillary antrum NEC
7411100	Excision of lesion of maxillary antrum
7411200	Intranasal antrostomy
7411211	Intranasal antrostomy and drainage
7411300	Biopsy of lesion of maxillary antrum
7411400	Closure of fistula between maxillary antrum and mouth
7411500	Puncture of maxillary antrum
7411511	Irrigation of maxillary antrum NEC
7411600	Removal of antrochoanal polyp
7411700	Radical maxillary antrotomy
7411711	Denker radical maxillary antrotomy
7411800	Direct closure of defect of maxilla
7411900	Reconstruction of defect of maxilla with skin graft
7411A00	Reconstruction of maxilla with local flap
7411B00	Reconstruction of maxilla with distant flap
7411C00	Reconstruction of maxilla with microvascular transfered flap
7411C11	Reconstruction of maxillary antrum with free flap
7411D00	Reconstruction of maxilla with bone graft
7411E00	Intranasal antrostomy and biopsy of maxillary antrum
7411F00	Intranasal antrostomy and excision of lesion of maxillary antrum
7411G00	Bilateral antral washout
7411y00	Other specified other operation on maxillary antrum
7411z00	Other operation on maxillary antrum NOS
7412.00	Operations on frontal sinus
7412000	External frontoethmoidectomy
7412011	Killian external frontoethmoidectomy
7412012	Luc external frontoethmoidectomy
7412013	Ogston external frontoethmoidectomy
7412100	Intranasal ethmoidectomy
7412200	External ethmoidectomy
7412300	Transantral ethmoidectomy
7412311	Horgan transantral ethmoidectomy
7412400	Bone flap to frontal sinus
7412500	Trephine of frontal sinus
7412600	Craniofacial ethmoidectomy
7412700	Radical frontal sinus antrostomy
7412800	Frontal sinusotomy NEC
7412900	Median drainage of frontal sinus
7412A00	Drainage of frontal sinus
7412y00	Other specified operation on frontal sinus
7412z00	Operation on frontal sinus NOS
7413.00	Operations on sphenoid sinus
7413000	Drainage of sphenoid sinus
7413100	Puncture of sphenoid sinus
7413200	Repair of sphenoidal sinus
7413300	Excision of lesion from sphenoid sinus
7413y00	Other specified operation on sphenoid sinus
7413z00	Operation on sphenoid sinus NOS
7414.00	Operations on unspecified nasal sinus
7414.11	Reconstruction of defect of nasal sinus
7414000	Excision of nasal sinus NEC
7414100	Excision of lesion of nasal sinus
7414200	Biopsy of lesion of nasal sinus NEC
7414300	Lateral rhinotomy
7414400	Catheterisation of nasal sinus
