a23n.	GAVISCON-250 tablets
a23f.	*GAVISCON infant oral powder
a24z.	PEPTAC peppermint liquid
a23v.	GAVISCON ADVANCE s/f susp
a23A.	GAVISCON ADVANCE peppmint susp
a83y.	LOPERAMIDE HCL 2mg capsules
a4d2.	SPASMONAL 60mg capsules
aa3T.	MEZAVANT XL 1200mg m/r tablets
aj1a.	PROCTOSEDYL ointment 30g
a24t.	PEPTAC liquid
a62w.	RANITIDINE 150mg tablets
a4dz.	ALVERINE CITRATE 60mg capsules
a4ex.	MEBEVERINE HCL 135mg tablets
ab21.	FYBOGEL 3.5g plain s/f grans
a6b1.	OMEPRAZOLE 20mg e/c capsules
ac7v.	SENNA 7.5mg/5mL s/f syrup
aj1c.	SCHERIPROCT ointment 30g
a47y.	HYOSCINE BUTYLBROMIDE 10mg tab
a6b5.	OMEPRAZOLE 40mg e/c capsules
a4ev.	MEBEVERINE HCL 200mg m/r caps
a681.	FAMOTIDINE 20mg tablets
bd11.	PROPRANOLOL 10mg tablets
a6b7.	OMEPRAZOLE 10mg e/c capsules
ae4b.	MOVICOL PLAIN 13.7g/sachet pdr
aj1t.	XYLOPROCT ointment 20g
a62y.	RANITIDINE 300mg tablets
a6c2.	LANSOPRAZOLE 30mg capsules
a6bv.	OMEPRAZOLE 20mg e/c tablets
a6hz.	ESOMEPRAZOLE 20mg tablets
bd12.	PROPRANOLOL 40mg tablets
ac71.	SENNA 7.5mg tablets
b111.	DIGOXIN 62.5micrograms tablets
b211.	BENDROFLUMETHIAZIDE 2.5mg tabs
a6hu.	ESOMEPRAZOLE 40mg g/r capsules
a6c8.	LANSOPRAZOLE 30mg disp tabs
a6c3.	LANSOPRAZOLE 15mg capsules
a83w.	LOPERAMIDE HCL 2mg disp tabs
bd3j.	ATENOLOL 25mg tablets
ae49.	MOVICOL PAED PLAIN 6.9g/sachet
bd1y.	PROPRANOLOL 80mg m/r capsules
bb3n.	UNIVER 240mg m/r capsules x28
ac11.	BISACODYL 5mg tablets
a6c9.	ZOTON FASTAB 15mg disp tabs
a6e5.	PANTOPRAZOLE 20mg e/c tablets
aa31.	ASACOL 400mg tablets
bd6x.	METOPROLOL 50mg tablets
af11.	BISACODYL 10mg suppositories
bd35.	ATENOLOL 50mg tablets
bd52.	LABETALOL 200mg tablets
ac59.	DOCUSATE SODIUM 100mg capsules
a6hv.	ESOMEPRAZOLE 20mg g/r capsules
af15.	GLYCEROL 4g supps (adult)
ac84.	DULCO-LAX 5mg/5mL liquid
bdfx.	BISOPROLOL FUMARATE 2.5mg tabs
b28z.	INDAPAMIDE 2.5mg tablets
bdl5.	CARVEDILOL 3.125mg tablets
bdfw.	BISOPROLOL FUMARAT 1.25mg tabs
b312.	FUROSEMIDE 40mg tablets
a6hy.	ESOMEPRAZOLE 40mg tablets
bd1x.	PROPRANOLOL 160mg m/r capsules
ae11.	LACTULOSE 3.35g/5mL solution
bh62.	DOXAZOSIN 2mg tablets
bD1y.	RANOLAZINE 500mg m/r tablets
bh63.	DOXAZOSIN 4mg tablets
bi57.	PERINDOPRIL ERBUMINE 8mg tabs
b45z.	EPLERENONE 25mg tablets
b212.	BENDROFLUMETHIAZIDE 5mg tablet
bh6y.	DOXAZOSIN 8mg m/r tablets
b112.	DIGOXIN 125microgram tablets
bk32.	LOSARTAN POTASSIUM 50mg tabs
bdf1.	BISOPROLOL FUMARATE 5mg tabs
bi32.	LISINOPRIL 5mg tablets
bk72.	CANDESARTAN CILEXETIL 4mg tabs
bdfy.	BISOPROLOL FUMARAT 3.75mg tabs
b311.	FUROSEMIDE 20mg tablets
bi52.	PERINDOPRIL ERBUMINE 4mg tabs
bd6w.	METOPROLOL 100mg tablets
bk37.	LOSARTAN POTASSIUM 100mg tabs
bdl4.	CARVEDILOL 25mg tablets
bi67.	RAMIPRIL 10mg capsules
blb2.	AMLODIPINE 10mg tablets
bdfz.	BISOPROLOL FUMARATE 7.5mg tabs
b32u.	BUMETANIDE 1mg tablets
bi62.	RAMIPRIL 2.5mg capsules
bf41.	MOXONIDINE 200micrograms tabs
bl3d.	ISOSORBIDE MONO 50mg m/r caps
bdmy.	NEBIVOLOL 2.5mg tablets
bk71.	CANDESARTAN CILEXETIL 2mg tabs
blc2.	FELODIPINE 10mg m/r tablets
bdmz.	NEBIVOLOL 5mg tablets
bb1x.	AMIODARONE HCL 100mg tablets
bi63.	RAMIPRIL 5mg capsules
bk41.	VALSARTAN 40mg capsules
bl5I.	ADIZEM-XL 240mg m/r capsules
bh61.	DOXAZOSIN 1mg tablets
blh1.	LERCANIDIPINE HCL 10mg tablets
bs74.	APIXABAN 5mg tablets
bi6C.	RAMIPRIL 2.5mg tablets
bb3k.	SECURON SR 240mg m/r tabs 28CP
bi6D.	RAMIPRIL 5mg tablets
bkL2.	SACUBITRL+VALSRTN 24/26mg tabs
blc1.	FELODIPINE 5mg m/r tablets
bi33.	LISINOPRIL 10mg tablets
bu51.	CLOPIDOGREL 75mg tablets
bs86.	EDOXABAN 60mg tablets
bi6E.	RAMIPRIL 10mg tablets
bD1z.	RANOLAZINE 375mg m/r tablets
bk73.	CANDESARTAN CILEXETIL 8mg tabs
bl5g.	DILTIAZEM HCL 240mg m/r caps
bxi2.	ATORVASTATIN 20mg tablets
bi61.	RAMIPRIL 1.25mg capsules
bxc8.	FENOFIBRATE 267mg capsules
bxkx.	ROSUVASTATIN 10mg tablets
bk52.	IRBESARTAN 150mg tablets
bdf2.	BISOPROLOL FUMARATE 10mg tabs
bk7z.	CANDESARTAN CILEXETL 32mg tabs
blkN.	MONOMIL XL 60mg m/r tablets
bxiz.	ATORVASTATIN 80mg tablets
blh3.	LERCANIDIPINE HCl 20mg tablets
bxd2.	SIMVASTATIN 20mg tablets
c6B2.	FLUTC FUR+VILANT 184/22mcg inh
bl3W.	CHEMYDUR 60XL m/r tablets
bi2z.	ENALAPRIL MAL 20mg tabs x28
bl8U.	NIFEDIPRESS MR 20 m/r tablets
bp1M.	JEXT 300micrograms/0.3mL pen
c13J.	SALBUTAMOL 100mcg CFC-free inh
blzI.	GLYCERYL TRI 400mcg CFC fr spr
bxl1.	EZETIMIBE 10mg tablets
c6B3.	RELVAR ELLIPTA 92mcg/22mcg inh
bl3y.	ISOSORBIDE MONO 60mg m/r tabs
bi34.	LISINOPRIL 20mg tablets
bo4y.	NAFTIDROFURYL 100mg capsules
bxi1.	ATORVASTATIN 10mg tablets
c13o.	SALBUTAMOL 5mg/2.5mL neb units
bs4x.	DABIGATRAN ETEXILATE 150mg cap
c333.	TIOTROPIUM 2.5mcg carts+device
c8o1.	LORATADINE 10mg tablets
blc5.	FELODIPINE 2.5mg m/r tablets
bi51.	PERINDOPRIL ERBUMINE 2mg tabs
bs6x.	RIVAROXABAN 20mg tablets
c13T.	VENTOLIN 100mcg Evohaler
c14j.	TERBUTALINE 500mcg bth-act inh
bs6y.	RIVAROXABAN 15mg tablets
c64c.	PULMICORT 100mcg turbo 200dose
c8rz.	DESLORATADINE 5mg tablets
bs17.	WARFARIN SODIUM 1mg tablets
