B22z.11	Lung cancer
B010.	Malignant neoplasm of base of tongue
B010.00	Malignant neoplasm of base of tongue
B010.11	Malignant neoplasm of posterior third of tongue
B0100	Malignant neoplasm of base of tongue dorsal surface
B010000	Malignant neoplasm of base of tongue dorsal surface
B010z	Malignant neoplasm of fixed part of tongue NOS
B010z00	Malignant neoplasm of fixed part of tongue NOS
B015.	Malignant neoplasm of tongue, junctional zone
B015.00	Malignant neoplasm of tongue, junctional zone
B016.	Malignant neoplasm of lingual tonsil
B016.00	Malignant neoplasm of lingual tonsil
B053.	Malignant neoplasm of soft palate
B053.00	Malignant neoplasm of soft palate
B054.	Malignant neoplasm of uvula
B054.00	Malignant neoplasm of uvula
B06..	Malignant neoplasm of oropharynx
B06..00	Malignant neoplasm of oropharynx
B060.	Malignant neoplasm of tonsil
B060.00	Malignant neoplasm of tonsil
B0600	Malignant neoplasm of faucial tonsil
B060000	Malignant neoplasm of faucial tonsil
B0601	Malignant neoplasm of palatine tonsil
B060100	Malignant neoplasm of palatine tonsil
B0602	Malignant neoplasm of overlapping lesion of tonsil
B060200	Malignant neoplasm of overlapping lesion of tonsil
B060z	Malignant neoplasm tonsil NOS
B060z00	Malignant neoplasm tonsil NOS
B061.	Malignant neoplasm of tonsillar fossa
B061.00	Malignant neoplasm of tonsillar fossa
B062.	Malignant neoplasm of tonsillar pillar
B062.00	Malignant neoplasm of tonsillar pillar
B0620	Malignant neoplasm of faucial pillar
B062000	Malignant neoplasm of faucial pillar
B0621	Malignant neoplasm of glossopalatine fold
B062100	Malignant neoplasm of glossopalatine fold
B0622	Malignant neoplasm of palatoglossal arch
B062200	Malignant neoplasm of palatoglossal arch
B0623	Malignant neoplasm of palatopharyngeal arch
B062300	Malignant neoplasm of palatopharyngeal arch
B062z	Malignant neoplasm of tonsillar fossa NOS
B062z00	Malignant neoplasm of tonsillar fossa NOS
B063.	Malignant neoplasm of vallecula
B063.00	Malignant neoplasm of vallecula
B064.	Malignant neoplasm of anterior epiglottis
B064.00	Malignant neoplasm of anterior epiglottis
B0640	Malignant neoplasm of epiglottis, free border
B064000	Malignant neoplasm of epiglottis, free border
B0641	Malignant neoplasm of glossoepiglottic fold
B064100	Malignant neoplasm of glossoepiglottic fold
B064z	Malignant neoplasm of anterior epiglottis NOS
B064z00	Malignant neoplasm of anterior epiglottis NOS
B065.	Malignant neoplasm of junctional region of epiglottis
B065.00	Malignant neoplasm of junctional region of epiglottis
B066.	Malignant neoplasm of lateral wall of oropharynx
B066.00	Malignant neoplasm of lateral wall of oropharynx
B067.	Malignant neoplasm of posterior wall of oropharynx
B067.00	Malignant neoplasm of posterior wall of oropharynx
B06y.	Malignant neoplasm of oropharynx, other specified sites
B06y.00	Malignant neoplasm of oropharynx, other specified sites
B06yz	Malignant neoplasm of other specified site of oropharynx NOS
B06yz00	Malignant neoplasm of other specified site of oropharynx NOS
B06z.	Malignant neoplasm of oropharynx NOS
B06z.00	Malignant neoplasm of oropharynx NOS
B07..	Malignant neoplasm of nasopharynx
B07..00	Malignant neoplasm of nasopharynx
B070.	Malignant neoplasm of roof of nasopharynx
B070.00	Malignant neoplasm of roof of nasopharynx
B071.	Malignant neoplasm of posterior wall of nasopharynx
B071.00	Malignant neoplasm of posterior wall of nasopharynx
B0710	Malignant neoplasm of adenoid
B071000	Malignant neoplasm of adenoid
B0711	Malignant neoplasm of pharyngeal tonsil
B071100	Malignant neoplasm of pharyngeal tonsil
B071z	Malignant neoplasm of posterior wall of nasopharynx NOS
B071z00	Malignant neoplasm of posterior wall of nasopharynx NOS
B072.	Malignant neoplasm of lateral wall of nasopharynx
B072.00	Malignant neoplasm of lateral wall of nasopharynx
B0720	Malignant neoplasm of pharyngeal recess
B072000	Malignant neoplasm of pharyngeal recess
B0721	Malignant neoplasm of opening of auditory tube
B072100	Malignant neoplasm of opening of auditory tube
B072z	Malignant neoplasm of lateral wall of nasopharynx NOS
B072z00	Malignant neoplasm of lateral wall of nasopharynx NOS
B073.	Malignant neoplasm of anterior wall of nasopharynx
B073.00	Malignant neoplasm of anterior wall of nasopharynx
B0730	Malignant neoplasm of floor of nasopharynx
B073000	Malignant neoplasm of floor of nasopharynx
B0731	Malignant neoplasm of nasopharyngeal soft palate surface
B073100	Malignant neoplasm of nasopharyngeal soft palate surface
B0732	Malignant neoplasm of posterior margin of nasal septum and choanae
B073200	Malignant neoplasm of posterior margin of nasal septum and choanae
B073z	Malignant neoplasm of anterior wall of nasopharynx NOS
B073z00	Malignant neoplasm of anterior wall of nasopharynx NOS
B074.	Malignant neoplasm, overlapping lesion of nasopharynx
B074.00	Malignant neoplasm, overlapping lesion of nasopharynx
B07y.	Malignant neoplasm of other specified site of nasopharynx
B07y.00	Malignant neoplasm of other specified site of nasopharynx
B07z.	Malignant neoplasm of nasopharynx NOS
B07z.00	Malignant neoplasm of nasopharynx NOS
B08..	Malignant neoplasm of hypopharynx
B08..00	Malignant neoplasm of hypopharynx
B080.	Malignant neoplasm of postcricoid region
B080.00	Malignant neoplasm of postcricoid region
B081.	Malignant neoplasm of pyriform sinus
B081.00	Malignant neoplasm of pyriform sinus
B082.	Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect
B082.00	Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect
