^ESCT1168904	Thrombosis of iliac vein
^ESCT1168905	Iliac vein thrombosis
^ESCT1210766	Chronic deep vein thrombosis of right iliac vein
^ESCT1210767	Chronic deep vein thrombosis of left iliac vein
^ESCT1210768	Acute deep vein thrombosis of right iliac vein
^ESCT1210769	Acute deep vein thrombosis of left iliac vein
^ESCT1212579	Acute deep vein thrombosis of right upper limb following procedure
^ESCT1212580	Acute deep vein thrombosis of left upper limb following procedure
^ESCT1212584	Acute deep vein thrombosis of right lower limb following procedure
^ESCT1212585	Acute deep vein thrombosis of left lower limb following procedure
^ESCT1212599	Saddle embolus of pulmonary artery with acute cor pulmonale
^ESCT1212600	Acute cor pulmonale co-occurrent and due to saddle embolus of pulmonary artery
^ESCT1236899	Pulmonary embolism due to and following acute myocardial infarction
^ESCT1245632	[V] Personal history deep vein thrombosis
^ESCT1245633	[V] Personal history DVT (deep vein thrombosis)
^ESCT1394629	Phlebitis and thrombophlebitis of iliac vein
^ESCT1394929	Pulmonary embolism due to and following ectopic pregnancy
^ESCT1394930	Pulmonary embolism due to and following molar pregnancy
^ESCT1394948	Deep vein thrombosis of lower extremity due to intravenous drug use
^ESCT1394949	Deep vein thrombosis of lower limb due to intravenous drug use
^ESCT1417815	Acute deep vein thrombosis of right lower limb following coronary artery bypass graft
^ESCT1417816	Acute deep vein thrombosis of right lower limb as a sequela of coronary artery bypass graft
^ESCT1417817	Acute deep vein thrombosis of right lower limb as a late effect of coronary artery bypass graft
^ESCT1417818	Acute deep vein thrombosis of left lower limb following coronary artery bypass graft
^ESCT1417819	Acute deep vein thrombosis of left lower limb as a late effect of coronary artery bypass graft
^ESCT1417820	Acute deep vein thrombosis of left lower limb as a sequela of coronary artery bypass graft
^ESCT1417901	Thrombophlebitis of right axillary vein
^ESCT1417902	Thrombophlebitis of left axillary vein
^ESCT1418009	Thrombophlebitis of left popliteal vein
^ESCT1418010	Thrombophlebitis of right popliteal vein
^ESCT1418011	Thrombophlebitis of right tibial vein
^ESCT1418012	Thrombophlebitis of left tibial vein
^ESCT1419417	Acute deep venous thrombosis of left peroneal vein
^ESCT1419418	Acute DVT (deep vein thrombosis) of left peroneal vein
^ESCT1419486	Acute deep venous thrombosis of right peroneal vein
^ESCT1419487	Acute DVT (deep vein thrombosis) of right peroneal vein
^ESCTAC505762	Acute massive pulmonary embolism
^ESCTAC760958	Acute pulmonary embolism
^ESCTAC761720	Acute pulmonary thromboembolism
^ESCTAC796635	Acute deep vein thrombosis of lower limb
^ESCTAC804141	Acute deep venous thrombosis of lower limb due to coronary artery bypass grafting
^ESCTAC804142	Acute deep venous thrombosis of lower extremity due to coronary artery bypass graft
^ESCTAC804153	Acute deep venous thrombosis of calf
^ESCTAC804154	Acute deep venous thrombosis of popliteal vein
^ESCTAC804155	Acute deep venous thrombosis of tibial vein
^ESCTAC804156	Acute deep venous thrombosis of thigh
^ESCTAC804157	Acute deep venous thrombosis
^ESCTAC804158	Acute deep venous thrombosis of femoral vein
^ESCTAC804159	Acute deep venous thrombosis of iliofemoral vein
^ESCTAC804160	Acute deep venous thrombosis of ileofemoral vein
^ESCTAC804161	Acute deep venous thrombosis of upper extremity
^ESCTAC804167	Acute deep venous thrombosis of pelvic vein
^ESCTAC804169	Acute thrombosis of subclavian vein
^ESCTAC804190	Acute thrombosis of mesenteric vein
^ESCTAC804250	Acute deep venous thrombosis of axillary vein
