readcode	Description
12K8.00	Maternal postnatal depression
1B17.00	Depressed
1B17.11	C/O - feeling depressed
1B17.12	C/O - feeling unhappy
1B1U.00	Symptoms of depression
1B1U.11	Depressive symptoms
1BT..00	Depressed mood
1BT..11	Low mood
1BT..12	Sad mood
1S40.00	Dysphoric mood
2257.00	O/E - depressed
62T1.00	Puerperal depression
6659000	Antidepressant drug treatment started
6G00.00	Postnatal depression counselling
8BIB.00	Patient unhappy with medication regime
8BK0.00	Depression management programme
8CAa.00	Patient given advice about management of depression
8HHq.00	Referral for guided self-help for depression
8HHq000	Referral for depression self-help video
8ID..00	Postnatal depression not discussed
8IH5200	Referral for guided self-help for depression declined
9HA0.00	On depression register
9Ov..00	Depression monitoring administration
9Ov0.00	Depression monitoring first letter
9Ov1.00	Depression monitoring second letter
9Ov2.00	Depression monitoring third letter
9Ov3.00	Depression monitoring verbal invite
9Ov4.00	Depression monitoring telephone invite
9k4..00	Depression - enhanced services administration
9k40.00	Depression - enhanced service completed
9kQ..00	On full dose long term treatment for depression - enhanced services administration
9kQ..11	On full dose long term treatment for depression
E02y300	Drug-induced depressive state
E11..12	Depressive psychoses
E112.00	Single major depressive episode
E112.11	Agitated depression
E112.12	Endogenous depression first episode
E112.13	Endogenous depression first episode
E112.14	Endogenous depression
E112000	Single major depressive episode, unspecified
E112100	Single major depressive episode, mild
E112200	Single major depressive episode, moderate
E112300	Single major depressive episode, severe, without mention of psychosis
E112400	Single major depressive episode, severe, with psychosis
E112500	Single major depressive episode, in partial or unspecified remission
E112600	Single major depressive episode, in full remission
E112z00	Single major depressive episode NOS
E113.00	Recurrent major depressive episode
E113.11	Endogenous depression - recurrent
E113000	Recurrent major depressive episodes, unspecified
E113100	Recurrent major depressive episodes, mild
E113200	Recurrent major depressive episodes, moderate
E113300	Recurrent major depressive episodes, severe, without mention of psychosis
E113400	Recurrent major depressive episodes, severe, with psychosis
E113500	Recurrent major depressive episodes, in partial or unspecified remission
E113600	Recurrent major depressive episodes, in full remission
E113700	Recurrent depression
E113z00	Recurrent major depressive episode NOS
E118.00	Seasonal affective disorder
E11y200	Atypical depressive disorder
E11z200	Masked depression
E130.00	Reactive depressive psychosis
E130.11	Psychotic reactive depression
E135.00	Agitated depression
E200300	Anxiety with depression
E204.00	Neurotic depression reactive type
E204.11	Postnatal depression
E211200	Depressive personality disorder
E290.00	Brief depressive reaction
E290000	Grief reaction
E290011	Bereavement reaction
E290z00	Brief depressive reaction NOS
E291.00	Prolonged depressive reaction
E2B..00	Depressive disorder NEC
E2B0.00	Postviral depression
E2B1.00	Chronic depression
Eu05300	[X]Organic mood [affective] disorders
Eu06y11	[X]Right hemispheric organic affective disorder
Eu20400	[X]Post-schizophrenic depression
Eu25100	[X]Schizoaffective disorder, depressive type
Eu25111	[X]Schizoaffective psychosis, depressive type
Eu3..00	[X]Mood - affective disorders
Eu32.00	[X]Depressive episode
Eu32.11	[X]Single episode of depressive reaction
Eu32.12	[X]Single episode of psychogenic depression
Eu32.13	[X]Single episode of reactive depression
Eu32000	[X]Mild depressive episode
Eu32100	[X]Moderate depressive episode
Eu32200	[X]Severe depressive episode without psychotic symptoms
Eu32211	[X]Single episode agitated depression without psychotic symptoms
Eu32212	[X]Single episode major depression without psychotic symptoms
Eu32213	[X]Single episode vital depression without psychotic symptoms
Eu32300	[X]Severe depressive episode with psychotic symptoms
Eu32311	[X]Single episode of major depression with psychotic symptoms
Eu32312	[X]Single episode of psychogenic depressive psychosis
Eu32313	[X]Single episode of psychotic depression
Eu32314	[X]Single episode of reactive depressive psychosis
Eu32400	[X]Mild depression
Eu32500	[X]Major depression, mild
Eu32600	[X]Major depression, moderately severe
Eu32700	[X]Major depression, severe without psychotic symptoms
Eu32800	[X]Major depression, severe with psychotic symptoms
Eu32900	[X]Single major depressive episode, severe, with psychosis, psychosis in remission
Eu32A00	[X]Recurrent major depressive episodes, severe, with psychosis, psychosis in remission
Eu32B00	[X]Antenatal depression
Eu32y00	[X]Other depressive episodes
Eu32y11	[X]Atypical depression
Eu32y12	[X]Single episode of masked depression NOS
Eu32z00	[X]Depressive episode, unspecified
Eu32z11	[X]Depression NOS
Eu32z12	[X]Depressive disorder NOS
Eu32z13	[X]Prolonged single episode of reactive depression
Eu32z14	[X] Reactive depression NOS
Eu33.00	[X]Recurrent depressive disorder
Eu33.11	[X]Recurrent episodes of depressive reaction
Eu33.12	[X]Recurrent episodes of psychogenic depression
Eu33.13	[X]Recurrent episodes of reactive depression
Eu33.14	[X]Seasonal depressive disorder
Eu33.15	[X]SAD - Seasonal affective disorder
Eu33000	[X]Recurrent depressive disorder, current episode mild
Eu33100	[X]Recurrent depressive disorder, current episode moderate
Eu33200	[X]Recurrent depressive disorder, current episode severe without psychotic symptoms
Eu33211	[X]Endogenous depression without psychotic symptoms
Eu33212	[X]Major depression, recurrent without psychotic symptoms
Eu33214	[X]Vital depression, recurrent without psychotic symptoms
Eu33300	[X]Recurrent depressive disorder, current episode severe with psychotic symptoms
Eu33311	[X]Endogenous depression with psychotic symptoms
Eu33313	[X]Recurrent severe episodes of major depression with psychotic symptoms
Eu33314	[X]Recurrent severe episodes of psychogenic depressive psychosis
Eu33315	[X]Recurrent severe episodes of psychotic depression
Eu33316	[X]Recurrent severe episodes of reactive depressive psychosis
Eu33400	[X]Recurrent depressive disorder, currently in remission
Eu33y00	[X]Other recurrent depressive disorders
Eu33z00	[X]Recurrent depressive disorder, unspecified
Eu33z11	[X]Monopolar depression NOS
Eu34.00	[X]Persistent mood affective disorders
Eu34100	[X]Dysthymia
Eu34111	[X]Depressive neurosis
Eu34112	[X]Depressive personality disorder
Eu34113	[X]Neurotic depression
Eu34114	[X]Persistant anxiety depression
Eu34y00	[X]Other persistent mood affective disorders
Eu34z00	[X]Persistent mood affective disorder, unspecified
Eu3y.00	[X]Other mood affective disorders
Eu3y000	[X]Other single mood affective disorders
Eu3y011	[X]Mixed affective episode
Eu3y100	[X]Other recurrent mood affective disorders
Eu3y111	[X]Recurrent brief depressive episodes
Eu3yy00	[X]Other specified mood affective disorders
Eu3z.00	[X]Unspecified mood affective disorder
Eu41200	[X]Mixed anxiety and depressive disorder
Eu41211	[X]Mild anxiety depression
Eu43212	[X]Grief reaction
Eu53011	[X]Postnatal depression NOS
Eu53012	[X]Postpartum depression NOS
Eu92000	[X]Depressive conduct disorder
R007z13	[D]Postoperative depression
