1B1W.00	Transient epileptic amnesia
1O30.00	Epilepsy confirmed
2823.00	O/E - petit mal fit
2824.00	O/E - focal (Jacksonian) fit
2824.11	O/E - Jacksonian fit
2825.00	O/E - psychomotor fit
2826.00	O/E - salaam attack
2828.00	Absence seizure
667B.00	Nocturnal epilepsy
667N.00	Epilepsy severity
Eu05212	[X]Schizophrenia-like psychosis in epilepsy
Eu05y11	[X]Epileptic psychosis NOS
Eu06013	[X]Limbic epilepsy personality
Eu80300	[X]Acquired aphasia with epilepsy [Landau - Kleffner]
F132100	Progressive myoclonic epilepsy
F132200	Myoclonic encephalopathy
F25..00	Epilepsy
F250.00	Generalised nonconvulsive epilepsy
F250000	Petit mal (minor) epilepsy
F250011	Epileptic absences
F250100	Pykno-epilepsy
F250200	Epileptic seizures - atonic
F250300	Epileptic seizures - akinetic
F250400	Juvenile absence epilepsy
F250500	Lennox-Gastaut syndrome
F250y00	Other specified generalised nonconvulsive epilepsy
F250z00	Generalised nonconvulsive epilepsy NOS
F251.00	Generalised convulsive epilepsy
F251000	Grand mal (major) epilepsy
F251011	Tonic-clonic epilepsy
F251200	Epileptic seizures - clonic
F251300	Epileptic seizures - myoclonic
F251400	Epileptic seizures - tonic
F251500	Tonic-clonic epilepsy
F251600	Grand mal seizure
F251y00	Other specified generalised convulsive epilepsy
F251z00	Generalised convulsive epilepsy NOS
F252.00	Petit mal status
F253.00	Grand mal status
F253.11	Status epilepticus
F254.00	Partial epilepsy with impairment of consciousness
F254000	Temporal lobe epilepsy
F254100	Psychomotor epilepsy
F254200	Psychosensory epilepsy
F254300	Limbic system epilepsy
F254400	Epileptic automatism
F254500	Complex partial epileptic seizure
F254z00	Partial epilepsy with impairment of consciousness NOS
F255.00	Partial epilepsy without mention of impairment of consciousness
F255000	Jacksonian, focal or motor epilepsy
F255011	Focal epilepsy
F255012	Motor epilepsy
F255100	Sensory induced epilepsy
F255200	Somatosensory epilepsy
F255300	Visceral reflex epilepsy
F255311	Partial epilepsy with autonomic symptoms
F255400	Visual reflex epilepsy
F255500	Unilateral epilepsy
F255600	Simple partial epileptic seizure
F255y00	Other specified partial epilepsy without mention of impairment of consciousness
F255z00	Partial epilepsy without mention of impairment of consciousness NOS
F256.00	Infantile spasms
F256.11	Lightning spasms
F256.12	West syndrome
F256000	Hypsarrhythmia
F256100	Salaam attacks
F256z00	Infantile spasms NOS
F257.00	Kojevnikov's epilepsy
F25A.00	Juvenile myoclonic epilepsy
F25B.00	Alcohol-induced epilepsy
F25C.00	Drug-induced epilepsy
F25D.00	Menstrual epilepsy
F25E.00	Stress-induced epilepsy
F25F.00	Photosensitive epilepsy
F25G.00	Severe myoclonic epilepsy in infancy
F25X.00	Status epilepticus, unspecified
F25y.00	Other forms of epilepsy
F25y000	Cursive (running) epilepsy
F25y100	Gelastic epilepsy
F25y200	Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localised onset
F25y300	Complex partial status epilepticus
F25y400	Benign Rolandic epilepsy
F25y500	Panayiotopoulos syndrome
F25yz00	Other forms of epilepsy NOS
F25z.00	Epilepsy NOS
F25z.11	Fit (in known epileptic) NOS
Fyu5000	[X]Other generalized epilepsy and epileptic syndromes
Fyu5100	[X]Other epilepsy
Fyu5200	[X]Other status epilepticus
Fyu5900	[X]Status epilepticus, unspecified
SC20000	Traumatic epilepsy
