B927.	Neurofibromatosis type 1
C301.	Phenylketonuria
C3025	Oculocerebrorenal syndrome
C3033	Maple syrup urine disease
C3052	Histidinuria
C3063	Arginase deficiency
C31y1	Fucosidosis
C31y3	Alpha-D-mannosidosis
C31y7	Aspartylglucosaminuria
C3510	Wilson's disease
C3753	Mucopolysaccharidosis type III
C3757	Mucopolysaccharidosis type VII
C3758	Multiple sulphatase deficiency
E31..	Other specified mental retardation
E310.	Moderate mental retardation, IQ in range 35-49
E311.	Severe mental retardation, IQ in range 20-34
E312.	Profound mental retardation with IQ less than 20
E31z.	Other specified mental retardation NOS
E3z..	Mental retardation NOS
Eu700	[X]Mild mental retardation with the statement of no, or minimal, impairment of behaviour
Eu701	[X]Mild mental retardation, significant impairment of behaviour requiring attention or treatment
Eu70y	[X]Mild mental retardation, other impairments of behaviour
Eu70z	[X]Mild mental retardation without mention of impairment of behaviour
Eu710	[X]Moderate mental retardation with the statement of no, or minimal, impairment of behaviour
Eu711	[X]Moderate mental retardation, significant impairment of behaviour requiring attention or treatment
Eu71y	[X]Mod retard oth behav impair
Eu71z	[X]Moderate mental retardation without mention of impairment of behaviour
Eu720	[X]Severe mental retardation with the statement of no, or minimal, impairment of behaviour
Eu721	[X]Severe mental retardation, significant impairment of behaviour requiring attention or treatment
Eu72y	[X]Severe mental retardation, other impairments of behaviour
Eu72z	[X]Severe mental retardation without mention of impairment of behaviour
Eu730	[X]Profound mental retardation with the statement of no, or minimal, impairment of behaviour
Eu731	[X]Profound mental retardation, significant impairment of behaviour requiring attention or treatment
Eu73y	[X]Profound mental retardation, other impairments of behaviour
Eu73z	[X]Profound mental retardation without mention of impairment of behaviour
Eu7y.	[X]Other mental retardation
Eu7y0	[X]Other mental retardation with the statement of no, or minimal, impairment of behaviour
Eu7y1	[X]Other mental retardation, significant impairment of behaviour requiring attention or treatment
Eu7yy	[X]Other mental retardation, other impairments of behaviour
Eu7yz	[X]Other mental retardation without mention of impairment of behaviour
Eu7z0	[X]Unspecified mental retardation with the statement of no, or minimal, impairment of behaviour
Eu7z1	[X]Unspecified mental retardation, significant impairment of behaviour requiring attention or treatment
Eu7zy	[X]Unspecified mental retardation, other impairments of behaviour
Eu7zz	[X]Unspecified mental retardation without mention of impairment of behaviour
F2511	Benign myoclonic epilepsy in infancy
F4276	Retinitis pigmentosa
PG421	Schwartz-Jampel syndrome
PG442	Thanatophoric dwarfism
PG5D.	Craniodiaphyseal dysplasia
PH322	Xeroderma pigmentosum
PJ00.	Trisomy 21- meiotic nondisjunction
PJ01.	Trisomy 21- mitotic nondisjunction mosaicism
PJ1..	Patau's syndrome
PJ2..	Edwards' syndrome
PJ31.	Cri du chat syndrome
PJ32.	Deletion of short arm of chromosome 4
PJ73.	Klinefelter's syndrome, XXYY
PK80.	Fetal alcohol syndrome
PKy0.	(Multiple system congenital anomalies NEC) or (Prader-Willi syndrome) or (Noonan's syndrome)
PKy1.	Laurence-Moon-Biedl syndrome
PKy4.	William syndrome
PKy60	Amsterdam dwarf
PKy63	7-Dehydrocholesterol reductase deficiency
PKy64	Seckel syndrome
PKy66	Dubowitz syndrome
PKy70	Carpenter's syndrome
PKy73	Rubinstein-Taybi syndrome
PKy80	Noonan's syndrome
PKy93	Prader-Willi syndrome
PKyz.	(Other specified anomalies NOS) or (Cockayne's syndrome) or (local gigantism NEC)
PKyz0	Ullrich-Feichtiger syndrome, chimaera
PKyz5	Angelman's syndrome
X002H	Marinesco-Sjogren syndrome
X004C	Aicardi Goutieres syndrome
X005S	Rett syndrome
X005U	Alexander disease
X005V	Type I classic Pelizaeus-Merzbacher disease
X005W	Type II congenital Pelizaeus-Merzbacher disease
X006Q	Lennox-Gastaut syndrome
X00AH	Autosomal recessive sensory neuropathy
X00AJ	Congenital sensory neuropathy with anhidrosis
X00dy	Usher syndrome type 1
X00e1	Laurence-Moon syndrome
X00Ex	Dysequilibrium syndrome
X207u	Hennekam lymphangiectasia-lymphoedema syndrome
X40JT	Bird-headed dwarfism with progressive ataxia, insulin-resistant diabetes, goitre, and primary gonadal insufficiency
X40QP	Occipital horn syndrome
X40Rb	Phenylalanine hydroxylase deficiency
X40Rf	Dihydropteridine reductase deficiency
X40S3	Cross syndrome
X40Sh	Succinic semialdehyde dehydrogenase deficiency
X40Sz	Combined methylmalonic acidaemia and homocystinuria due to defects in adenosylcobalamin and methylcobalamin synthesis
X40T0	Cobalamin locus C variant
X40T1	M0E.321 Cobalamin locus D variant
X40TM	L-2(OH) glutaric aciduria
X40TR	Uridine diphosphate galactose-4-epimerase deficiency
X40Ue	Combined xanthine oxidase and aldehyde oxidase deficiency
X40Uf	Combined molybdoflavoprotein enzyme deficiency
X40Un	Adenylosuccinate lyase deficiency
X40UY	Complete hypoxanthine-guanine phosphoribosyltransferase deficiency
X40V8	Infantile GM1 gangliosidosis
X40VB	Mucolipidosis type IV
X40Vy	Mucopolysaccharidosis type I-H
X40WE	Infantile mannosidosis
X40WF	Juvenile mannosidosis
X40WG	Beta-D-mannosidosis
X40WH	Alpha-N-acetylgalactosaminidase deficiency
X40WJ	Galactosialidosis
X40WM	Infantile sialic acid storage disease
X40Wn	X-linked adrenoleucodystrophy
X40WO	Sialuria
X40Wq	Acyl-CoA oxidase deficiency
X40Xn	Nutritional mental retardation
X50EL	Encephalocraniocutaneous lipomatosis
X50Hh	Orofacial-digital syndrome IV
X50Hj	Berlin syndrome
X50Hu	Amelocerebrohypohidrotic syndrome
X50HX	Coffin-Siris syndrome
X50IH	Sjogren-Larsson's syndrome
X50In	Keratoderma with mental retardation and spastic paraplegia
X708a	Hydrocephalus, agyria and retinal dysplasia
X708S	Fukuyama muscular dystrophy
X77qo	Hydrocephalus with anomaly of aqueduct of Sylvius
X77ra	Gillespie syndrome
X77rO	Megalencephaly
X789u	Dyggve-Melchior-Clausen syndrome
X78Ak	Acrodysostosis
X78Az	Desbuquois syndrome
X78BP	Dysosteosclerosis
X78BY	Lenz-Majewski dysplasia
X78D7	De Sanctis-Cacchione syndrome
X78Dc	Cutis laxa, X-linked
X78Ek	Down's syndrome NOS
X78El	Partial trisomy 21 in Down's syndrome
X78Em	Edward's syndrome NOS
X78Eo	Patau's syndrome NOS
X78Ep	Partial trisomy 13 in Patau's syndrome
X78FB	Fragile X syndrome
Xa0lA	Classical phenylketonuria
Xa0OH	Aicardi syndrome
Xa0Zb	Borjeson-Forssman-Lehmann syndrome
Xa0Zc	Coffin-Lowry syndrome
Xa0Zd	Marshall-Smith syndrome
Xa0Ze	Weaver syndrome
Xa0ZS	Schprintzen
Xa6aa	3-Methylglutaconic aciduria type 4
Xa6ay	Glycerol kinase deficiency - isolated
XaaiS	Specific learning disability
XaaLb	Methyl-CpG (cytosine-phosphate-guanine)-binding protein-2 duplication syndrome
Xabk1	Significant learning disability
XaDki	Mental retardation, congenital heart disease, blepharophimosis, blepharoptosis and hypoplastic teeth
XaIwZ	Smith-Magenis syndrome
XaIyB	Nicolaides-Baraitser syndrome
XaKYb	On learning disability register
XaL2v	Lujan-Fryns syndrome
XaNWy	Mowat-Wilson syndrome
XaQZ3	Moderate learning disability
XaQZ4	Severe learning disability
XaREt	Mild learning disability
XaREu	Profound learning disability
XaYPO	Peters-plus syndrome
XaYQb	9p partial trisomy syndrome
XaYQz	Marden-Walker syndrome
XaYYN	Kleefstra syndrome
XaZd4	Cardio-facio-cutaneous syndrome
XaZWI	Cohen syndrome
XE1a2	[X]Unspecified mental retardation
XE1MZ	Down's syndrome
XE2a3	Mild mental retardation, IQ in range 50-70
XE2ad	Deletion of short arm of chromosome 18
XM00P	Primary microcephaly
XM1MJ	Klinefelter's syndrome XXXY
