ResultCode	ResultDescription	(No column name)
C	Full Blood Count +Differential	500576
UE	U/E'S	442513
SBC	FBC	390486
CRP	C-REACTIVE PROTEIN	364555
H	Hepatic Profile	360769
B	Bone Profile	223932
XR Chest	XR Chest	191370
TFT	FT4 + TSH	161231
IFCC	Haemoglobin A1c IFCC	156947
EGFR	GFR estimate(4vMDRD)	129567
L	LIPID PROFILE	127776
186710	MSU for M,C&S	116695
186870	MRSA Screen	112884
A1C	HbA1c (IFCC)	107185
XCHES	XR Chest	104846
MG	MAGNESIUM	102655
GS1	Group and Antibody Screen	86635
FBC	Full Blood Count	84091
ESR	ESR	83018
FER	Serum Ferritin Assay	79410
187532	GeneXpert CPE	73184
COAG	Coagulation profile	72323
SB12	Serum Vitamin B12 Assay	67368
SFOL	Serum Folate Assay	65924
TCO2	BICARBONATE	65835
VITDP	Vitamin D Profile (LCMS)	65075
GLU	Glucose	64825
SRP	Std Renal Profile	63365
BloodBank	BloodBank	61958
E2	UE	55657
PA	PT APTT	54793
AKI	AKI Stage	53401
UE	Urea and Electrolyte	53369
LFT3	Liver Function	53095
TNT	TROPONIN-T	51940
US Obstetric foetal growth	US Obstetric foetal growth	43623
CRPS	C-Reactive Protein	41819
CGFR	Estimated GFR	41465
ROU	Routine Profile	40143
INR	INR	37390
MACR	micro alb creat ratio	37287
LFT	LFT	35169
Histology	Histology	35007
TFT1	Thyroids (new)	34680
LPS	Lipase	34426
HDL	Lipids & HDL	34228
601695	2019 Novel Corona Virus 8800	34099
CT Head	CT Head	33873
I	IRON + IRON SATURATION	30715
PV	Plasma Viscocity	30208
NCOV	2019-nCoV	30124
CPROF	Childrens profile	29622
TFT	Thyr. Function Test	29484
HI_RRPT	Report	29277
VD23	Vit D Metabolites	29250
187405	BC - Peripheral	28852
MICALB	MicAlbumin Excretion	26470
FBC	FBC	26452
GGT	GAMMA-GLUTAMYLTRANSPEPTIDASE	25883
HBA1C	Haemoglobin A1c	25835
SG	Transfusion 2nd Group required	24915
POCT_Glucose (Nova_Statstrip)	POCT_Glucose (Nova_Statstrip)	24608
SICL	Haemoglobinopathy Screen	24218
FBC2	Full Blood Count	24090
1XT	Christie Profile	23960
QHCG	Quantitative HCG	23885
FER1	Ferritin	23247
PT	Prothrombin Time	22927
186700	Urine - M,C&S	22723
187195	Syphilis Screen	22480
PTH	PARATHYROID HORMONE	22345
UPCR	Urine protein/creatine ratio	21534
US Obstetric doppler study	US Obstetric doppler study	21028
CHLT	Full Lipids(inc HDL)	20924
XR Pelvis	XR Pelvis	20897
186865	Wound swab	20103
187675	C.trachomatis PCR	19856
186765	HVS Swab	19435
US Obstetric Foetal Anatomy Scan	US Obstetric Foetal Anatomy Scan	19111
IGS	IMMUNOGLOBULIN PROFILE	18631
UA	URATE	18460
AST	ASPARTATE TRANSAMINASE	18458
GLU1	Glucose	17780
HEP	Heparin Control	17578
PT	PT and INR	17460
TTG	tTG IgA Antibody (serum)	16946
CSKUH	CT Head	16710
VB12	B12/Folate	16475
LDH	LACTATE DEHYDROGENASE	16373
US Obstetric TV	US Obstetric TV	16362
186830	Routine Faeces	16009
B12	Vitamin B12	15741
XR Abdomen	XR Abdomen	15522
PSA	PROSTATE SPECIFIC ANTIGEN	15302
XR Knee Rt	XR Knee Rt	15174
FERR	Serum Ferritin	14993
CK	CREATINE KINASE	14784
XR Knee Lt	XR Knee Lt	14593
UC	Urine Culture	14510
UOFG	US Obstetric foetal growth	14319
US Obstetric Nuchal Dating Scan	US Obstetric Nuchal Dating Scan	14190
187105	HIV Screen	13768
US Abdomen	US Abdomen	13668
FASGLU	Fasting Glucose	13481
FOL	Serum Folate	13172
OMEDP	Medical photography	13065
XMAMB	XR Mammogram Both	13018
FDP	FDP/D-DIMER	12989
CT Abdomen and pelvis with contrast	CT Abdomen and pelvis with contrast	12724
187235	Sputum - R?outine	12576
B	Bone	12382
XR Orthopantomogram full	XR Orthopantomogram full	12247
