13G3.	Midwife attends
13G30	Midwife attends 1-10 days post-discharge
13G31	Midwife attends 11-13 days post-discharge
13G32	Midwife attends 14-16 days post-discharge
13G33	Midwife attends 17-20 days post-discharge
13G34	Midwife attends 21-24 days post-discharge
13G35	Midwife attends 25-28 days post-discharge
155..	H/O: baby feeding method
62P..	Infant feeding method
62Q..	Postnatal care provider
62Q1.	P/N care from consultant
62Q2.	P/N care from G.P.
62Q3.	P/N - shared care
62QZ.	Postnatal care NOS
62R..	New birth visit
62R1.	Postnatal - first day visit
62R2.	Postnatal - second day visit
62R3.	Postnatal - third day visit
62R4.	Postnatal - fourth day visit
62R5.	Postnatal - fifth day visit
62R6.	Postnatal - sixth day visit
62R7.	Postnatal - seventh day visit
62R8.	Postnatal - eighth day visit
62R9.	Postnatal - ninth day visit
62RA.	Postnatal - tenth day visit
62RB.	P/N care started at birth
62RC.	Postnatal care less than 48 hours after birth
62RD.	Postnatal care greater than 48 hours after birth
62RZ.	Postnatal visit NOS
62S..	Maternal P/N 6 week exam
62S1.	Maternal P/N exam. not offered
62S2.	Maternal P/N exam. offered
62S3.	Maternal P/N exam. refused
62S5.	Maternal P/N exam. done
62S6.	Postnatal examination minor problem found
62S7.	Postnatal examination normal
62SZ.	Maternal P/N 6 week exam. NOS
62T1.	Postnatal depression
635..	Premature baby
63CC.	Difficult to establish feeding
63F..	Birth details not known
63Z..	(Birth detail NOS) or (Apgar normal)
64...	(Child health care (& [child development examinations] or [paed surveillance] or [paed surveillance checks]) or (infant feeding method) or (breast/other feeding diff ages)
64a..	Child 8 week exam
64a4.	Child 8 week examination normal
64a5.	8 week examination abnormal - for observation
64a6.	8 week examination abnormal - referred
64a7.	8 week examination abnormal - on treatment
64C..	Child examination - 10 days
64C1.	Child not examined at 10 days
64C2.	Child 10 day examination - normal
64C3.	10 day examination abnormal - for observation
64C4.	10 day examination abnormal - referred
64CZ.	Child 10 day exam. NOS
64D..	Child examination - 6 weeks
64D4.	Child 6 week examination normal
64D5.	6 week examination abnormal - for observation
64D6.	6 week examination abnormal - referred
64D7.	6 week examination abnormal - on treatment
64DZ.	Child 6 week examination NOS
64P..	(Child exam.: development exam) or (motor develop.- child)
6811.	Screening not offered
6886.	Other haemoglobinopathy screening
7F...	Puerperium operations
