14S2.	H/O: kidney recipient
7A600	Insertion of arteriovenous prosthesis
7A602	Attention to arteriovenous shunt
7A603	Removal of infected arteriovenous shunt
7A60y	Other specified arteriovenous shunt
7A60z	Arteriovenous shunt NOS
7A614	Ligation of acquired arteriovenous fistula
7A6E2	Declotting of thigh vein loop
7B00.	Renal transplant
7B001	Live donor renal transplant
7B002	Cadaveric renal transplant
7B00y	Other specified transplantation of kidney
7B00z	Transplantation of kidney NOS
7L1A.	Compensation for renal failure (& dialysis)
7L1A0	(Renal dialysis) or (Thomas intravascular dialysis shunt)
7L1A1	Peritoneal dialysis
7L1A2	Haemodialysis NEC
7L1Ay	Other specified compensation for renal failure
7L1Az	Compensation for renal failure NOS
7L1B.	Chronic ambulatory peritoneal dialysis catheter procedure ++
7L1B0	Insertion of chronic ambulatory peritoneal dialysis catheter
7L1B1	Removal of chronic ambulatory peritoneal dialysis catheter
7L1By	Placement ambulatory apparatus- compensate renal failure OS
7L1Bz	Placement ambulatory apparatus- compensate renal failure NOS
7L1C.	Placement other apparatus for compensation for renal failure
7L1C0	Insertion of temporary peritoneal dialysis catheter
7L1Cy	Placement other apparatus- compensate for renal failure OS
7L1Cz	Placement other apparatus- compensate for renal failure NOS
8877	Ultrafiltration
8882	Intestinal dialysis
G760.	Acquired arteriovenous fistula
TA020	Accid cut,puncture,perf,h'ge - kidney dialysis
TA02z	Accid cut,puncture,perf,h'ge - perfusion NOS
TA22.	Failure of sterile precautions during perfusion
TA220	Failure of sterile precautions during kidney dialysis
TA22y	Failure of sterile precautions during other perfusion
TA22z	Failure of sterile precautions during perfusion NOS
TA420	Mech failure of instrument &/or apparatus during kidney dial
TB11.	Kidney dialysis with complication, without blame
TB11.	Kidney dialysis with complication, without blame
U6122	[X]Failure sterile precautions dur kidney dialys/other perf
Ua1IM	Chronic peritoneal dialysis
Ua1IN	Stab peritoneal dialysis
X018M	Creation of Cimino fistula
X018M	Creation of Cimino fistula
X018N	Creation brachiocephalic fistula
X018T	Angioplasty of arteriovenous fistula
X018U	Thrombolysis of arteriovenous fistula
X018V	Thrombolysis of arteriovenous graft
X018Y	Embolectomy of arteriovenous fistula
X018Z	Embolectomy of arteriovenous graft
X018a	Procedure on intraluminal device of arteriovenous fistula
X018b	Insertion of intraluminal device into arteriovenous fistula
X018c	Insertion of stent into arteriovenous fistula
X018d	Removal of intraluminal device from arteriovenous fistula
X018e	Removal of stent from arteriovenous fistula
X018f	Adjustment of intraluminal device of arteriovenous fistula
X018g	Adjustment of arteriovenous fistula stent
X018j	Banding of arteriovenous fistula
X018n	Exploration of arteriovenous fistula
X018o	Exploration of arteriovenous graft
X01AF	Intermittent haemodialysis
X01AG	Intermittent haemodialysis with sequential ultrafiltration
X01AH	Intermittent haemodialysis with continuous ultrafiltration
X01AI	Continuous haemodialysis
