^ESCT1167245	Aortocoronary artery bypass of four or more coronary arteries with saphenous vein graft
^ESCT1167246	Saphenous vein graft bypass of four or more coronary arteries
^ESCT1167247	Aortocoronary artery bypass of one coronary artery with saphenous vein graft
^ESCT1167248	Saphenous vein graft bypass of one coronary artery
^ESCT1167249	Aortocoronary artery bypass of three coronary arteries with saphenous vein graft
^ESCT1167250	Saphenous vein graft bypass of three coronary arteries
^ESCT1167251	Aortocoronary artery bypass of two coronary arteries with saphenous vein graft
^ESCT1167252	Saphenous vein graft bypass of two coronary arteries
^ESCT1167253	Allograft bypass of four or more coronary arteries
^ESCT1167254	Allograft bypass of one coronary artery
^ESCT1167255	Allograft bypass of three coronary arteries
^ESCT1167256	Allograft bypass of two coronary arteries
^ESCT1190438	Saphenous vein graft replacement of coronary artery OS
^ESCT1190462	Prosthetic replacement of coronary artery
^ESCT1192303	Allograft replacement of coronary artery
^ESCT1245171	Saphenous vein graft bypass of coronary artery
^ESCT1245172	Saphenous vein graft replacement of four or more coronary arteries
^ESCT1245173	Saphenous vein graft replacement of three coronary arteries
^ESCT1245174	Saphenous vein graft replacement of two coronary arteries
^ESCT1268070	History of CABG (coronary artery bypass grafting)
^ESCT1405522	Coronary artery bypass graft with saphenous vein graft
^ESCT1407269	Quadruple coronary artery bypass graft
^ESCTAC255543	ACVG - Aortocoronary vein graft
^ESCTAC255544	ACSVG - Aortocoronary saphenous vein graft
^ESCTAC255546	ACSVBG - Aortocoronary saphenous vein bypass graft
^ESCTAO255541	Aortocoronary artery bypass graft with saphenous vein graft
^ESCTCA255547	CAVG - Coronary artery vein graft
^ESCTCA504009	CABG - Coronary artery bypass graft
^ESCTCA504013	CAG - Coronary artery graft
^ESCTCA504015	CABG x 1 - Coronary artery bypass graft x 1
^ESCTCA504017	CABG x 2 - Coronary artery bypass grafts x 2
^ESCTCA504020	CABG x 3 - Coronary artery bypass grafts x 3
^ESCTCA504022	CABG x 4 - Coronary artery bypass grafts x 4
^ESCTCA504024	CABG x 5 - Coronary artery bypass grafts x 5
^ESCTCA504026	CABG >5 - Coronary artery bypass grafts greater than five
^ESCTCB504010	CBG - Coronary bypass graft
^ESCTCO504011	Coronary artery bypass grafting
^ESCTCO504014	Coronary artery bypass graft x 1
^ESCTCO504016	Coronary artery bypass grafts x 2
^ESCTCO504018	Coronary artery bypass grafts x 3
^ESCTCO504021	Coronary artery bypass grafts x 4
^ESCTCO504023	Coronary artery bypass grafts x 5
^ESCTCO504025	Coronary artery bypass grafts greater than 5
^ESCTCV255542	CVG - Coronary vein graft
^ESCTHI661988	History of coronary artery bypass grafting
^ESCTPA661989	Past history of coronary artery bypass grafting
^ESCTTR504019	Triple coronary bypass
^ESCT1167237	Bypass of four or more coronary arteries with prosthesis
^ESCT1167238	Prosthetic bypass of four or more coronary arteries
^ESCT1167239	Bypass of one coronary artery with prosthesis
^ESCT1167240	Prosthetic bypass of one coronary artery
^ESCT1167241	Bypass of three coronary arteries with prosthesis
^ESCT1167242	Prosthetic bypass of three coronary arteries
^ESCT1167243	Bypass of two coronary arteries with prosthesis
^ESCT1167244	Prosthetic bypass of two coronary arteries
^ESCT1396148	Coronary artery bypass grafting using radial artery graft
^ESCT1396149	Coronary artery bypass grafting using gastroepiploic artery graft
^ESCT1396150	Coronary artery bypass grafting using free right internal thoracic artery graft
^ESCT1396151	Coronary artery bypass graft using free RIMA (right internal mammary artery) graft
^ESCT1396152	Coronary artery bypass grafting using free right internal mammary artery graft
^ESCT1396153	Coronary artery bypass grafting using free left internal thoracic artery graft
^ESCT1396154	Coronary artery bypass graft using free LIMA (left internal mammary artery) graft
^ESCT1396155	Coronary artery bypass graft using free left internal mammary artery graft
^ESCT1396901	Anastomosis of right internal thoracic artery to coronary artery
^ESCT1396902	Anastomosis of RIMA (right internal mammary artery) to coronary artery
^ESCT1396903	Anastomosis of left internal thoracic artery to coronary artery
^ESCT1396904	Anastomosis of LIMA (left internal mammary artery) to coronary artery
^ESCT1396959	Sequential anastomosis of left internal thoracic artery to coronary artery
^ESCT1396960	Sequential anastomosis of LIMA (left internal mammary artery) to coronary artery
^ESCT1396961	Sequential anastomosis of right internal thoracic artery to coronary artery
^ESCT1396962	Sequential anastomosis of RIMA (right internal mammary artery) to coronary artery
^ESCT1396963	Sequential anastomosis of free right internal thoracic artery to coronary artery
^ESCT1396964	Sequential anastomosis of free RIMA (right internal mammary artery) to coronary artery
^ESCT1405621	ACVG - aortocoronary vein graft
^ESCT1405622	CAVG - coronary artery vein graft
^ESCT1405623	CVG - coronary vein graft
^ESCT1406015	Aortocoronary bypass grafting
^ESCT1406546	Creation of bypass from mammary artery to coronary artery
^ESCT1416077	Anastomosis of left internal thoracic artery to left anterior descending coronary artery
^ESCT1416078	Anastomosis of LIMA (left internal mammary artery) to LAD (left anterior descending) coronary artery
^ESCT1416079	Anastomosis of LITA (left internal thoracic artery) to LAD (left anterior descending) coronary artery
^ESCT1416080	Anastomosis of left internal mammary artery to left anterior descending coronary artery
^ESCT1416255	Sequential anastomosis of left internal thoracic artery from second obtuse marginal branch of circumflex coronary artery to left anterior descending coronary artery
^ESCT1416256	Sequential anastomosis of left internal mammary artery from second obtuse marginal branch of circumflex coronary artery to left anterior descending coronary artery
^ESCT1416257	Sequential anastomosis of LIMA (left internal mammary artery) from OM2 (second obtuse marginal) branch of LCX (left circumflex coronary artery) to LAD (left anterior descending) coronary artery
^ESCT1416258	Sequential anastomosis of LITA (left internal thoracic artery) from OM2 (second obtuse marginal) branch of LCX (left circumflex coronary artery) to LAD (left anterior descending) coronary artery
^ESCT1416259	Sequential anastomosis of left internal thoracic artery from first obtuse marginal branch of circumflex coronary artery to left anterior descending coronary artery
^ESCT1416260	Sequential anastomosis of LIMA (left internal mammary artery) from OM1 (first obtuse marginal) branch of LCX (left circumflex coronary artery) to LAD (left anterior descending) coronary artery
^ESCT1416261	Sequential anastomosis of LITA (left internal thoracic artery) from OM1 (first obtuse marginal) branch of LCX (left circumflex coronary artery) to LAD (left anterior descending) coronary artery
^ESCT1416262	Sequential anastomosis of left internal mammary artery from first obtuse marginal branch of circumflex coronary artery to left anterior descending coronary artery
^ESCT1416263	Sequential anastomosis of left internal thoracic artery from ramus intermedius branch of left coronary artery to left anterior descending coronary artery
^ESCT1416264	Sequential anastomosis of LIMA (left internal mammary artery) from RI (ramus intermedius) branch of LCA (left coronary artery) to LAD (left anterior descending) coronary artery
^ESCT1416265	Sequential anastomosis of left internal mammary artery from ramus intermedius branch of left coronary artery to left anterior descending coronary artery
^ESCT1416266	Sequential anastomosis of LITA (left internal thoracic artery) from RI (ramus intermedius) branch of LCA (left coronary artery) to LAD (left anterior descending) coronary artery
^ESCT1416414	Anastomosis of left internal thoracic artery to diagonal branch of anterior descending branch of left coronary artery
