h34..	Methotrexate
h341.	Methotrexate 2.5mg tablet
h342.	Methotrexate 10mg tablet
h343.	Methotrexate 2.5mg/1mL injection solution
h344.	Methotrexate 5mg/2mL injection
h345.	Methotrexate 25mg/1mL injection
h346.	Methotrexate 50mg/2mL injection
h347.	Methotrexate 100mg/4mL injection
h348.	Methotrexate 200mg/8mL injection
h349.	Methotrexate 500mg/20mL injection
h34A.	METHOTREXATE 15mg/1.5mL solution for injection p/f syringe
h34a.	Methotrexate 1g/40mL injection
h34B.	METHOTREXATE 20mg/2mL solution for injection p/f syringe
h34b.	Methotrexate 5g/200mL injection
h34C.	METHOTREXATE 25mg/2.5mL solution for injection p/f syringe
h34c.	Methotrexate 500mg injection (pdr for recon)
h34d.	Emtexate 10mg tablet
h34D.	METOJECT 7.5mg/0.75mL solution for injection p/f syringe
h34e.	Emtexate 5mg/2mL injection solution
h34E.	METOJECT 10mg/1mL solution for injection prefilled syringe
h34f.	Emtexate 50mg/2mL injection solution
h34F.	METOJECT 15mg/1.5mL solution for injection prefilled syringe
h34g.	Emtexate 250mg/10mL injection solution
h34G.	METOJECT 20mg/2mL solution for injection prefilled syringe
h34h.	Emtexate 500mg/20mL injection solution
h34H.	METOJECT 25mg/2.5mL solution for injection prefilled syringe
h34i.	Emtexate 1g/40mL injection solution
h34j.	Emtexate 5g/200mL injection solution
h34k.	Emtexate 1g/10mL injection solution
h34l.	Emtexate 5g/50mL injection solution
h34L.	METOJECT 7.5mg/0.15mL solution for injection pfs
h34m.	Emtexate 0.5g injection (pdr for recon)
h34M.	METHOTREXATE 7.5mg/0.15mL solution for injection pfs
h34n.	Emtexate 1g injection (pdr for recon)
h34N.	METOJECT 10mg/0.2mL solution for injection prefilled syringe
h34o.	Emtexate 5g injection (pdr for recon)
h34O.	METHOTREXATE 10mg/0.2mL solution for injection pfs
h34p.	Maxtrex 2.5mg tablet
h34P.	METOJECT 15mg/0.3mL solution for injection prefilled syringe
h34q.	Maxtrex 10mg tablet
h34Q.	METHOTREXATE 15mg/0.3mL solution for injection pfs
h34r.	Maxtrex 5mg/2mL injection solution
h34R.	METOJECT 20mg/0.4mL solution for injection prefilled syringe
h34s.	Maxtrex 50mg/2mL injection solution
h34S.	METHOTREXATE 20mg/0.4mL solution for injection pfs
h34t.	Maxtrex 500mg/20mL injection solution
h34T.	METOJECT 25mg/0.5mL solution for injection prefilled syringe
h34u.	Maxtrex 1g/40mL injection solution
h34U.	METHOTREXATE 25mg/0.5mL solution for injection pfs
h34v.	Maxtrex 5g/200mL injection solution
h34V.	METOJECT 30mg/0.6mL solution for injection prefilled syringe
h34w.	Methotrexate 1g/10mL injection
h34W.	METHOTREXATE 30mg/0.6mL solution for injection pfs
h34X.	EBETREX 7.5mg/0.75mL soln for injection prefilled syringe
h34x.	Methotrexate 5g/50mL injection
h34Y.	EBETREX 10mg/1mL solution for injection prefilled syringe
h34y.	METHOTREXATE 7.5mg/0.75mL solution for injection p/f syringe
h34Z.	EBETREX 15mg/1.5mL solution for injection prefilled syringe
h34z.	METHOTREXATE 10mg/1mL solution for injection p/f syringe
h3G..%	METHOTREXATE(2)
h3G1.	EBETREX 20mg/1mL solution for injection prefilled syringe
h3G2.	EBETREX 25mg/1.25mL solution for injection prefilled syringe
h3G3.	EBETREX 30mg/1.5mL solution for injection prefilled syringe
h3G4.	METHOTREXATE 20mg/1mL solution for injection p/f syringe
h3G5.	METHOTREXATE 25mg/1.25mL solution for injection p/f syringe
h3G6.	METHOTREXATE 30mg/1.5mL solution for injection p/f syringe
h3G7.	METOJECT 12.5mg/0.25mL soln for injection prefilled syringe
h3G8.	METHOTREXATE 12.5mg/0.25mL solution for injection pfs
h3G9.	METOJECT 17.5mg/0.35mL soln for injection prefilled syringe
h3GA.	METHOTREXATE 17.5mg/0.35mL solution for injection pfs
h3GB.	METOJECT 22.5mg/0.45mL soln for injection prefilled syringe
h3GC.	METHOTREXATE 22.5mg/0.45mL solution for injection pfs
h3GD.	METOJECT 27.5mg/0.55mL soln for injection prefilled syringe
h3GE.	METHOTREXATE 27.5mg/0.55mL solution for injection pfs
h3GF.	METOJECT PEN 7.5mg/0.15mL soln for injection prefilled pen
h3GG.	METHOTREXATE 7.5mg/0.15mL soln for injection prefilled pen
h3GH.	METOJECT PEN 10mg/0.2mL solution for injection prefilled pen
h3GI.	METHOTREXATE 10mg/0.2mL solution for injection prefilled pen
h3GJ.	METOJECT PEN 12.5mg/0.25mL soln for injection prefilled pen
h3GK.	METHOTREXATE 12.5mg/0.25mL soln for injection prefilled pen
h3GL.	METOJECT PEN 15mg/0.3mL solution for injection prefilled pen
h3GM.	METHOTREXATE 15mg/0.3mL solution for injection prefilled pen
h3GN.	METOJECT PEN 17.5mg/0.35mL soln for injection prefilled pen
h3GO.	METHOTREXATE 17.5mg/0.35mL soln for injection prefilled pen
h3GP.	METOJECT PEN 20mg/0.4mL solution for injection prefilled pen
h3GQ.	METHOTREXATE 20mg/0.4mL solution for injection prefilled pen
h3GR.	METOJECT PEN 22.5mg/0.45mL soln for injection prefilled pen
h3GS.	METHOTREXATE 22.5mg/0.45mL soln for injection prefilled pen
h3GT.	METOJECT PEN 25mg/0.5mL solution for injection prefilled pen
h3GU.	METHOTREXATE 25mg/0.5mL solution for injection prefilled pen
h3GV.	METOJECT PEN 27.5mg/0.55mL soln for injection prefilled pen
h3GW.	METHOTREXATE 27.5mg/0.55mL soln for injection prefilled pen
h3GX.	METOJECT PEN 30mg/0.6mL solution for injection prefilled pen
h3GY.	METHOTREXATE 30mg/0.6mL solution for injection prefilled pen
h3GZ.	METHOTREXATE 2mg/mL oral solution
x00Oq	Methotrexate 375mg/30mL infusion
x00Or	Methotrexate 750mg/60mL infusion
