XE0RK	Acute hepatitis B
X306c	Acute hepatitis B with hepatitis D
A7020	Acute hepatitis B with delta agent (coinfection) with hepatic coma
A7030	Acute hepatitis B with delta-agent (coinfection) without hepatic coma
X306d	Hepatitis D superinfection of hepatitis B carrier
A702.	Viral hepatitis B with coma
X306i	Chronic viral hepatitis B
A7071	Chronic viral hepatitis B without delta-agent
X306n	Hepatitis B carrier
X306j	Chronic viral hepatitis B with delta-agent
A703.	Viral serum hepatitis B
XE0TY	Serum hepatitis
XaG1R	[V]Hepatitis B carrier
