a411.	Atropine sulphate 600micrograms tablet
a453.	Merbentyl 10mg tablet
a454.	Merbentyl 10mg/5mL syrup
a455.	Merbentyl 20mg tablet
a45x.	Dicyclomine hydrochloride 20mg tablet
a45x.	Dicycloverine hydrochloride 20mg tablet
a45y.	Dicyclomine hydrochloride 10mg tablet
a45y.	Dicycloverine hydrochloride 10mg tablet
a45z.	Dicyclomine hydrochloride 10mg/5mL oral liquid
a45z.	Dicycloverine hydrochloride 10mg/5mL oral liquid
a4c1.	Propantheline bromide 15mg tablet
a4c2.	Pro-Banthine 15mg tablet
bb2C.	Atropine sulphate 1mg/5mL prefilled syringe
c843.	Piriton 4mg tablet
c845.	Piriton 2mg/5mL syrup
c84z.	Chlorphenamine maleate 10mg/1mL injection
c84z.	Chlorpheniramine maleate 10mg/1mL injection
c861.	Periactin 4mg tablet
c86y.	Cyproheptadine hydrochloride 4mg tablet
c883.	Diphenhydramine hydrochloride 25mg tablet
c886.	Nytol One-A-Night 50mg tablet
c887.	Diphenhydramine hydrochloride 50mg tablet
c8i1.	Phenergan 10mg tablet
c8i2.	Phenergan 25mg tablet
c8i3.	Phenergan 5mg/5mL elixir
c8i4.	Phenergan 25mg/1mL injection
c8i6.	Phenergan Nightime 25mg tablet
c8iv.	Promethazine hydrochloride 10mg tablet
c8iw.	Promethazine hydrochloride 25mg tablet
c8k1.	Vallergan 10mg tablet
c8k2.	Vallergan 7.5mg/5mL syrup
c8k3.	Vallergan Forte 30mg/5mL syrup
c8kx.	Alimemazine tartrate 10mg tablet
c8kx.	Trimeprazine tartrate 10mg tablet
c8kz.	Alimemazine tartrate 30mg/5mL syrup
c8kz.	Trimeprazine tartrate 30mg/5mL syrup
d411.	Chlorpromazine hydrochloride 10mg tablet
d412.	Chlorpromazine hydrochloride 25mg tablet
d413.	Chlorpromazine hydrochloride 50mg tablet
d414.	Chlorpromazine hydrochloride 100mg tablet
d41a.	Largactil 10mg tablet
d41b.	Largactil 25mg tablet
d41c.	Largactil 50mg tablet
d41d.	Largactil 100mg tablet
d41e.	Largactil 25mg/5mL syrup
d41g.	Largactil 25mg/1mL injection
d483.	Nozinan 25mg tablet
d48z.	Levomepromazine maleate 25mg tablet
d48z.	Methotrimeprazine maleate 25mg tablet
d4cx.	Pimozide 2mg tablet
d4cy.	Pimozide 4mg tablet
d4e4.	Promazine hydrochloride 25mg tablet
d4e5.	Promazine hydrochloride 50mg tablet
d4h1.	Stelazine 1mg tablet
d4h2.	Stelazine 5mg tablet
d4h3.	Stelazine 2mg Spansule
d4h4.	Stelazine 10mg Spansule
d4h5.	Stelazine 15mg Spansule
d4h6.	Stelazine 1mg/5mL syrup
d4l1.	Clozapine 25mg tablet
d4l2.	Clozapine 100mg tablet
d4lE.	CLOZAPINE 50mg tablets
d4r1.	Olanzapine 5mg tablet
d4r2.	Olanzapine 7.5mg tablet
d4r3.	Olanzapine 10mg tablet
d4r4.	Zyprexa 5mg tablet
d4r5.	Zyprexa 7.5mg tablet
d4r6.	Zyprexa 10mg tablet
d4r7.	Olanzapine 2.5mg tablet
d4r8.	Zyprexa 2.5mg tablet
d4r9.	Zyprexa Velotab 5mg dispersible tablet
d4rA.	Zyprexa Velotab 10mg dispersible tablet
d4rB.	Zyprexa 15mg tablet
d4rC.	Zyprexa Velotab 15mg dispersible tablet
d4rD.	Zyprexa 10mg injection (pdr for recon)
d4ru.	Olanzapine 20mg dispersible tablet
d4rw.	Olanzapine 15mg dispersible tablet
d4rx.	Olanzapine 15mg tablet
d4ry.	Olanzapine 5mg dispersible tablet
d4rz.	Olanzapine 10mg dispersible tablet
d4s1.	Quetiapine 25mg tablet
d4s2.	Quetiapine 100mg tablet
d4s3.	Quetiapine 200mg tablet
d4s5.	Seroquel 25mg tablet
d4s6.	Seroquel 100mg tablet
d4s7.	Seroquel 200mg tablet
d4s9.	Seroquel 150mg tablet
d4sk.	MINTRELEQ XL 400mg m/r tablets
d4sS.	EBESQUE XL 50mg m/r tablets
d4st.	QUETIAPINE 400mg m/r tablets
d4su.	QUETIAPINE 300mg m/r tablets
