^ESCT1169291	Endocarditis of neoaortic valve
^ESCT1169292	Endocarditis of neopulmonary valve
^ESCT1299059	Myocarditis caused by 2019-nCoV (novel coronavirus)
^ESCT1299060	Myocarditis caused by Wuhan 2019-nCoV (novel coronavirus)
^ESCT1299061	Myocarditis caused by 2019 novel coronavirus
^ESCT1301225	Myocarditis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
^ESCT1348382	Myocarditis due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
^ESCT1348383	Myocarditis due to disease caused by 2019 novel coronavirus
^ESCT1348384	Myocarditis due to COVID-19
^ESCT1348385	Myocarditis due to disease caused by Severe acute respiratory syndrome coronavirus 2
^ESCT1348386	Myocarditis due to disease caused by 2019-nCoV (novel coronavirus)
^ESCT1348401	Myocarditis caused by 2019-nCoV (novel coronavirus)
^ESCT1387350	Myocarditis due to Influenza A virus
^ESCT1387351	Myocarditis caused by Influenza A virus
^ESCT1390961	Acute viral carditis
^ESCT1390994	Chronic viral carditis
^ESCT1393764	Subacute endocarditis of right side of heart due to infection
^ESCT1393765	Right sided subacute infective endocarditis
^ESCT1393819	Acute endocarditis of right side of heart due to infection
^ESCT1393820	Right sided acute infective endocarditis
^ESCT1396398	Myocarditis due to childhood type dermatomyositis
^ESCT1396399	Juvenile dermatomyositis with myocarditis
^ESCT1397092	Myocarditis due to Chaga disease
^ESCT1397093	Chaga disease with myocarditis
^ESCT1397160	Myocarditis due to autoimmune disease
^ESCT1397161	Myocarditis in autoimmune disease
^ESCT1413357	Myocarditis due to Kawasaki disease
^ESCT1416586	Gonococcal myocarditis
^ESCT1416587	Myocarditis caused by Neisseria gonorrhoeae
^ESCTAC267787	Acute myopericarditis
^ESCTAC274865	Active rheumatic fever with pericarditis
^ESCTAC274866	Acute rheumatic fever with pericarditis
^ESCTAC278905	Active rheumatic fever with endocarditis
^ESCTAC278906	Acute rheumatic fever with endocarditis
^ESCTAC298835	Acute myoendocarditis
^ESCTAC337360	Acute endopericarditis
^ESCTAC477550	Acute rheumatic fever with myocarditis
^ESCTAC477551	Active rheumatic fever with myocarditis
^ESCTAC477637	Acute pericarditis caused by human coxsackievirus
^ESCTAC477638	Acute meningococcal pericarditis
^ESCTAC477647	Acute pneumococcal pericarditis
^ESCTAC477649	Acute streptococcal pericarditis
^ESCTAC572121	Acute/subacute carditis
^ESCTAC601856	Acute rheumatic carditis
^ESCTAC695333	Acute endocarditis associated with AIDS
^ESCTAC695335	Acute endocarditis associated with acquired immunodeficiency syndrome
^ESCTAC739279	Acute infective endocarditis
^ESCTAC739280	Acute infectious endocarditis
^ESCTAC770506	Acute endocarditis co-occurrent with human immunodeficiency virus infection
^ESCTAD356865	Adenoviral myocarditis
^ESCTAI695334	AIDS-associated acute endocarditis
^ESCTAM474405	American histoplasmosis with endocarditis
^ESCTAS739576	Aspergillosis myocarditis
^ESCTAT337708	Atypical verrucal endocarditis
^ESCTAT337709	Atypical verrucous endocarditis
^ESCTBE589016	BE - Bacterial endocarditis
^ESCTBO739723	Borrelia myocarditis
^ESCTCA662565	Carditis
^ESCTCA739573	Candidal myocarditis
^ESCTCH257637	Chronic endocarditis
^ESCTCH322744	Chronic interstitial myocarditis
^ESCTCH324572	Chronic rheumatic endocarditis
^ESCTCH324573	Chronic rheumatic heart disease with endocarditis
^ESCTCH349125	Chronic rheumatic heart disease with myocarditis
^ESCTCH349126	Chronic rheumatic myocarditis
^ESCTCH392454	Chronic rheumatic carditis
^ESCTCH739717	Chlamydial endocarditis
^ESCTCO684912	Coxsackie myocarditis of newborn
^ESCTCU505660	Culture-negative endocarditis
^ESCTEC739579	Echovirus myocarditis
^ESCTEN351962	Endocarditis with infective aneurysm
^ESCTEN369944	Endocarditis lenta
^ESCTEN477707	Endocarditis associated with another disorder
^ESCTEN739716	Endocarditis due to Genus Chlamydia
^ESCTEN739718	Endocarditis caused by Genus Chlamydia
^ESCTEN747816	Endocarditis as complication of procedure
^ESCTEN757182	Endocarditis of prosthetic mitral valve
^ESCTEN757194	Endocarditis of prosthetic aortic valve
^ESCTEN757195	Endocarditis of prosthetic tricuspid valve
^ESCTEN757196	Endocarditis of prosthetic pulmonary valve
^ESCTEN781047	Endocarditis caused by Erysipelothrix rhusiopathiae
^ESCTEN802262	Endocarditis due to systemic lupus erythematosus
^ESCTEO707291	Eosinophilic myocarditis
^ESCTER781048	Erysipelothrix rhusiopathiae endocarditis
^ESCTFE747641	Fetal myocarditis
^ESCTFI250650	Fibroid myocarditis
^ESCTFI397929	Fiedler's myocarditis
^ESCTFO747640	Foetal myocarditis
^ESCTFU390405	Fungal endocarditis
^ESCTFU505678	Fungal myocarditis
^ESCTGI348786	Giant cell myocarditis
^ESCTHI474407	Histoplasmosis endocarditis
^ESCTID397928	Idiopathic myocarditis
^ESCTIE505658	IE - Infective endocarditis
^ESCTIN286102	Infective myocarditis
^ESCTIN311072	Interstitial myocarditis
^ESCTIN505657	Infective endocarditis
^ESCTIN739282	Infective endocarditis of homograft
^ESCTIN739283	Infectious endocarditis of homograft
^ESCTIN739284	Infective endocarditis of heterograft
^ESCTIN739285	Infectious endocarditis of heterograft
^ESCTIN739286	Infective endocarditis of right ventricular wall
^ESCTIN739287	Infectious endocarditis of right ventricular wall
^ESCTIN739288	Infective endocarditis of left ventricular wall
^ESCTIN739289	Infectious endocarditis of left ventricular wall
^ESCTIN739296	Infective endocarditis of cardiac valve
^ESCTIN739297	Infectious endocarditis of cardiac valve
^ESCTIN739298	Infective endocarditis of aortic valve
^ESCTIN739299	Infectious endocarditis of aortic valve
^ESCTIN739512	Infective endocarditis of tricuspid valve
^ESCTIN739513	Infectious endocarditis of tricuspid valve
^ESCTIN739514	Infective endocarditis of mitral valve
^ESCTIN739515	Infectious endocarditis of mitral valve
^ESCTIN739516	Infective endocarditis of pulmonary valve
^ESCTIN739517	Infectious endocarditis of pulmonary valve
^ESCTIN739518	Infective endocarditis of truncal valve
^ESCTIN739519	Infectious endocarditis of truncal valve
^ESCTIN739523	Infective endocarditis of left atrioventricular (not morphologically mitral) valve
