X40J5	Type II diabetes mellitus
XaIIj	Diabetic retinopathy screening
XaIyt	Diabetic peripheral neuropathy screening
F4200	Background diabetic retinopathy
F420.	Diabetic retinopathy
XaJLa	Diabetic retinopathy 12 month review
XaMFF	Referral for diabetic retinopathy screening
XaIP5	Non proliferative diabetic retinopathy
XaE5T	Mild non proliferative diabetic retinopathy
XaJOj	O/E - left eye preproliferative diabetic retinopathy
XaJOi	O/E - right eye preproliferative diabetic retinopathy
XaIeK	O/E - Left diabetic foot - ulcerated
M2710	Ischaemic ulcer diabetic foot
XaJOk	O/E - right eye proliferative diabetic retinopathy
XaJLb	Diabetic retinopathy 6 month review
C101.	Diabetic ketoacidosis
C1097	Type II diabetes mellitus - poor control
XaELQ	Type II diabetes mellitus without complication
C106.	Diab mell + neuro manif: (& [amyotroph][neurop][polyneurop])
XE10I	Diabetes mellitus with peripheral circulatory disorder
C1090	Type II diabetes mellitus with renal complications
XaIzR	Type II diabetes mellitus with persistent microalbuminuria
XE10H	Diabetes mellitus with neurological manifestation
XaXZR	H/O: diabetes mellitus type 2
F3721	Chronic painful diabetic neuropathy
XaF05	Type II diabetes mellitus with nephropathy
XaIzQ	Type II diabetes mellitus with persistent proteinuria
F4640	Diabetic cataract
C105.	Diabetes mellitus with ophthalmic manifestation
C1088	Type I diabetes mellitus - poor control
C101z	Diabetes mellitus NOS with ketoacidosis
C100.	Diabetes mellitus with no mention of complication
XaE5U	Moderate non proliferative diabetic retinopathy
F3722	Asymptomatic diabetic neuropathy
XaE5c	Diabetic macular oedema
F1711	Diabetic autonomic neuropathy
XaE5V	Severe non proliferative diabetic retinopathy
XE10G	Diabetes mellitus with renal manifestation
F3720	Acute painful diabetic neuropathy
F372.	Diabetic neuropathy &/or diabetic polyneuropathy
C104.	Diabetes mellitus: [with renal manifestatn] or [nephropathy]
C1093	Type II diabetes mellitus with multiple complications
XE15k	Diabetic polyneuropathy
C1096	Type II diabetes mellitus with retinopathy
C1091	Type II diabetes mellitus with ophthalmic complications
C1089	Type I diabetes mellitus maturity onset
XaIzM	Type 1 diabetes mellitus with persistent proteinuria
C1010	Type 1 diabetes mellitus with ketoacidosis
XaFn7	Type II diabetes mellitus with peripheral angiopathy
XaELP	Type I diabetes mellitus without complication
C1092	Type II diabetes mellitus with neurological complications
XaXbW	Symptomatic diabetic peripheral neuropathy
C1080	Type I diabetes mellitus with renal complications
