H06z011	Chest infection
H05z.00	Upper respiratory infection NOS
A72..00	Mumps
H03..00	Acute tonsillitis
H040.00	Acute laryngitis
A52..00	Chickenpox - varicella
K190z00	Urinary tract infection, site not specified NOS
H302.00	Wheezy bronchitis
K240.00	Orchitis
M038.00	Cellulitis of external ear
H01..11	Sinusitis
A75..11	Glandular fever
F52z.00	Otitis media NOS
A98z.11	Gonorrhoea
H06z111	Respiratory tract infection
A55..00	Measles
M03z.00	Cellulitis and abscess NOS
H02..13	Throat infection - pharyngitis
H060.00	Acute bronchitis
J511.00	Diverticulitis
H00..11	Common cold
F540.00	Acute myringitis without otitis media
K15..00	Cystitis
A53..00	Herpes zoster
H02z.00	Acute pharyngitis NOS
A360.00	Meningococcal meningitis
A341.11	Scarlet fever
A56..11	German measles
K310.13	Mastitis
J650.00	Acute cholecystitis
A53..11	Shingles
A54..00	Herpes simplex
H27..00	Influenza
K242.00	Epididymo-orchitis
H26..00	Pneumonia due to unspecified organism
K400300	Acute salpingitis
L124.12	Toxaemia NOS
A11..00	Pulmonary tuberculosis
K420100	Endocervicitis unspecified
M036z00	Cellulitis and abscess of leg NOS
A020.12	Salmonella food poisoning
A32..00	Diphtheria
A33..00	Whooping cough
G0...00	Acute rheumatic fever
A84..00	Malaria
H120.00	Chronic rhinitis
H120100	Chronic catarrhal rhinitis
A38..00	Septicaemia
H25..00	Bronchopneumonia due to unspecified organism
A02..00	Other salmonella infections
H043z00	Acute epiglottitis NOS
H02..00	Acute pharyngitis
H00..14	Nasal catarrh - acute
J633.00	Hepatitis unspecified
H15..11	Quinsy
A56..00	Rubella
J650.12	Empyema of gallbladder
A3...00	Other bacterial diseases
A541.00	Genital herpes simplex
H51..00	Pleurisy
H01..00	Acute sinusitis
H061.00	Acute bronchiolitis
F286.15	Myalgic encephalomyelitis
A79z.00	Viral infection NOS
K21z.00	Prostatitis NOS
F563500	Viral labyrinthitis
K318.00	Breast abscess
A544.00	Ophthalmic herpes simplex
K40z.12	Female pelvic infection
K10y100	Pyelitis unspecified
AC0..00	Schistosomiasis - bilharziasis
J552600	Retroperitoneal abscess
F528.00	Acute bilateral otitis media
H044.00	Croup
A35..00	Erysipelas
A074300	Campylobacter gastrointestinal tract infection
H00..12	Coryza - acute
H041.00	Acute tracheitis
H042.11	Laryngotracheitis
N010.11	Pyogenic arthritis, unspecified
K190.00	Urinary tract infection, site not specified
K420000	Cervicitis unspecified
M081.00	[X]Cellulitis of other parts of limb
K155.00	Recurrent cystitis
H060w00	Acute viral bronchitis unspecified
M034.11	Cellulitis and abscess of hand
A3B1.00	Staphylococcal infection
A701.11	Infective hepatitis
J632000	Hepatitis in malaria
F52z.11	Infection ear
J552C12	Psoas abscess
R107.00	[D]Unspecified viraemia
K190.11	Recurrent urinary tract infection
K402600	Salpingitis unspecified
H231.00	Pneumonia due to mycoplasma pneumoniae
A54z.11	Herpes labialis
A362.00	Meningococcal septicaemia
A36..00	Meningococcal infection
K241.00	Epididymitis
H037.00	Recurrent acute tonsillitis
J614.00	Chronic hepatitis
J614200	Chronic aggressive hepatitis
K41z000	Endometritis unspecified
A52..11	Chickenpox
A340.00	Streptococcal sore throat
M033100	Cellulitis and abscess of axilla
K10..00	Infections of kidney
