^ESCT1177677	Mononucleosis syndrome
^ESCT1177799	Bronchiolitis obliterans organizing pneumonia
^ESCT1177801	BOOP - Bronchiolitis obliterans organising pneumonia
^ESCT1177802	Bronchiolitis obliterans with usual interstitial pneumonitis
^ESCT1177803	BOOP - Bronchiolitis obliterans organizing pneumonia
^ESCT1179006	Bursitis caused by Neisseria gonorrhoeae
^ESCT1181250	Candida cystitis
^ESCT1181251	Cystitis caused by Candida
^ESCT1182611	Dermatitis exfoliativa neonatorum
^ESCT1185119	Perforation and abscess co-occurrent and due to diverticular disease of both small and large intestine
^ESCT1185120	Perforation and abscess with diverticular disease of small and large intestine
^ESCT1187644	Abscess of colon co-occurrent and due to diverticular disease of colon
^ESCT1187645	Abscess with diverticular disease of colon
^ESCT1190240	Arbovirus hemorrhagic fever
^ESCT1190324	Toxemia of pregnancy
^ESCT1190584	Bacteremia
^ESCT1191544	[X]Encephalitis,myelitis+encephalomyelitis/viral disease CE
^ESCT1191722	Infection of cesarean section AND/OR perineal wound
^ESCT1192005	[X]Other specified puerperal infection
^ESCT1192261	[X]Viral infection, unspecified
^ESCT1192364	Chronic gonorrhea of upper genitourinary tract
^ESCT1192610	Major puerperal infection
^ESCT1192947	Infection due to Panton-Valentine leukocidin producing Staphylococcus aureus
^ESCT1193099	Westley Croup Score
^ESCT1198969	HIV disease resulting in mycobacterial infection
^ESCT1205537	Nabothian cyst of cervix
^ESCT1205538	Naboth follicles
^ESCT1217236	Arthritis co-occurrent and due to rubella
^ESCT1221867	Encephalomyelitis co-occurrent and due to rubella
^ESCT1222081	Pneumonia co-occurrent and due to measles
^ESCT1222087	Chronic metritis
^ESCT1233448	Gastrointestinal infection caused by Klebsiella aerogenes
^ESCT1233449	Gastrointestinal infection due to Klebsiella aerogenes
^ESCT1245125	Suspected UTI
^ESCT1245674	[V]Asymptomatic human immunodeficiency virus infection status
^ESCT1247724	[X]Other diseases of the upper respiratory tract
^ESCT1248065	[X]Special screening examination for other bacterial diseases
^ESCT1248069	[X]Suppurative and necrotic conditions of the lower respiratory tract
^ESCT1248540	Female pelvic inflammatory diseases NOS
^ESCT1270410	Gastrointestinal infection due to Klebsiella mobilis
^ESCT1270436	Viral disease characterized by exanthem
^ESCT1270533	Sepsis due to Salmonella
^ESCT1271689	Tuberculous encephalitis or myelitis
^ESCT1271690	Other diseases of conjunctiva due to viruses and chlamydiae NEC
^ESCT1271705	Tracheopharyngitis
^ESCT1271706	Acute bronchitis and/or bronchiolitis
^ESCT1271718	Endometritis following abortive pregnancy
^ESCT1272014	Pyogenic arthritis of the forearm
^ESCT1272015	Pyogenic arthritis of the lower leg
^ESCT1275820	Pharyngotracheitis
^ESCT1275847	Septic arthritis of lower leg
^ESCT1303160	Croup
^ESCT1376682	Gramme-positive septic shock
^ESCT1376992	Primate erythroparvovirus 1 infection
^ESCT1377839	Chlamydia psittaci infection
^ESCT1377849	Septic enteritis
^ESCT1378981	Clostridioides difficile infection
^ESCT1378982	Clostridioides difficile gastrointestinal tract infection
^ESCT1378984	Timorian filariasis
^ESCT1378985	Hepatitis caused by Toxoplasma
^ESCT1387119	Symptomatic HIV (human immunodeficiency virus) infection
^ESCT1405525	Listeria monocytogenes infection
^ESCT1405642	Lassa haemorrhagic fever
^ESCT1405851	Air-conditioner and humidifier lung
^ESCT1407102	Hepatic coma due to acute hepatitis B with delta agent
^ESCT1407103	Hepatic coma due to viral hepatitis C
^ESCT1407139	COPD (chronic obstructive pulmonary disease) with acute lower respiratory infection
^ESCT1407142	Inflammation of testis and epididymis
