CTV3ID	Description
1B75.	Loss of vision
2B69.	O/E -R-eye counts fingers only
2B6A.	O/E - blind R-eye
2B6B.	O/E - blind R-eye
2B79.	O/E -L-eye counts fingers only
2B7A.	O/E-L-eye perceives light only
2B7B.	O/E - blind L-eye
6688.	Registered partially blind
6689.	Registered severely sight impaired
668B.	Poor visual acuity
8F61.	Blind rehabilitation
8F62.	Guide dog training
F427J	Congenital retinal blindness
F4811	Sudden visual loss
F49..	Blindness and low vis.
F490.	Blindness - both eyes
F4900	Unspecified blindness both eyes
F4901	Both eyes total visual impairment
F4902	Better eye: near total visual impairment, Lesser eye: unspecified
F4903	Better eye: near total visual impairment, Lesser eye: total visual impairment
F4904	Better eye: near total visual impairment, Lesser eye: near total visual impairment
F4905	Better eye: profound visual impairment, Lesser eye: unspecified
F4906	Better eye: profound visual impairment, Lesser eye: total visual impairment
F4907	Better eye: profound visual impairment, Lesser eye: near total visual impairment
F4908	Better eye: profound visual impairment, Lesser eye: profound visual impairment
F490z	Blindness both eyes NOS
F491.	Better eye: low vision, Lesser eye: profound visual impairment
F4910	One eye blind, one eye low vision
F4911	Better eye: severe visual impairment, Lesser eye: blind, unspecified
F4912	Better eye: severe visual impairment, Lesser eye: total visual impairment
F4913	Better eye: severe visual impairment, Lesser eye: near total visual impairment
F4914	Better eye: severe visual impairment, Lesser eye: profound visual impairment
F4915	Better eye: moderate visual impairment, Lesser eye: blind, unspecified
F4916	Better eye: moderate visual impairment, Lesser eye: total visual impairment
F4917	Better eye: moderate visual impairment, Lesser eye: near total visual impairment
F4918	Better eye: moderate visual impairment, Lesser eye: profound visual impairment
F491z	One eye blind, one eye low vision NOS
F492.	Low vision, both eyes
F4920	Low vision, both eyes unspecified
F4921	Better eye: severe visual impairment, Lesser eye: low vision unspecified
F4922	Better eye: severe visual impairment, Lesser eye: severe visual impairment
F4923	Better eye: moderate visual impairment, Lesser eye: low vision unspecified
F4924	Better eye: moderate visual impairment, Lesser eye: severe visual impairment
F4925	Better eye: moderate visual impairment, Lesser eye: moderate visual impairment
F492z	Low vision, both eyes NOS
F493.	Visual loss, both eyes unqualified
F494.	Legal blindness USA
F495.	Profound impairment, one eye
F4950	Blindness, one eye, unspecified
F4951	Lesser eye: total visual impairment, Better eye: unspecified
F4952	Lesser eye: total visual impairment, Better eye: near normal vision
F4953	Lesser eye: total visual impairment, Better eye: normal vision
F4954	Lesser eye: near total visual impairment, Better eye: unspecified
F4955	Lesser eye: near total visual impairment, Better eye: near normal vision
F4956	Lesser eye: near total visual impairment, Better eye: normal vision
F4957	Lesser eye: profound visual impairment, Better eye: unspecified
F4958	Lesser eye: profound visual impairment, Better eye: near normal vision
F4959	Lesser eye: profound visual impairment, Better eye: normal vision
F495z	Profound impairment one eye NOS
F496.	Low vision, one eye
F4960	Low vision, one eye, unspecified
F4961	Lesser eye: severe visual impairment, Better eye: unspecified
F4962	Lesser eye: severe visual impairment, Better eye: near normal vision
F4963	Lesser eye: severe visual impairment, Better eye: normal vision
F4964	Lesser eye: moderate visual impairment, Better eye: unspecified
