medcode	readcode	Description	CodingSystem
240	G3...00	Ischaemic heart disease	readcode
241	G30..00	Acute myocardial infarction	readcode
732	7928z00	Transluminal balloon angioplasty of coronary artery NOS	OXMIS
737	792..11	Coronary artery bypass graft operations	OXMIS
1204	G30..14	Heart attack	readcode
1344	G340.12	Coronary artery disease	readcode
1414	G33z300	Angina on effort	readcode
1430	G33..00	Angina pectoris	readcode
1431	G311.13	Unstable angina	readcode
1655	G340.11	Triple vessel disease of the heart	readcode
1676	G3z..00	Ischaemic heart disease NOS	readcode
1677	G30..15	MI - acute myocardial infarction	readcode
1678	G308.00	Inferior myocardial infarction NOS	readcode
1792	G3...13	IHD - Ischaemic heart disease	readcode
2155	G341000	Ventricular cardiac aneurysm	readcode
2491	G30..12	Coronary thrombosis	readcode
2901	7928	Transluminal balloon angioplasty of coronary artery	OXMIS
3159	792Dy00	Other specified other bypass of coronary artery	OXMIS
3704	G307.00	Acute subendocardial infarction	readcode
3999	G340000	Single coronary vessel disease	readcode
4017	G32..00	Old myocardial infarction	readcode
4656	G311.11	Crescendo angina	readcode
5030	ZV45K00	[V]Presence of coronary artery bypass graft	OXMIS
5254	G340100	Double coronary vessel disease	readcode
5387	G301.00	Other specified anterior myocardial infarction	readcode
5413	G340.00	Coronary atherosclerosis	readcode
5674	ZV45K11	[V]Presence of coronary artery bypass graft - CABG	OXMIS
5703	7928.11	Percutaneous balloon coronary angioplasty	OXMIS
5744	7927500	Open angioplasty of coronary artery	OXMIS
5904	792..00	Coronary artery operations	OXMIS
6182	7929y00	Other therapeutic transluminal op on coronary artery OS	OXMIS
6331	G341.00	Aneurysm of heart	readcode
6336	14A5.00	H/O: angina pectoris	readcode
6980	ZV45L00	[V]Status following coronary angioplasty NOS	OXMIS
7134	7921.11	Other autograft bypass of coronary artery	OXMIS
7137	7920y00	Saphenous vein graft replacement of coronary artery OS	OXMIS
7320	G343.00	Ischaemic cardiomyopathy	readcode
7347	G311100	Unstable angina	readcode
7442	7920200	Saphenous vein graft replacement of three coronary arteries	OXMIS
7609	7921z00	Other autograft replacement of coronary artery NOS	OXMIS
7634	7920100	Saphenous vein graft replacement of two coronary arteries	OXMIS
7696	G33z200	Syncope anginosa	readcode
8312	7920.11	Saphenous vein graft bypass of coronary artery	OXMIS
8568	G37..00	Cardiac syndrome X	readcode
8679	7920000	Saphenous vein graft replacement of one coronary artery	OXMIS
8935	G302.00	Acute inferolateral infarction	readcode
8942	7929400	Insertion of coronary artery stent	OXMIS
9276	G31y000	Acute coronary insufficiency	readcode
9413	G31y.00	Other acute and subacute ischaemic heart disease	readcode
9414	7921	Other autograft replacement of coronary artery	OXMIS
9507	G307000	Acute non-Q wave infarction	readcode
9555	G33z500	Post infarct angina	readcode
10209	7921200	Autograft replacement of three coronary arteries NEC	OXMIS
10562	G307100	Acute non-ST segment elevation myocardial infarction	readcode
10603	792z.00	Coronary artery operations NOS	OXMIS
11048	G331.11	Variant angina pectoris	readcode
11610	7920300	Saphenous vein graft replacement of four+ coronary arteries	OXMIS
11983	G311500	Acute coronary syndrome	readcode
12139	G300.00	Acute anterolateral infarction	readcode
12229	G30X000	Acute ST segment elevation myocardial infarction	readcode
12734	SP07600	Coronary artery bypass graft occlusion	readcode
12804	G33z700	Stable angina	readcode
12986	G331.00	Prinzmetal's angina	readcode
13566	G30..11	Attack - heart	readcode
13571	G30..16	Thrombosis - coronary	readcode
14658	G30z.00	Acute myocardial infarction NOS	readcode
14897	G301z00	Anterior myocardial infarction NOS	readcode
14898	G305.00	Lateral myocardial infarction NOS	readcode
15661	G310.11	Dressler's syndrome	readcode
15754	G34z.00	Other chronic ischaemic heart disease NOS	readcode
16408	G32..11	Healed myocardial infarction	readcode
17133	G30A.00	Mural thrombosis	readcode
17307	G311200	Angina at rest	readcode
17464	G32..12	Personal history of myocardial infarction	readcode
17689	G30..17	Silent myocardial infarction	readcode
17872	G301100	Acute anteroseptal infarction	readcode
18118	G311400	Worsening angina	readcode
18125	G330000	Nocturnal angina	readcode
18249	7920	Saphenous vein graft replacement of coronary artery	OXMIS
18643	ZV45800	[V]Presence of coronary angioplasty implant and graft	OXMIS
18670	7928000	Percut transluminal balloon angioplasty one coronary artery	OXMIS
18842	G35..00	Subsequent myocardial infarction	readcode
18889	G34z000	Asymptomatic coronary heart disease	readcode
18913	ZV45700	[V]Presence of aortocoronary bypass graft	OXMIS
19046	7929300	Rotary blade coronary angioplasty	OXMIS
19193	7923z00	Prosthetic replacement of coronary artery NOS	OXMIS
19402	7923	Prosthetic replacement of coronary artery	OXMIS
19413	7921100	Autograft replacement of two coronary arteries NEC	OXMIS
19655	G311.14	Angina at rest	readcode
20095	G330.00	Angina decubitus	readcode
20903	7A6G100	Peroperative angioplasty	OXMIS
21844	G31y300	Transient myocardial ischaemia	readcode
22020	792B000	Endarterectomy of coronary artery NEC	OXMIS
22383	G3y..00	Other specified ischaemic heart disease	readcode
22647	7925311	LIMA single anastomosis	OXMIS
22828	7929000	Percutaneous transluminal laser coronary angioplasty	OXMIS
23078	G34y100	Chronic myocardial ischaemia	readcode
23579	G310.00	Postmyocardial infarction syndrome	readcode
23708	G361.00	Atrial septal defect/curr comp folow acut myocardal infarct	readcode
23892	G304.00	Posterior myocardial infarction NOS	readcode
24126	G360.00	Haemopericardium/current comp folow acut myocard infarct	readcode
24540	G34y000	Chronic coronary insufficiency	readcode
24888	7929	Other therapeutic transluminal operations on coronary artery	OXMIS
25842	G33z.00	Angina pectoris NOS	readcode
26863	G33z600	New onset angina	readcode
27484	G341.11	Cardiac aneurysm	readcode
27951	G31..00	Other acute and subacute ischaemic heart disease	readcode
27977	G31yz00	Other acute and subacute ischaemic heart disease NOS	readcode
28138	G34..00	Other chronic ischaemic heart disease	readcode
28554	G33zz00	Angina pectoris NOS	readcode
28736	G30y000	Acute atrial infarction	readcode
28837	7925.11	Creation of bypass from mammary artery to coronary artery	OXMIS
29421	G344.00	Silent myocardial ischaemia	readcode
29553	G366.00	"Thrombosis atrium,auric append&vent/curr comp foll acute MI"	readcode
29643	G303.00	Acute inferoposterior infarction	readcode
29758	G30X.00	Acute transmural myocardial infarction of unspecif site	readcode
29902	G330z00	Angina decubitus NOS	readcode
30330	G309.00	Acute Q-wave infarct	readcode
30421	G30..13	Cardiac rupture following myocardial infarction (MI)	readcode
31519	7925100	Double implant of mammary arteries into coronary arteries	OXMIS
31540	7924200	Revision of bypass for three coronary arteries	OXMIS
31556	7922	Allograft replacement of coronary artery	OXMIS
31571	792y.00	Other specified operations on coronary artery	OXMIS
