CTV3ID	Description
XaG1Q	Asymptomatic coronary heart disease
XE2uV	Ischaemic heart disease
G3...	Ischaemic heart disease (& [arteriosclerotic])
G30..	MI - acute myocardial infarction
X200d	Ventricular septal defect as current complication following acute myocardial infarction
X200e	Cardiac rupture after acute myocardial infarction
G3110	Coronary thrombosis not leading to myocardial infarction
G312.	Coronary thrombosis not resulting in myocardial infarction
X200E	Myocardial infarction
G33..	Angina
X200B	Angina pectoris with documented spasm
XaINF	Acute coronary syndrome
G3400	Single coronary vessel disease
G3401	Two coronary vessel disease
G31..	Other acute and subacute ischaemic heart disease
G34..	Other chronic ischaemic heart disease
G3y..	Other specified ischaemic heart disease
G3z..	Ischaemic heart disease NOS
G340.	Coronary atherosclerosis
G341.	Cardiac aneurysm
X2006	Triple vessel disease of the heart
X200c	Cardiac syndrome X
XE0WA	Attack - heart
G363.	Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
XE0Uh	MI - Acute myocardial infarction
G301.	Other specified anterior myocardial infarction
G35..	Subsequent myocardial infarction
X200a	Silent myocardial infarction
XaD2b	Postoperative myocardial infarction
XaEgZ	Non-Q wave myocardial infarction
XaIf1	First myocardial infarction
G311.	Preinfarction syndrome
G33z.	Angina pectoris NOS
Gyu30	[X]Other forms of angina pectoris
X2007	Angina at rest
X2008	Stable angina
X2009	Unstable angina
Xa7nH	Exertional angina
XaEXt	Post infarct angina
XaFsG	Refractory angina
G33z0	Status anginosus
G33z1	Stenocardia
G33z2	Syncope anginosa
G31y1	Microinfarction of heart
G31yz	Other acute and subacute ischaemic heart disease NOS
Gyu32	[X]Other forms of acute ischaemic heart disease
XE0WC	Acute/subacute ischaemic heart disease NOS
G34y.	Other specified chronic ischaemic heart disease
G34z.	Other chronic ischaemic heart disease NOS
Gyu33	[X]Other forms of chronic ischaemic heart disease
XE0WG	Chronic ischaemic heart disease NOS
G3410	Ventricular cardiac aneurysm
G3411	Other cardiac wall aneurysm
XE0Uk	Other cardiac wall aneurysm
XM1Qk	Mural cardiac aneurysm
G3413	Acquired atrioventricular fistula of heart
G341z	Aneurysm of heart NOS
XaFsH	Transient myocardial ischaemia
G31y2	Subendocardial ischaemia
G34y1	Chronic coronary insufficiency
G310.	Dressler's syndrome
G300.	Acute anterolateral myocardial infarction
G3010	Acute anteroapical infarction
G3011	Acute anteroseptal myocardial infarction
G302.	Acute inferolateral myocardial infarction
G303.	Acute inferoposterior infarction
G307.	Acute subendocardial infarction
G30y.	Other acute myocardial infarction
G30y0	Acute atrial infarction
G30y1	Acute papillary muscle infarction
G30y2	Acute septal infarction
G30z.	Acute myocardial infarction NOS
Gyu34	[X]Acute transmural myocardial infarction of unspecified site
X200K	Acute inferior myocardial infarction
X200P	Acute lateral myocardial infarction
X200S	Acute widespread myocardial infarction
X200V	Acute posterior myocardial infarction
Xa0YL	Acute anterior myocardial infarction
XaAzi	Acute non-Q wave infarction
XaIwM	Acute ST segment elevation myocardial infarction
XaIwY	Acute non-ST segment elevation myocardial infarction
XaJX0	Acute posterolateral myocardial infarction
XaAC3	Acute Q-wave infarct
G301z	Anterior myocardial infarction NOS
G350.	Subsequent myocardial infarction of anterior wall
G351.	Subsequent myocardial infarction of inferior wall
G353.	Subsequent myocardial infarction of other sites
Gyu36	[X]Subsequent myocardial infarction of unspecified site
XaD2f	Postoperative transmural myocardial infarction of other sites
XaD2g	Postoperative transmural myocardial infarction of unspecified site
XaD2h	Postoperative subendocardial myocardial infarction
XaD2i	Postoperative myocardial infarction, unspecified
X200W	Old anterior myocardial infarction
X200X	Old inferior myocardial infarction
X200Y	Old lateral myocardial infarction
X200Z	Old posterior myocardial infarction
G330.	Angina decubitus
G3300	Nocturnal angina
X200A	New onset angina
G31y0	Acute coronary insufficiency
G34yz	Other specified chronic ischaemic heart disease NOS
X200I	Acute Q wave infarction - anterolateral
X200J	Acute non-Q wave infarction - anterolateral
X200G	Acute Q wave infarction - anteroseptal
X200H	Acute non-Q wave infarction - anteroseptal
X200N	Acute Q wave infarction - inferolateral
X200O	Acute non-Q wave infarction - inferolateral
G30yz	Other acute myocardial infarction NOS
X200L	Acute Q wave infarction - inferior
X200M	Acute non-Q wave infarction - inferior
G308.	Inferior myocardial infarction NOS
XaD2e	Postoperative transmural myocardial infarction of inferior wall
X200Q	Acute Q wave infarction - lateral
X200R	Acute non-Q wave infarction - lateral
G305.	Lateral myocardial infarction NOS
X200T	Acute Q wave infarction - widespread
X200U	Acute non-Q wave infarction - widespread
G304.	Posterior myocardial infarction NOS
G306.	True posterior myocardial infarction
XaD2d	Postoperative transmural myocardial infarction of anterior wall
Gyu35	[X]Subsequent myocardial infarction of other sites
G330z	Angina decubitus NOS
G311z	Preinfarction syndrome NOS
G360.	Haemopericardium as current complication following acute myocardial infarction
G361.	Atrial septal defect as current complication following acute myocardial infarction
XaYYq	Coronary microvascular disease
G70..	Atherosclerotic cardiovascular disease
XaBL1	H/O: Myocardial infarction in last year
14A5.	H/O: angina pectoris
XaBL2	H/O: Angina in last year
XaZKd	H/O acute coronary syndrome
XaBL4	H/O: Treatment for ischaemic heart disease
XaYWj	Referral to coronary heart disease clinic
G364.	Rupture of chordae tendinae as current complication following acute myocardial infarction
G365.	Rupture of papillary muscle as current complication following acute myocardial infarction
X00E6	Acute arterial infarction of spinal cord
Ua1eH	Ischaemic chest pain
X70MZ	Late quaternary syphilitic coronary artery disease
X203v	Coronary artery thrombosis
P6yy6	Congenital aneurysm of heart
XaJIU	Coronary artery bypass graft occlusion
