1O1..00	Heart failure confirmed
33BA.00	Impaired left ventricular function
662f.00	New York Heart Association classification - class I
662g.00	New York Heart Association classification - class II
662h.00	New York Heart Association classification - class III
662i.00	New York Heart Association classification - class IV
8H2S.00	Admit heart failure emergency
G1yz100	Rheumatic left ventricular failure
G210100	Malignant hypertensive heart disease with congestive cardiac failure
G211100	Benign hypertensive heart disease with congestive cardiac failure
G232.00	Hypertensive heart and renal disease with (congestive) heart failure
G234.00	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
G58..00	Heart failure
G580.00	Congestive heart failure
G580000	Acute congestive heart failure
G580100	Chronic congestive heart failure
G580200	Decompensated cardiac failure
G580300	Compensated cardiac failure
G580400	Congestive heart failure due to valvular disease
G581.00	Left ventricular failure
G581000	Acute left ventricular failure
G582.00	Acute heart failure
G583.00	Heart failure with normal ejection fraction
G584.00	Right ventricular failure
G58z.00	Heart failure NOS
Q48y100	Congenital cardiac failure
R2y1000	[D]Cardiorespiratory failure
