G1yz1	Rheumatic left ventricular failure
G2101	Malignant hypertensive heart disease with congestive cardiac failure
G2111	Benign hypertensive heart disease with congestive cardiac failure
G232.	Hypertensive heart and renal disease with (congestive) heart failure
G234.	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
G58..	Heart failure
G580.	Congestive heart failure
G5800	Acute congestive heart failure
G5801	Chronic congestive heart failure
G5802	Decompensated cardiac failure
G5803	Compensated cardiac failure
G581.	Left ventricular failure
G5810	Acute left ventricular failure
G582.	Acute heart failure
G58z.	Heart failure NOS
Q48y1	Congenital cardiac failure
R2y10	Cardiorespiratory failure
X102Y	Cardiac asthma
X202l	Right heart failure
XaEgY	Refractory heart failure
XafeB	Heart failure with reduced ejection fraction
XaIpn	Heart failure confirmed
XaJ9G	New York Heart Association classification - class I
XaJ9H	New York Heart Association classification - class II
XaJ9I	New York Heart Association classification - class III
XaJ9J	New York Heart Association classification - class IV
XaKNW	Admit heart failure emergency
XaO5n	Congestive heart failure due to valvular disease
XaWyi	Heart failure with normal ejection fraction
XE0V8	Congestive heart failure
XE0V9	Heart failure NOS
XE0Wo	Right heart failure
XE2QG	Left heart failure
XM1Qn	Impaired left ventricular function
SP111	Heart failure as a complication of care
X202k	Heart failure as a complication of care
