H06z011	Chest infection
H302.00	Wheezy bronchitis
H06z111	Respiratory tract infection
H060.00	Acute bronchitis
H26..00	Pneumonia due to unspecified organism
A11..00	Pulmonary tuberculosis
H25..00	Bronchopneumonia due to unspecified organism
H51..00	Pleurisy
H061.00	Acute bronchiolitis
H060w00	Acute viral bronchitis unspecified
H231.00	Pneumonia due to mycoplasma pneumoniae
H21..00	Lobar (pneumococcal) pneumonia
H301.00	Laryngotracheobronchitis
H50..00	Empyema
H06z000	Chest infection NOS
H300.00	Tracheobronchitis NOS
H06z100	Lower resp tract infection
H261.00	Basal pneumonia due to unspecified organism
H06z200	Recurrent chest infection
H56y100	Interstitial pneumonia
23E2.00	O/E - consolidation present
H20..00	Viral pneumonia
H28..00	Atypical pneumonia
H224.00	Pneumonia due to staphylococcus
H060.11	Acute wheezy bronchitis
H2z..00	Pneumonia or influenza NOS
H062.00	Acute lower respiratory tract infection
H501000	Pleural abscess
H30..12	Recurrent wheezy bronchitis
H260000	Lung consolidation
H060600	Acute pneumococcal bronchitis
H20..11	Chest infection - viral pneumonia
H260.00	Lobar pneumonia due to unspecified organism
A116.00	Tuberculous pneumonia
H2...00	Pneumonia and influenza
23E2.11	O/E - consolidation
H47..11	Aspiration pneumonitis
H060300	Acute purulent bronchitis
H060500	Acute tracheobronchitis
H530z00	Abscess of lung NOS
H2y..00	Other specified pneumonia or influenza
H22y200	Pneumonia - Legionella
H223.00	Pneumonia due to streptococcus
H270000	Influenza with bronchopneumonia
A120200	Tuberculous hydrothorax
H20z.00	Viral pneumonia NOS
A3A4.00	Legionella
A115.00	Tuberculous bronchiectasis
H270.00	Influenza with pneumonia
H501100	Thorax abscess NOS
H25..11	Chest infection - unspecified bronchopneumonia
A112.00	Tuberculosis of lung with cavitation
A73..00	Ornithosis - psittacosis
A114.00	Tuberculous fibrosis of lung
H233.00	Chlamydial pneumonia
H061200	Acute bronchiolitis with bronchospasm
H30..11	Chest infection - unspecified bronchitis
H061z00	Acute bronchiolitis NOS
H061500	Acute bronchiolitis due to respiratory syncytial virus
A11y.00	Other specified pulmonary tuberculosis
H510300	Acute dry pleurisy
H26..11	Chest infection - pnemonia due to unspecified organism
AC21.00	Lung echinococcus granulosus
H060z00	Acute bronchitis NOS
H3y0.00	Chronic obstruct pulmonary dis with acute lower resp infectn
H060400	Acute croupous bronchitis
H53..00	Abscess of lung and mediastinum
H060800	Acute haemophilus influenzae bronchitis
A3BX400	Streptococ pneumon/cause/disease classified/oth chapters
H22..11	Chest infection - other bacterial pneumonia
H564.00	Bronchiolitis obliterans organising pneumonia
H22z.00	Bacterial pneumonia NOS
H540000	Hypostatic pneumonia
A120.00	Tuberculous pleurisy
H510.00	Pleurisy without effusion or active tuberculosis
H220.00	Pneumonia due to klebsiella pneumoniae
H24y700	Pneumonia with varicella
H24..11	Chest infection with infectious disease EC
H540100	Hypostatic bronchopneumonia
A124000	TB lung confirm sputum microscopy with or without culture
A310000	Pulmonary mycobacterium avium-intracellulare infection
H060x00	Acute bacterial bronchitis unspecified
A521.00	Varicella pneumonitis
H23..00	Pneumonia due to other specified organisms
H357.00	pneumonitis
A3BXB00	Klebsiella pneumoniae/cause/disease classifd/oth chapters
H24y200	Pneumonia with pneumocystis carinii
A789300	HIV disease resulting in Pneumocystis carinii pneumonia
H22..00	Other bacterial pneumonia
H530.00	Abscess of lung
H21..11	Chest infection - pneumococcal pneumonia
H060C00	Acute bronchitis due to parainfluenza virus
H270.11	Chest infection - influenza with pneumonia
H06..00	Acute bronchitis and bronchiolitis
H243.00	Pneumonia with whooping cough
SP13200	Post operative chest infection
H221.00	Pneumonia due to pseudomonas
H23..11	Chest infection - pneumonia organism OS
A3BXA00	Mycoplasma pneumoniae [PPLO] cause/dis classifd/oth chaptr
H201.00	Pneumonia due to respiratory syncytial virus
H510A00	Staphylococcal pleurisy
H510z00	Pleurisy without effusion or active tuberculosis NOS
H511.00	Bacterial pleurisy with effusion
H060A00	Acute bronchitis due to mycoplasma pneumoniae
A551.00	Postmeasles pneumonia
A310.00	Pulmonary mycobacterial infection
H510900	Pneumococcal pleurisy
H20y.00	Viral pneumonia NEC
H530000	Single lung abscess
H23z.00	Pneumonia due to specified organism NOS
H246.00	Pneumonia with aspergillosis
H50z.00	Empyema NOS
H262.00	Postoperative pneumonia
H500100	Empyema with bronchopleural fistula
H53z.00	Abscess of lung and mediastinum NOS
A054.00	Amoebic lung abscess
H243.11	Pneumonia with pertussis
H530300	Abscess of lung with pneumonia
A124600	Tuberculous pleurisy, conf bacteriologically/histologically
H270z00	Influenza with pneumonia NOS
H202.00	Pneumonia due to parainfluenza virus
H06z112	Acute lower respiratory tract infection
H510500	Basal pleurisy
H530100	Multiple lung abscess
A120000	Tuberculosis of pleura
H222.00	Pneumonia due to haemophilus influenzae
H501300	Lung empyema NOS
H263.00	Pneumonitis, unspecified
A11z.00	Pulmonary tuberculosis NOS
A120100	Tuberculous empyema
AB24.11	Pneumonia - candidal
H24..00	Pneumonia with infectious diseases EC
H510400	Diaphragmatic pleurisy
H240.00	Pneumonia with measles
A125100	Tuberculosis lung bact and histological examin not done
H06z.00	Acute bronchitis or bronchiolitis NOS
H061100	Acute obliterating bronchiolitis
H241.00	Pneumonia with cytomegalic inclusion disease
H511000	Pneumococcal pleurisy with effusion
H060700	Acute streptococcal bronchitis
H22yz00	Pneumonia due to bacteria NOS
H501200	Pleural empyema
H511z00	Bacterial pleurisy with effusion NOS
A785000	Cytomegaloviral pneumonitis
H22y100	Pneumonia due to proteus
A101.00	Tuberculous pleurisy in primary progressive tuberculosis
H501500	Pyopneumothorax
A205.00	Pneumonic plague, unspecified
A11..11	Lung tuberculosis
H510700	Fibrinous pleurisy
A125000	Tuberculosis of lung, bacteriologically & histolog'y neg
A54x400	Herpes simplex pneumonia
A111.00	Nodular lung tuberculosis
H060D00	Acute bronchitis due to respiratory syncytial virus
H222.11	Pneumonia due to haemophilus influenzae
H24y600	Pneumonia with typhoid fever
H501400	Purulent pleurisy
H060900	Acute neisseria catarrhalis bronchitis
H060000	Acute fibrinous bronchitis
A730.00	Ornithosis with pneumonia
