dq4..00	AMANTADINE HYDROCHLORIDE [PARKINSONS]
dq4z.00	AMANTADINE HYDROCHLORIDE 100mg capsules
dq44.00	AMANTADINE HYDROCHLORIDE 50mg/5mL syrup
dq43.00	*MANTADINE 100mg capsules
dq42.00	SYMMETREL [PARK] 50mg/5mL syrup
dq41.00	SYMMETREL [PARK] 100mg capsules
ei2..00	AMANTADINE HYDROCHLORIDE [ANTI VIRAL]
ei2z.00	AMANTADINE HYDROCHLORIDE 50mg/5mL syrup
ei2y.00	AMANTADINE HYDROCHLORIDE 100mg capsules
ei25.00	*LYSOVIR 100mg capsules
ei24.00	*AMANTADINE 50mg/5mL syrup
ei23.00	*AMANTADINE 100mg capsules
ei22.00	*SYMMETREL 50mg/5mL syrup
ei21.00	*SYMMETREL 100mg capsules
