^ESCT1165213	Olanzapine pamoate
^ESCT1178029	Product containing only amisulpride 400 mg/1 each oral tablet
^ESCT1178155	Product containing only chlorpromazine hydrochloride 50 mg/1 each oral tablet
^ESCT1178156	Product containing only benperidol 250 microgram/1 each oral tablet
^ESCT1178157	Product containing only flupenthixol 3 mg/1 each oral tablet
^ESCT1178158	Product containing only haloperidol 5 mg/1 each oral tablet
^ESCT1178159	Product containing only haloperidol 10 mg/1 each oral tablet
^ESCT1178160	Product containing only haloperidol 20 mg/1 each oral tablet
^ESCT1178161	Product containing only periciazine 2.5 mg/1 each oral tablet
^ESCT1178162	Product containing only perphenazine 2 mg/1 each oral tablet
^ESCT1178163	Product containing only perphenazine 4 mg/1 each oral tablet
^ESCT1178164	Product containing only pimozide 2 mg/1 each oral tablet
^ESCT1178165	Product containing only trifluoperazine 5 mg/1 each oral tablet
^ESCT1178166	Product containing only zuclopenthixol 10 mg/1 each oral tablet
^ESCT1178167	Product containing only risperidone 2 mg/1 each oral tablet
^ESCT1178168	Product containing only olanzapine 7.5 mg/1 each oral tablet
^ESCT1178169	Product containing only quetiapine 200 mg/1 each oral tablet
^ESCT1178170	Product containing only zotepine 100 mg/1 each oral tablet
^ESCT1178396	Product containing only fluphenazine hydrochloride 10 mg/1 each oral tablet
^ESCT1178537	Product containing pipothiazine
^ESCT1178538	Product containing pipotiazine
^ESCT1179251	Product containing only olanzapine 3 mg and fluoxetine 25 mg/1 each oral capsule
^ESCT1179271	Product containing only thioridazine hydrochloride 200 mg/1 each oral tablet
^ESCT1179279	Product containing only risperidone 0.25 milligram/1 each oral tablet
^ESCT1179299	Product containing only trifluoperazine hydrochloride 2 mg/1 each oral tablet
^ESCT1179414	Product containing only amitriptyline hydrochloride 25 mg and perphenazine 4 mg/1 each oral tablet
^ESCT1179441	Product containing only quetiapine 50 mg/1 each oral tablet
^ESCT1180332	Clozaril 100mg tablets (Mylan)
^ESCT1181074	Product containing only chlorpromazine hydrochloride 10 mg/1 each oral tablet
^ESCT1181075	Product containing only chlorpromazine hydrochloride 25 mg/1 each oral tablet
^ESCT1181076	Product containing only fluphenazine hydrochloride 2.5 mg/1 each oral tablet
^ESCT1181077	Product containing only fluphenazine hydrochloride 5 mg/1 each oral tablet
^ESCT1181078	Product containing only haloperidol 1.5 mg/1 each oral tablet
^ESCT1181079	Product containing only promazine hydrochloride 25 mg/1 each oral tablet
^ESCT1181080	Product containing only promazine hydrochloride 50 mg/1 each oral tablet
^ESCT1181081	Product containing only sulpiride 200 mg/1 each oral tablet
^ESCT1181082	Product containing only thioridazine hydrochloride 25 mg/1 each oral tablet
^ESCT1181083	Product containing only thioridazine hydrochloride 100 mg/1 each oral tablet
^ESCT1181084	Product containing only loxapine 10 mg/1 each oral capsule
^ESCT1181085	Product containing only clozapine 100 mg/1 each oral tablet
^ESCT1181086	Product containing only risperidone 4 mg/1 each oral tablet
^ESCT1181087	Product containing only risperidone 6 mg/1 each oral tablet
^ESCT1181088	Product containing only risperidone 0.5 mg/1 each oral tablet
^ESCT1181089	Product containing only olanzapine 5 mg/1 each oral tablet
^ESCT1181090	Product containing only olanzapine 2.5 mg/1 each oral tablet
^ESCT1181091	Product containing only amisulpride 50 mg/1 each oral tablet
^ESCT1181092	Product containing only amisulpride 200 mg/1 each oral tablet
^ESCT1181093	Product containing only zotepine 50 mg/1 each oral tablet
^ESCT1181094	Product containing zuclopenthixol decanoate
^ESCT1181104	Product containing only fluphenazine hydrochloride 1.5 mg and nortriptyline 30 mg/1 each oral tablet
^ESCT1181105	Product containing only fluphenazine hydrochloride 0.5 milligram and nortriptyline 10 milligram/1 each oral tablet
^ESCT1181106	Product containing only amitriptyline hydrochloride 25 mg and perphenazine 2 mg/1 each oral tablet
^ESCT1181107	Product containing only flupenthixol 1 mg/1 each oral tablet
